# VRB Preisstufenmatrix, official PDF printed 'Stand 01.01.2022', 48 zones, directional cells.
# Source: https://www.vrb-online.de/de/service/downloads?file=files/media/service/downloads/tarifinformationen/vrb-preisstufenmatrix.pdf&cid=658
# Source PDF SHA-256: 175c58b14f2c9e94029644fa7a8a0a036af8fa438c5cb6bc4145409b99efa7e6 (publisher Verkehrsverbund Region Braunschweig GmbH).
# Parsed on the parked branch codex/regional-pt-fares by scripts/export_vrb_price_stage_matrix.py (commit 238359cd).
# ASSUMPTION (ADR-0133): the 2022 matrix is applied to the 2026 scenario; VRB still publishes 48 zones in 2026 and
# three current-selector spot checks (40-70 = 2, 40-20 = 3, 40-40 = ST) agreed on 2026-09-23. price_stage: ST = city tariff,
# 1..4 = Preisstufe, '-' = undefined in the source (status undefined). Zones 55/56 = Haemelerwald/Dedenhausen stations.
origin_zone,destination_zone,price_stage,status
10,10,1,defined
10,11,2,defined
10,12,3,defined
10,13,3,defined
10,14,3,defined
10,15,2,defined
10,16,2,defined
10,17,2,defined
10,20,3,defined
10,30,4,defined
10,31,4,defined
10,32,4,defined
10,33,4,defined
10,34,4,defined
10,35,4,defined
10,36,3,defined
10,37,4,defined
10,38,4,defined
10,40,3,defined
10,50,4,defined
10,51,3,defined
10,52,3,defined
10,53,4,defined
10,54,4,defined
10,55,4,defined
10,56,3,defined
10,60,4,defined
10,70,4,defined
10,71,4,defined
10,72,4,defined
10,73,4,defined
10,74,4,defined
10,75,4,defined
10,76,4,defined
10,77,4,defined
10,78,4,defined
10,79,4,defined
10,80,4,defined
10,81,4,defined
10,82,4,defined
10,83,4,defined
10,84,4,defined
10,85,4,defined
10,86,4,defined
10,87,4,defined
10,88,4,defined
10,89,4,defined
10,90,4,defined
11,10,2,defined
11,11,1,defined
11,12,2,defined
11,13,2,defined
11,14,3,defined
11,15,2,defined
11,16,3,defined
11,17,3,defined
11,20,3,defined
11,30,4,defined
11,31,4,defined
11,32,4,defined
11,33,4,defined
11,34,4,defined
11,35,4,defined
11,36,4,defined
11,37,4,defined
11,38,4,defined
11,40,4,defined
11,50,4,defined
11,51,4,defined
11,52,4,defined
11,53,4,defined
11,54,4,defined
11,55,4,defined
11,56,4,defined
11,60,4,defined
11,70,4,defined
11,71,4,defined
11,72,4,defined
11,73,4,defined
11,74,4,defined
11,75,4,defined
11,76,4,defined
11,77,4,defined
11,78,4,defined
11,79,4,defined
11,80,4,defined
11,81,4,defined
11,82,4,defined
11,83,4,defined
11,84,4,defined
11,85,4,defined
11,86,4,defined
11,87,4,defined
11,88,4,defined
11,89,4,defined
11,90,4,defined
12,10,3,defined
12,11,2,defined
12,12,1,defined
12,13,2,defined
12,14,3,defined
12,15,3,defined
12,16,4,defined
12,17,4,defined
12,20,4,defined
12,30,4,defined
12,31,4,defined
12,32,4,defined
12,33,4,defined
12,34,4,defined
12,35,4,defined
12,36,4,defined
12,37,4,defined
12,38,4,defined
12,40,4,defined
12,50,4,defined
12,51,4,defined
12,52,4,defined
12,53,4,defined
12,54,4,defined
12,55,4,defined
12,56,4,defined
12,60,4,defined
12,70,4,defined
12,71,4,defined
12,72,4,defined
12,73,4,defined
12,74,4,defined
12,75,4,defined
12,76,4,defined
12,77,4,defined
12,78,4,defined
12,79,4,defined
12,80,4,defined
12,81,4,defined
12,82,4,defined
12,83,4,defined
12,84,4,defined
12,85,4,defined
12,86,4,defined
12,87,4,defined
12,88,4,defined
12,89,4,defined
12,90,4,defined
13,10,3,defined
13,11,2,defined
13,12,2,defined
13,13,1,defined
13,14,2,defined
13,15,3,defined
13,16,4,defined
13,17,4,defined
13,20,3,defined
13,30,4,defined
13,31,4,defined
13,32,4,defined
13,33,4,defined
13,34,4,defined
13,35,4,defined
13,36,4,defined
13,37,4,defined
13,38,4,defined
13,40,4,defined
13,50,4,defined
13,51,4,defined
13,52,4,defined
13,53,4,defined
13,54,4,defined
13,55,4,defined
13,56,4,defined
13,60,4,defined
13,70,4,defined
13,71,4,defined
13,72,4,defined
13,73,4,defined
13,74,4,defined
13,75,4,defined
13,76,4,defined
13,77,4,defined
13,78,4,defined
13,79,4,defined
13,80,4,defined
13,81,4,defined
13,82,4,defined
13,83,4,defined
13,84,4,defined
13,85,4,defined
13,86,4,defined
13,87,4,defined
13,88,4,defined
13,89,4,defined
13,90,4,defined
14,10,3,defined
14,11,3,defined
14,12,3,defined
14,13,2,defined
14,14,1,defined
14,15,2,defined
14,16,3,defined
14,17,4,defined
14,20,2,defined
14,30,4,defined
14,31,4,defined
14,32,4,defined
14,33,4,defined
14,34,4,defined
14,35,3,defined
14,36,3,defined
14,37,3,defined
14,38,4,defined
14,40,4,defined
14,50,4,defined
14,51,4,defined
14,52,4,defined
14,53,4,defined
14,54,4,defined
14,55,4,defined
14,56,4,defined
14,60,4,defined
14,70,4,defined
14,71,4,defined
14,72,4,defined
14,73,4,defined
14,74,4,defined
14,75,4,defined
14,76,4,defined
14,77,4,defined
14,78,4,defined
14,79,4,defined
14,80,4,defined
14,81,4,defined
14,82,4,defined
14,83,4,defined
14,84,4,defined
14,85,4,defined
14,86,4,defined
14,87,4,defined
14,88,4,defined
14,89,4,defined
14,90,4,defined
15,10,2,defined
15,11,2,defined
15,12,3,defined
15,13,3,defined
15,14,2,defined
15,15,1,defined
15,16,3,defined
15,17,3,defined
15,20,2,defined
15,30,4,defined
15,31,4,defined
15,32,4,defined
15,33,4,defined
15,34,4,defined
15,35,3,defined
15,36,3,defined
15,37,3,defined
15,38,4,defined
15,40,4,defined
15,50,4,defined
15,51,4,defined
15,52,4,defined
15,53,4,defined
15,54,4,defined
15,55,4,defined
15,56,4,defined
15,60,4,defined
15,70,4,defined
15,71,4,defined
15,72,4,defined
15,73,4,defined
15,74,4,defined
