iteration;indicator:mode_share:bicycle;indicator:mode_share:car;indicator:mode_share:car_passenger;indicator:mode_share:pt;indicator:mode_share:walk;criterion:mode_share:bicycle;criterion:mode_share:car;criterion:mode_share:car_passenger;criterion:mode_share:pt;criterion:mode_share:walk
0;0.05171772442012552;0.5450760166552672;0.1571450856162329;0.1365419921523453;0.10951918115602914;NaN;NaN;NaN;NaN;NaN
1;0.051002516728491515;0.5486825940194897;0.15750426412528776;0.13609418051264924;0.10671644461408175;NaN;NaN;NaN;NaN;NaN
2;0.0497606748495332;0.5532439220890005;0.15705416804890762;0.13588218567840388;0.10405904933415477;NaN;NaN;NaN;NaN;NaN
3;0.04941911894792711;0.5555227929468656;0.15737453559002182;0.13583770714159343;0.10184584537359202;NaN;NaN;NaN;NaN;NaN
4;0.049334147544448884;0.5580125419827606;0.1568569885149259;0.1362355262230782;0.09956079573478639;NaN;NaN;NaN;NaN;NaN
5;0.0489409949504395;0.5598933981671965;0.15682859547409764;0.13672386384888724;0.0976131475593791;NaN;NaN;NaN;NaN;NaN
6;0.048261986998336996;0.5642233308911605;0.15655490818593076;0.13556385119026854;0.09539592273430322;NaN;NaN;NaN;NaN;NaN
7;0.04774818626428389;0.5665461372644461;0.15644484620911853;0.13528266462693833;0.09397816563521313;NaN;NaN;NaN;NaN;NaN
8;0.04707850262444483;0.5695449039626233;0.15596700697929283;0.13537520909038472;0.09203437734325431;NaN;NaN;NaN;NaN;NaN
9;0.04681408907441267;0.5717735536619865;0.1554949920079116;0.1354170260231598;0.09050033923252952;NaN;NaN;NaN;NaN;NaN
10;0.0462730821627686;0.5747844901603874;0.15378186855330792;0.13651818525260156;0.0886423738709345;NaN;NaN;NaN;NaN;NaN
11;0.0461208274350427;0.5771724736289329;0.15362573633499246;0.13612493721174482;0.08695602538928718;NaN;NaN;NaN;NaN;NaN
12;0.04581811562048446;0.5790012629279448;0.1536221001012618;0.13615728572891422;0.08540123562139468;NaN;NaN;NaN;NaN;NaN
13;0.04535815936589293;0.5820018823636137;0.15252815040765647;0.13562089650401987;0.08449091135881706;NaN;NaN;NaN;NaN;NaN
14;0.044951817165064335;0.5842606504965148;0.15263734649841273;0.13522826123795428;0.08292192460205385;NaN;NaN;NaN;NaN;NaN
15;0.04461821008867306;0.5855126023909051;0.15341453246650819;0.13465460322467973;0.08180005182923394;NaN;NaN;NaN;NaN;NaN
16;0.0443315423869793;0.5869208461659511;0.15277746554863655;0.13513027448688264;0.08083987141155048;NaN;NaN;NaN;NaN;NaN
17;0.04369661233549313;0.5884357554424591;0.15233280272627403;0.13555142030805103;0.0799834091877228;NaN;NaN;NaN;NaN;NaN
18;0.04363538718014702;0.5892455553442161;0.15210848428566634;0.13585150542085772;0.07915906776911286;NaN;NaN;NaN;NaN;NaN
19;0.043498178730250955;0.5915774654182216;0.1518022749111712;0.13488569576973788;0.07823638517061834;NaN;NaN;NaN;NaN;NaN
19;0.043345345814412746;0.5935578886297962;0.15184817414006627;0.13386292383045667;0.07738566758526816;NaN;NaN;NaN;NaN;NaN
