iteration,outcome,count,share
13,child_free,52,0.019801980198019802
13,day_ticket_cap_applied,452,0.17212490479817213
13,external_local_flat,27,0.010281797410510283
13,external_national_flat,1,3.808073115003808E-4
13,external_rail_nt,36,0.013709063214013708
13,no_pt_leg,1099,0.4185072353389185
13,vrb_flat_national,182,0.06930693069306931
13,vrb_flat_regional,64,0.024371667936024372
13,vrb_short_trip,157,0.05978674790555979
13,vrb_single_adult,931,0.35453160700685454
13,vrb_single_child,77,0.029322162985529324
