iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;08:41:49;08:41:49;08:41:49;;;08:41:49;08:41:49;08:41:52;08:41:52;08:41:52;08:41:54;08:41:54;08:43:05;08:43:05;08:43:05;08:43:05;08:43:05;08:43:05;08:43:12;08:43:12;;00:00:00;;00:00:02;00:00:02;00:00:01;00:01:10;00:00:00;00:00:00;00:00:06;00:01:22
1;08:43:12;08:43:12;08:43:12;08:43:12;08:43:15;08:43:15;08:43:15;08:43:17;08:43:17;08:43:17;08:43:19;08:43:19;08:44:27;08:44:27;08:44:27;08:44:27;08:44:27;08:44:27;08:44:30;08:44:30;;00:00:00;00:00:03;00:00:02;00:00:02;00:00:01;00:01:08;00:00:00;00:00:00;00:00:02;00:01:17
2;08:44:30;08:44:30;08:44:30;08:44:30;08:44:32;08:44:32;;;08:44:32;08:44:32;08:44:34;08:44:34;08:45:49;08:45:49;08:45:49;08:45:49;08:45:50;08:45:50;08:45:50;08:45:50;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:15;00:00:00;00:00:00;00:00:00;00:01:20
3;08:45:50;08:45:50;08:45:50;08:45:50;08:45:52;08:45:52;;;08:45:52;08:45:52;08:45:54;08:45:54;08:47:10;08:47:10;08:47:10;08:47:10;08:47:10;08:47:10;08:47:11;08:47:11;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:16;00:00:00;00:00:00;00:00:00;00:01:20
4;08:47:11;08:47:11;08:47:11;08:47:11;08:47:13;08:47:13;;;08:47:13;08:47:13;08:47:14;08:47:14;08:48:11;08:48:11;08:48:11;08:48:11;08:48:11;08:48:11;08:48:12;08:48:12;;00:00:00;00:00:01;;00:00:00;00:00:01;00:00:56;00:00:00;00:00:00;00:00:00;00:01:00
5;08:48:12;08:48:12;08:48:12;08:48:12;08:48:14;08:48:14;08:48:14;08:48:16;08:48:16;08:48:16;08:48:18;08:48:18;08:49:23;08:49:23;08:49:23;08:49:23;08:49:23;08:49:23;08:49:26;08:49:26;;00:00:00;00:00:01;00:00:02;00:00:02;00:00:01;00:01:05;00:00:00;00:00:00;00:00:03;00:01:14
6;08:49:26;08:49:26;08:49:26;08:49:26;08:49:28;08:49:28;;;08:49:28;08:49:28;08:49:30;08:49:30;08:50:41;08:50:41;08:50:41;08:50:41;08:50:41;08:50:41;08:50:41;08:50:41;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:10;00:00:00;00:00:00;00:00:00;00:01:15
7;08:50:41;08:50:41;08:50:42;08:50:42;08:50:43;08:50:43;;;08:50:43;08:50:43;08:50:45;08:50:45;08:51:51;08:51:51;08:51:51;08:51:51;08:51:51;08:51:51;08:51:51;08:51:51;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:05;00:00:00;00:00:00;00:00:00;00:01:09
8;08:51:51;08:51:51;08:51:51;08:51:51;08:51:53;08:51:53;;;08:51:53;08:51:53;08:51:55;08:51:55;08:53:04;08:53:04;08:53:04;08:53:04;08:53:04;08:53:04;08:53:05;08:53:05;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:09;00:00:00;00:00:00;00:00:00;00:01:13
9;08:53:05;08:53:05;08:53:05;08:53:05;08:53:07;08:53:07;;;08:53:07;08:53:07;08:53:09;08:53:09;08:54:24;08:54:24;08:54:24;08:54:24;08:54:24;08:54:24;08:54:24;08:54:24;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:15;00:00:00;00:00:00;00:00:00;00:01:19
