iteration;indicator:mode_share:bicycle;indicator:mode_share:car;indicator:mode_share:car_passenger;indicator:mode_share:pt;indicator:mode_share:walk;criterion:mode_share:bicycle;criterion:mode_share:car;criterion:mode_share:car_passenger;criterion:mode_share:pt;criterion:mode_share:walk
0;0.05171772442012552;0.5450760166552672;0.1571450856162329;0.1365419921523453;0.10951918115602914;NaN;NaN;NaN;NaN;NaN
1;0.051002516728491515;0.5486825940194897;0.15750426412528776;0.13609418051264924;0.10671644461408175;NaN;NaN;NaN;NaN;NaN
2;0.0497606748495332;0.5532439220890005;0.15705416804890762;0.13588218567840388;0.10405904933415477;NaN;NaN;NaN;NaN;NaN
3;0.04942261644982838;0.5556092900364477;0.15735028721735336;0.13576475306384836;0.10185305323252221;NaN;NaN;NaN;NaN;NaN
4;0.04933994174574838;0.5582190171944;0.15684017664192426;0.13602837545804755;0.09957248895987973;NaN;NaN;NaN;NaN;NaN
5;0.04894843287857001;0.5601070856568349;0.15678228644244147;0.13653421246448988;0.09762798255766375;NaN;NaN;NaN;NaN;NaN
6;0.048247705675037514;0.5645377036976725;0.15647935979900668;0.1353215544415107;0.09541367638677259;NaN;NaN;NaN;NaN;NaN
7;0.047726666898462035;0.5668208105884126;0.15634597777082393;0.13511352178296998;0.0939930229593315;NaN;NaN;NaN;NaN;NaN
8;0.04709927539576314;0.5697373886555591;0.1558937554806849;0.13521715050537683;0.09205242996261596;NaN;NaN;NaN;NaN;NaN
9;0.04678154044354468;0.5718804637894543;0.1555512100855802;0.13528342688874576;0.09050335879267507;NaN;NaN;NaN;NaN;NaN
10;0.046266930765619815;0.5749304450372678;0.15366208309957524;0.13647656885082607;0.08866397224671117;NaN;NaN;NaN;NaN;NaN
11;0.04611941491487491;0.5773319478858604;0.15352204345889903;0.136074540118981;0.08695205362138461;NaN;NaN;NaN;NaN;NaN
12;0.04569036133612451;0.5792527532538454;0.15330618003094568;0.13635432784199508;0.08539637753708929;NaN;NaN;NaN;NaN;NaN
13;0.045285029302077784;0.5818927895351341;0.15223477935592106;0.1361158027182353;0.08447159908863171;NaN;NaN;NaN;NaN;NaN
14;0.04481691477105876;0.5841559556348687;0.15243172423140347;0.13564797036300796;0.08294743499966116;NaN;NaN;NaN;NaN;NaN
15;0.0445062743596098;0.5851488048302431;0.15347962241196747;0.1350958614008606;0.08176943699731903;NaN;NaN;NaN;NaN;NaN
16;0.04430735346997483;0.5865920532182668;0.15300251708018697;0.13531553398058252;0.08078254225098885;NaN;NaN;NaN;NaN;NaN
17;0.043674631281660464;0.5880441117138118;0.15259783924328685;0.1357421437217017;0.07994127403953916;NaN;NaN;NaN;NaN;NaN
18;0.04357408153219672;0.5885913097954982;0.15232469682731462;0.13634939812950284;0.07916051371548753;NaN;NaN;NaN;NaN;NaN
19;0.043443291368312875;0.5909806856644958;0.15186720137624415;0.13547961885186385;0.07822920273908332;NaN;NaN;NaN;NaN;NaN
19;0.0433303970652186;0.5929440362164513;0.15189054781842712;0.13450709722020895;0.07732792167969403;NaN;NaN;NaN;NaN;NaN
