iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;05:33:23;05:33:23;05:33:23;;;05:33:23;05:33:24;05:33:26;05:33:26;05:33:26;05:33:28;05:33:28;05:34:51;05:34:51;05:34:51;05:34:51;05:34:51;05:34:51;05:34:58;05:34:58;;00:00:00;;00:00:02;00:00:02;00:00:01;00:01:23;00:00:00;00:00:00;00:00:07;00:01:34
1;05:34:58;05:34:58;05:34:58;05:34:58;05:35:02;05:35:02;05:35:02;05:35:04;05:35:04;05:35:04;05:35:06;05:35:06;05:36:24;05:36:24;05:36:24;05:36:24;05:36:24;05:36:24;05:36:27;05:36:27;;00:00:00;00:00:03;00:00:02;00:00:02;00:00:01;00:01:18;00:00:00;00:00:00;00:00:02;00:01:28
2;05:36:27;05:36:27;05:36:27;05:36:27;05:36:29;05:36:29;;;05:36:29;05:36:29;05:36:31;05:36:31;05:37:49;05:37:49;05:37:50;05:37:50;05:37:50;05:37:50;05:37:50;05:37:50;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:18;00:00:00;00:00:00;00:00:00;00:01:23
3;05:37:50;05:37:50;05:37:50;05:37:50;05:37:53;05:37:53;;;05:37:53;05:37:53;05:37:54;05:37:54;05:39:03;05:39:03;05:39:03;05:39:03;05:39:03;05:39:03;05:39:04;05:39:04;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:08;00:00:00;00:00:00;00:00:00;00:01:13
4;05:39:04;05:39:04;05:39:04;05:39:04;05:39:06;05:39:06;;;05:39:06;05:39:06;05:39:07;05:39:07;05:40:17;05:40:17;05:40:17;05:40:17;05:40:17;05:40:17;05:40:18;05:40:18;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:09;00:00:00;00:00:00;00:00:00;00:01:13
5;05:40:18;05:40:18;05:40:18;05:40:18;05:40:20;05:40:20;05:40:20;05:40:22;05:40:22;05:40:22;05:40:24;05:40:24;05:41:18;05:41:18;05:41:18;05:41:18;05:41:18;05:41:18;05:41:21;05:41:21;;00:00:00;00:00:02;00:00:02;00:00:02;00:00:01;00:00:54;00:00:00;00:00:00;00:00:03;00:01:03
6;05:41:21;05:41:21;05:41:21;05:41:21;05:41:23;05:41:23;;;05:41:24;05:41:24;05:41:25;05:41:25;05:42:23;05:42:23;05:42:23;05:42:23;05:42:23;05:42:23;05:42:24;05:42:24;;00:00:00;00:00:02;;00:00:00;00:00:01;00:00:58;00:00:00;00:00:00;00:00:00;00:01:02
7;05:42:24;05:42:24;05:42:24;05:42:24;05:42:25;05:42:25;;;05:42:25;05:42:25;05:42:27;05:42:27;05:43:26;05:43:26;05:43:27;05:43:27;05:43:27;05:43:27;05:43:27;05:43:27;;00:00:00;00:00:01;;00:00:00;00:00:01;00:00:59;00:00:00;00:00:00;00:00:00;00:01:03
8;05:43:27;05:43:27;05:43:27;05:43:27;05:43:29;05:43:29;;;05:43:29;05:43:29;05:43:31;05:43:31;05:44:45;05:44:45;05:44:45;05:44:45;05:44:45;05:44:45;05:44:46;05:44:46;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:14;00:00:00;00:00:00;00:00:00;00:01:18
9;05:44:46;05:44:46;05:44:46;05:44:46;05:44:48;05:44:48;;;05:44:48;05:44:48;05:44:49;05:44:49;05:46:04;05:46:04;05:46:04;05:46:04;05:46:04;05:46:04;05:46:05;05:46:05;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:14;00:00:00;00:00:00;00:00:00;00:01:18
10;05:46:05;05:46:05;05:46:05;05:46:05;05:46:08;05:46:08;05:46:08;05:46:10;05:46:10;05:46:10;05:46:11;05:46:11;05:47:14;05:47:14;05:47:14;05:47:14;05:47:14;05:47:14;05:47:17;05:47:17;;00:00:00;00:00:03;00:00:02;00:00:02;00:00:01;00:01:02;00:00:00;00:00:00;00:00:03;00:01:12
11;05:47:17;05:47:17;05:47:17;05:47:17;05:47:19;05:47:19;;;05:47:19;05:47:19;05:47:20;05:47:20;05:48:26;05:48:26;05:48:26;05:48:26;05:48:26;05:48:26;05:48:27;05:48:27;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:06;00:00:00;00:00:00;00:00:00;00:01:09
12;05:48:27;05:48:27;05:48:27;05:48:27;05:48:29;05:48:29;;;05:48:29;05:48:29;05:48:30;05:48:30;05:49:46;05:49:46;05:49:46;05:49:46;05:49:46;05:49:46;05:49:47;05:49:47;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:16;00:00:00;00:00:00;00:00:00;00:01:20
13;05:49:47;05:49:47;05:49:47;05:49:47;05:49:49;05:49:49;;;05:49:49;05:49:49;05:49:51;05:49:51;05:51:12;05:51:12;05:51:12;05:51:12;05:51:12;05:51:12;05:51:13;05:51:13;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:20;00:00:00;00:00:00;00:00:00;00:01:25
14;05:51:13;05:51:13;05:51:13;05:51:13;05:51:15;05:51:15;;;05:51:16;05:51:16;05:51:17;05:51:17;05:52:27;05:52:27;05:52:27;05:52:27;05:52:27;05:52:27;05:52:28;05:52:28;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:09;00:00:00;00:00:00;00:00:00;00:01:14
15;05:52:28;05:52:28;05:52:28;05:52:28;05:52:31;05:52:31;05:52:31;05:52:33;05:52:33;05:52:33;05:52:35;05:52:35;05:53:44;05:53:44;05:53:44;05:53:44;05:53:44;05:53:44;05:53:48;05:53:48;;00:00:00;00:00:02;00:00:02;00:00:02;00:00:01;00:01:08;00:00:00;00:00:00;00:00:03;00:01:19
16;05:53:48;05:53:48;05:53:48;05:53:48;05:53:50;05:53:50;;;05:53:50;05:53:50;05:53:51;05:53:51;05:55:05;05:55:05;05:55:05;05:55:05;05:55:05;05:55:05;05:55:06;05:55:06;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:13;00:00:00;00:00:00;00:00:00;00:01:17
17;05:55:06;05:55:06;05:55:06;05:55:06;05:55:08;05:55:08;;;05:55:08;05:55:08;05:55:09;05:55:09;05:56:22;05:56:22;05:56:22;05:56:22;05:56:22;05:56:22;05:56:22;05:56:22;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:12;00:00:00;00:00:00;00:00:00;00:01:16
