iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;06:10:40;06:10:40;06:10:40;;;06:10:40;06:10:40;06:10:43;06:10:43;06:10:43;06:10:45;06:10:45;06:12:12;06:12:12;06:12:12;06:12:12;06:12:12;06:12:12;06:12:20;06:12:20;;00:00:00;;00:00:02;00:00:02;00:00:01;00:01:27;00:00:00;00:00:00;00:00:07;00:01:39
1;06:12:20;06:12:20;06:12:20;06:12:20;06:12:23;06:12:23;06:12:23;06:12:26;06:12:26;06:12:26;06:12:27;06:12:27;06:13:50;06:13:50;06:13:50;06:13:50;06:13:50;06:13:50;06:13:53;06:13:53;;00:00:00;00:00:03;00:00:02;00:00:02;00:00:01;00:01:22;00:00:00;00:00:00;00:00:02;00:01:32
2;06:13:53;06:13:53;06:13:53;06:13:53;06:13:56;06:13:56;;;06:13:56;06:13:56;06:13:58;06:13:58;06:15:11;06:15:11;06:15:11;06:15:11;06:15:11;06:15:11;06:15:12;06:15:12;;00:00:00;00:00:03;;00:00:00;00:00:01;00:01:13;00:00:00;00:00:00;00:00:00;00:01:19
3;06:15:12;06:15:12;06:15:12;06:15:12;06:15:14;06:15:14;;;06:15:14;06:15:14;06:15:16;06:15:16;06:16:27;06:16:27;06:16:27;06:16:27;06:16:27;06:16:27;06:16:28;06:16:28;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:10;00:00:00;00:00:00;00:00:00;00:01:15
4;06:16:28;06:16:28;06:16:28;06:16:28;06:16:30;06:16:30;;;06:16:30;06:16:30;06:16:31;06:16:31;06:17:45;06:17:45;06:17:45;06:17:45;06:17:45;06:17:45;06:17:46;06:17:46;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:13;00:00:00;00:00:00;00:00:00;00:01:18
5;06:17:46;06:17:46;06:17:46;06:17:46;06:17:48;06:17:48;06:17:48;06:17:50;06:17:50;06:17:50;06:17:52;06:17:52;06:19:04;06:19:04;06:19:04;06:19:04;06:19:04;06:19:04;06:19:07;06:19:07;;00:00:00;00:00:02;00:00:02;00:00:02;00:00:01;00:01:11;00:00:00;00:00:00;00:00:03;00:01:21
6;06:19:07;06:19:07;06:19:07;06:19:07;06:19:09;06:19:09;;;06:19:09;06:19:09;06:19:10;06:19:10;06:20:28;06:20:28;06:20:28;06:20:28;06:20:28;06:20:28;06:20:29;06:20:29;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;00:00:00;00:01:21
7;06:20:29;06:20:29;06:20:29;06:20:29;06:20:30;06:20:30;;;06:20:31;06:20:31;06:20:32;06:20:32;06:21:33;06:21:33;06:21:33;06:21:33;06:21:33;06:21:33;06:21:34;06:21:34;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:01;00:00:00;00:00:00;00:00:00;00:01:05
8;06:21:34;06:21:34;06:21:34;06:21:34;06:21:36;06:21:36;;;06:21:36;06:21:36;06:21:38;06:21:38;06:22:41;06:22:41;06:22:41;06:22:41;06:22:41;06:22:41;06:22:42;06:22:42;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:03;00:00:00;00:00:00;00:00:00;00:01:07
9;06:22:42;06:22:42;06:22:42;06:22:42;06:22:44;06:22:44;;;06:22:44;06:22:44;06:22:45;06:22:45;06:23:50;06:23:50;06:23:50;06:23:50;06:23:50;06:23:50;06:23:51;06:23:51;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:04;00:00:00;00:00:00;00:00:00;00:01:08
10;06:23:51;06:23:51;06:23:51;06:23:51;06:23:54;06:23:54;06:23:54;06:23:56;06:23:56;06:23:56;06:23:57;06:23:57;06:25:01;06:25:01;06:25:01;06:25:01;06:25:01;06:25:01;06:25:04;06:25:04;;00:00:00;00:00:02;00:00:02;00:00:02;00:00:01;00:01:03;00:00:00;00:00:00;00:00:03;00:01:13
11;06:25:04;06:25:04;06:25:04;06:25:04;06:25:06;06:25:06;;;06:25:06;06:25:06;06:25:07;06:25:07;06:26:14;06:26:14;06:26:14;06:26:14;06:26:14;06:26:14;06:26:15;06:26:15;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:06;00:00:00;00:00:00;00:00:00;00:01:10
12;06:26:15;06:26:15;06:26:15;06:26:15;06:26:17;06:26:17;;;06:26:17;06:26:17;06:26:19;06:26:19;06:27:22;06:27:22;06:27:22;06:27:22;06:27:22;06:27:22;06:27:23;06:27:23;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:03;00:00:00;00:00:00;00:00:00;00:01:08
13;06:27:23;06:27:23;06:27:23;06:27:23;06:27:25;06:27:25;;;06:27:25;06:27:25;06:27:26;06:27:26;06:28:26;06:28:26;06:28:26;06:28:26;06:28:26;06:28:26;06:28:27;06:28:27;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:00;00:00:00;00:00:00;00:00:00;00:01:04
14;06:28:27;06:28:27;06:28:27;06:28:27;06:28:30;06:28:30;;;06:28:30;06:28:30;06:28:31;06:28:31;06:29:36;06:29:36;06:29:36;06:29:36;06:29:36;06:29:36;06:29:37;06:29:37;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:05;00:00:00;00:00:00;00:00:00;00:01:09
15;06:29:37;06:29:37;06:29:37;06:29:37;06:29:39;06:29:39;06:29:39;06:29:41;06:29:41;06:29:41;06:29:43;06:29:43;06:30:53;06:30:53;06:30:53;06:30:53;06:30:53;06:30:53;06:30:56;06:30:56;;00:00:00;00:00:02;00:00:02;00:00:02;00:00:01;00:01:10;00:00:00;00:00:00;00:00:02;00:01:18
16;06:30:56;06:30:56;06:30:56;06:30:56;06:30:58;06:30:58;;;06:30:58;06:30:58;06:30:59;06:30:59;06:32:06;06:32:06;06:32:06;06:32:06;06:32:06;06:32:06;06:32:07;06:32:07;;00:00:00;00:00:01;;00:00:00;00:00:01;00:01:07;00:00:00;00:00:00;00:00:00;00:01:11
17;06:32:07;06:32:07;06:32:07;06:32:07;06:32:09;06:32:09;;;06:32:09;06:32:09;06:32:11;06:32:11;06:33:29;06:33:29;06:33:29;06:33:29;06:33:29;06:33:29;06:33:29;06:33:29;;00:00:00;00:00:02;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;00:00:00;00:01:22
