gate_id,inbound,outbound,n_kreise,gate_x,gate_y
gate_0000,3741,4785,153,568124.9333831323,5804564.513837339
gate_0004,5819,2011,95,649616.4834990004,5785869.496426469
gate_0006,5818,2012,95,649608.2190635134,5785849.062437903
gate_0010,2835,3748,153,561394.8498114111,5793516.221501597
gate_0007,2813,3584,147,568111.7723246056,5804549.111535665
gate_0001,2605,3273,207,571404.5188232887,5737289.444989352
gate_0008,2307,2763,163,565942.9733517299,5779852.140563724
gate_0005,2248,2655,163,567521.0692068273,5779539.481034563
gate_0002,3147,1385,175,620939.3010384405,5748302.3180063795
gate_0009,1987,2380,191,597800.2014549767,5720293.837535677
gate_0003,1984,2202,169,572989.7070625016,5775199.297391456
gate_0012,1563,1906,139,564512.899823514,5780461.758210982
gate_0015,1562,1905,139,564543.746456085,5780443.8553879205
gate_0014,1533,1852,138,565667.011303157,5779944.386276603
gate_0017,1305,1681,126,560461.1781875574,5786575.708905533
gate_0011,1361,1624,177,603149.0973302209,5717094.542398124
gate_0023,1427,1392,65,601863.472624634,5862411.493920626
gate_0013,1278,1476,186,588819.7397281268,5728343.099079715
gate_0016,1148,1376,132,565953.325479909,5779848.6801623795
gate_0033,1643,541,59,635836.2618474688,5839670.594798101
gate_0038,1472,506,64,650075.2670784491,5788012.7090709945
gate_0026,959,1000,72,584940.8670778483,5845062.064574263
gate_0027,1433,460,65,643283.4245414467,5815026.421311032
gate_0029,1393,476,66,648544.4867464937,5780684.416900817
gate_0018,762,915,115,565636.2015391575,5779954.685042895
gate_0046,704,926,96,564439.570723944,5798523.921096504
gate_0042,692,908,92,566433.8341378608,5801671.073816733
gate_0035,1188,400,67,642758.2327233724,5769927.641420151
gate_0030,683,826,85,572429.0327608079,5811587.654230024
gate_0034,719,776,77,578767.8416219542,5822960.95568341
gate_0025,584,720,106,563839.265050606,5780882.122156794
gate_0020,584,720,106,563863.1885778146,5780864.770318339
gate_0036,885,323,73,629290.5914797086,5761003.132386074
gate_0044,644,555,127,623690.5748341307,5717809.898116097
gate_0039,546,651,100,567571.9193829678,5779533.384816048
gate_0043,672,522,121,624936.5619649136,5720193.711460162
gate_0019,712,443,108,623510.5576684979,5727559.946734557
gate_0022,529,619,101,569458.2187070565,5779401.12930135
gate_0031,732,394,94,621429.9807427577,5734570.284627604
gate_0032,798,304,74,625168.6455660879,5760323.306568541
gate_0024,479,612,128,572147.9211446849,5735777.635696417
gate_0041,483,547,97,572939.139957452,5776209.6784035135
gate_0040,465,563,135,583527.042804535,5730937.438820938
gate_0045,447,551,117,568105.9914082478,5746991.585217491
gate_0021,445,480,103,574221.0898586364,5766978.934537578
gate_0028,443,479,102,574221.0552481051,5766871.294983152
gate_0037,443,478,102,574221.4725764225,5766828.475145221
