gate_id,inbound,outbound,outbound_at_workplace,at_workplace_share_external,n_kreise
gate_0000,3741,4785,4051,0.8465644955300128,153
gate_0004,5819,2011,1702,0.8465644955300128,95
gate_0006,5818,2012,1703,0.8465644955300128,95
gate_0010,2835,3748,3173,0.8465644955300128,153
gate_0007,2813,3584,3034,0.8465644955300128,147
gate_0001,2605,3273,2771,0.8465644955300128,207
gate_0008,2307,2763,2339,0.8465644955300128,163
gate_0005,2248,2655,2248,0.8465644955300128,163
gate_0002,3147,1385,1172,0.8465644955300128,175
gate_0009,1987,2380,2015,0.8465644955300128,191
gate_0003,1984,2202,1864,0.8465644955300128,169
gate_0012,1563,1906,1614,0.8465644955300128,139
gate_0015,1562,1905,1613,0.8465644955300128,139
gate_0014,1533,1852,1568,0.8465644955300128,138
gate_0017,1305,1681,1423,0.8465644955300128,126
gate_0011,1361,1624,1375,0.8465644955300128,177
gate_0023,1427,1392,1178,0.8465644955300128,65
gate_0013,1278,1476,1250,0.8465644955300128,186
gate_0016,1148,1376,1165,0.8465644955300128,132
gate_0033,1643,541,458,0.8465644955300128,59
gate_0038,1472,506,428,0.8465644955300128,64
gate_0026,959,1000,847,0.8465644955300128,72
gate_0027,1433,460,389,0.8465644955300128,65
gate_0029,1393,476,403,0.8465644955300128,66
gate_0018,762,915,775,0.8465644955300128,115
gate_0046,704,926,784,0.8465644955300128,96
gate_0042,692,908,769,0.8465644955300128,92
gate_0035,1188,400,339,0.8465644955300128,67
gate_0030,683,826,699,0.8465644955300128,85
gate_0034,719,776,657,0.8465644955300128,77
gate_0025,584,720,610,0.8465644955300128,106
gate_0020,584,720,610,0.8465644955300128,106
gate_0036,885,323,273,0.8465644955300128,73
gate_0044,644,555,470,0.8465644955300128,127
gate_0039,546,651,551,0.8465644955300128,100
gate_0043,672,522,442,0.8465644955300128,121
gate_0019,712,443,375,0.8465644955300128,108
gate_0022,529,619,524,0.8465644955300128,101
gate_0031,732,394,334,0.8465644955300128,94
gate_0032,798,304,257,0.8465644955300128,74
gate_0024,479,612,518,0.8465644955300128,128
gate_0041,483,547,463,0.8465644955300128,97
gate_0040,465,563,477,0.8465644955300128,135
gate_0045,447,551,466,0.8465644955300128,117
gate_0021,445,480,406,0.8465644955300128,103
gate_0028,443,479,406,0.8465644955300128,102
gate_0037,443,478,405,0.8465644955300128,102
