code,scope,distance_class,n_workers,share
03101,all,lt10,45098,0.6198696978860269
03101,all,10_25,9622,0.13225389669296533
03101,all,25_50,10398,0.14291997690848612
03101,all,50_100,3285,0.04515215658245595
03101,all,100_200,1369,0.018816834813206146
03101,all,gt200,2982,0.04098743711685955
03101,external,lt10,0,0.0
03101,external,10_25,0,0.0
03101,external,25_50,274,0.03576089793787523
03101,external,50_100,3037,0.39637170451579223
03101,external,100_200,1369,0.1786739754633255
03101,external,gt200,2982,0.38919342208300706
03101,internal,lt10,45098,0.6928347569593806
03101,internal,10_25,9622,0.1478215448903091
03101,internal,25_50,10124,0.15553370613900325
03101,internal,50_100,248,0.0038099920113070732
03101,internal,100_200,0,0.0
03101,internal,gt200,0,0.0
03101,unresolved,lt10,0,
03101,unresolved,10_25,0,
03101,unresolved,25_50,0,
03101,unresolved,50_100,0,
03101,unresolved,100_200,0,
03101,unresolved,gt200,0,
03102,all,lt10,12124,0.4513607088343695
03102,all,10_25,8501,0.3164811436655374
03102,all,25_50,3574,0.13305535907077176
03102,all,50_100,1478,0.05502401250884181
03102,all,100_200,266,0.009902833103756375
03102,all,gt200,918,0.03417594281672313
03102,external,lt10,0,0.0
03102,external,10_25,67,0.02427536231884058
03102,external,25_50,551,0.1996376811594203
03102,external,50_100,967,0.3503623188405797
03102,external,100_200,257,0.0931159420289855
03102,external,gt200,918,0.33260869565217394
03102,internal,lt10,12124,0.5030496659889632
03102,internal,10_25,8434,0.34994398572673335
03102,internal,25_50,3023,0.12543048006306792
03102,internal,50_100,511,0.02120243973279117
03102,internal,100_200,9,0.0003734284884444629
03102,internal,gt200,0,0.0
03102,unresolved,lt10,0,
03102,unresolved,10_25,0,
03102,unresolved,25_50,0,
03102,unresolved,50_100,0,
03102,unresolved,100_200,0,
03102,unresolved,gt200,0,
03103,all,lt10,25520,0.752558166966471
03103,all,10_25,3369,0.09934829406387308
03103,all,25_50,2406,0.07095042906431541
03103,all,50_100,937,0.027631152133525995
03103,all,100_200,406,0.011972516292648403
03103,all,gt200,1273,0.037539441479166054
03103,external,lt10,0,0.0
03103,external,10_25,3,0.001195219123505976
03103,external,25_50,38,0.015139442231075698
03103,external,50_100,790,0.3147410358565737
03103,external,100_200,406,0.16175298804780877
03103,external,gt200,1273,0.5071713147410358
03103,internal,lt10,25520,0.8127129709244929
03103,internal,10_25,3366,0.10719403840642018
03103,internal,25_50,2368,0.07541161109518806
03103,internal,50_100,147,0.004681379573898921
03103,internal,100_200,0,0.0
03103,internal,gt200,0,0.0
03103,unresolved,lt10,0,
03103,unresolved,10_25,0,
03103,unresolved,25_50,0,
03103,unresolved,50_100,0,
03103,unresolved,100_200,0,
03103,unresolved,gt200,0,
03151,all,lt10,14861,0.3218199142448785
03151,all,10_25,15148,0.32803499501927325
03151,all,25_50,10529,0.2280090086188228
03151,all,50_100,3543,0.07672484732989736
03151,all,100_200,898,0.019446489670405822
03151,all,gt200,1199,0.025964745116722247
03151,external,lt10,0,0.0
03151,external,10_25,41,0.007939581719597211
03151,external,25_50,584,0.11309062742060419
03151,external,50_100,2448,0.4740511231603408
03151,external,100_200,892,0.17273431448489543
03151,external,gt200,1199,0.23218435321456235
03151,internal,lt10,14861,0.36233968888672163
03151,internal,10_25,15107,0.36833764080557857
03151,internal,25_50,9945,0.24247817818305945
03151,internal,50_100,1095,0.026698200614424343
03151,internal,100_200,6,0.0001462915102160238
03151,internal,gt200,0,0.0
03151,unresolved,lt10,0,
03151,unresolved,10_25,0,
03151,unresolved,25_50,0,
03151,unresolved,50_100,0,
03151,unresolved,100_200,0,
03151,unresolved,gt200,0,
03153,all,lt10,14753,0.43345281466682334
03153,all,10_25,7593,0.22308731930896697
03153,all,25_50,4404,0.12939240803854743
03153,all,50_100,4951,0.14546362674814903
03153,all,100_200,793,0.023298860030555882
03153,all,gt200,1542,0.04530497120695734
03153,external,lt10,11,0.0016471997604073077
03153,external,10_25,125,0.018718179095537586
03153,external,25_50,1087,0.16277328541479485
03153,external,50_100,3145,0.47094938604372566
03153,external,100_200,768,0.11500449236298294
03153,external,gt200,1542,0.23090745732255166
03153,internal,lt10,14742,0.5388551794721836
03153,internal,10_25,7468,0.27297317055340303
03153,internal,25_50,3317,0.12124424300021931
03153,internal,50_100,1806,0.0660135974851963
03153,internal,100_200,25,0.0009138094889977337
03153,internal,gt200,0,0.0
03153,unresolved,lt10,0,
03153,unresolved,10_25,0,
03153,unresolved,25_50,0,
03153,unresolved,50_100,0,
03153,unresolved,100_200,0,
03153,unresolved,gt200,0,
03154,all,lt10,7277,0.3084389437545035
03154,all,10_25,7712,0.3268766159454075
03154,all,25_50,6211,0.26325605052346035
03154,all,50_100,1240,0.05255796210740474
03154,all,100_200,483,0.020472173949900394
03154,all,gt200,670,0.02839825371932353
03154,external,lt10,8,0.0035826242722794446
03154,external,10_25,59,0.026421854008060904
03154,external,25_50,274,0.12270488132557097
03154,external,50_100,740,0.33139274518584866
03154,external,100_200,482,0.21585311240483654
03154,external,gt200,670,0.3000447828034035
03154,internal,lt10,7269,0.3403089887640449
03154,internal,10_25,7653,0.3582865168539326
03154,internal,25_50,5937,0.2779494382022472
03154,internal,50_100,500,0.023408239700374533
03154,internal,100_200,1,4.6816479400749066e-05
03154,internal,gt200,0,0.0
03154,unresolved,lt10,0,
03154,unresolved,10_25,0,
03154,unresolved,25_50,0,
03154,unresolved,50_100,0,
03154,unresolved,100_200,0,
03154,unresolved,gt200,0,
03157,all,lt10,11409,0.3237422320592492
03157,all,10_25,8445,0.23963565165574188
03157,all,25_50,9421,0.2673306659856417
03157,all,50_100,3958,0.11231236344031101
03157,all,100_200,665,0.018870066116171504
03157,all,gt200,1343,0.038109020742884706
03157,external,lt10,8,0.0008751777704846296
03157,external,10_25,386,0.04222732742588338
03157,external,25_50,3630,0.3971119133574007
03157,external,50_100,3109,0.3401159610545892
03157,external,100_200,665,0.07274915217153484
03157,external,gt200,1343,0.1469204682201072
03157,internal,lt10,11401,0.4368199233716475
03157,internal,10_25,8059,0.30877394636015326
03157,internal,25_50,5791,0.22187739463601533
03157,internal,50_100,849,0.032528735632183906
03157,internal,100_200,0,0.0
03157,internal,gt200,0,0.0
03157,unresolved,lt10,0,
03157,unresolved,10_25,0,
03157,unresolved,25_50,0,
03157,unresolved,50_100,0,
03157,unresolved,100_200,0,
03157,unresolved,gt200,0,
03158,all,lt10,10310,0.3189481825212684
03158,all,10_25,11138,0.3445630317092034
03158,all,25_50,7367,0.22790409899458625
03158,all,50_100,2123,0.06567672080433101
03158,all,100_200,355,0.010982211910286156
03158,all,gt200,1032,0.03192575406032483
03158,external,lt10,0,0.0
03158,external,10_25,8,0.002664890073284477
