code,scope,n_model,is_aggregate,model_share_0_5,model_share_5_10,model_share_10_20,model_share_20_30,model_share_30_50,model_share_50_100,model_share_100_plus,n_reference_persons,source,emd,noise_floor,target_share_0_5,target_share_5_10,target_share_10_20,target_share_20_30,target_share_30_50,target_share_50_100,target_share_100_plus,target_share_raw_0_5,target_share_raw_5_10,target_share_raw_10_20,target_share_raw_20_30,target_share_raw_30_50,target_share_raw_50_100,target_share_raw_100_plus,classification,model_share_intra,target_share_intra
03101,all,72754,False,0.3528603238309921,0.2670093740550348,0.11167770844214751,0.06821618055364653,0.09527998460565743,0.04515215658245595,0.059804271930065704,1272,srv,0.05376143419926216,0.0205243945,0.3881481567,0.2593157621,0.1455889301,0.068792527,0.1094932435,0.02866138058,0.0,0.3917864345,0.2610239723,0.1431938199,0.06672732008,0.1095409835,0.02772746972,0.0,ok,0.6527063804052011,0.7290625747
03102,all,26861,False,0.2137671717359741,0.23759353709839545,0.23308886489706265,0.1342839060347716,0.0821637318044749,0.05502401250884181,0.044078775920479506,387,srv,0.022360418105570778,0.03668688844,0.2420791645,0.1960881711,0.2388806633,0.1513205222,0.104070441,0.06756103792,0.0,0.2162936091,0.1853648749,0.2551147543,0.1658576186,0.1028261126,0.07454303049,0.0,ok,0.5892557983693831,0.5686424142
03103,all,33911,False,0.4380289581551709,0.31452920881130014,0.06428592492111704,0.06965291498333874,0.036359883223732715,0.027631152133525995,0.049511957771814455,1659,proxy_rs7_72,0.07331371569788529,0.01850190425,0.3445961845,0.2406791422,0.1732895054,0.09338358686,0.1077353459,0.04031623517,0.0,0.3445961845,0.2406791422,0.1732895054,0.09338358686,0.1077353459,0.04031623517,0.0,ok,0.7840818613429271,0.6859253839
03151,all,46178,False,0.2057256702325783,0.11609424401230023,0.22796569795140542,0.16107237212525444,0.16700593356143617,0.07672484732989736,0.04541123478712807,849,srv,0.03719229439647908,0.03980889124,0.2070008298,0.1316545098,0.2427067773,0.1789914892,0.1960701319,0.04357626207,0.0,0.1968529907,0.1297644435,0.2436329695,0.1821428813,0.2043349479,0.04327176707,0.0,ok,0.2597124171683486,0.245568684
03153,all,34036,False,0.30088729580444235,0.13256551886238102,0.1814843107298155,0.06105300270302033,0.10994241391467857,0.14546362674814903,0.06860383123751322,570,srv,0.10352929684760204,0.02438933836,0.3316375467,0.1796093276,0.2089333313,0.1233332484,0.1136803213,0.04280622463,0.0,0.3320927334,0.1760380328,0.2097316675,0.1265014564,0.112738979,0.04289713097,0.0,gap,0.47681866259254907,0.4860368929
03154,all,23593,False,0.25469418895435086,0.05374475480015259,0.24053744754800152,0.14084686135718222,0.20874835756368415,0.05255796210740474,0.04887042766922392,430,srv,0.05175195757246765,0.0392377993,0.2607791772,0.09572935623,0.3004776613,0.09685208392,0.180195242,0.06596647935,0.0,0.2532496874,0.08364288725,0.3157414418,0.08397206392,0.1928216136,0.07057230605,0.0,ok,0.27783664646293393,0.2859253739
03157,all,35241,False,0.2081098720240629,0.11563236003518629,0.17269657501205982,0.1547912942311512,0.1794784483981726,0.11231236344031101,0.05697908685905621,581,srv,0.09680715432689034,0.02727412364,0.2251170145,0.1767456386,0.2481387529,0.1627214493,0.1316666172,0.05561052736,0.0,0.2134063486,0.1817446861,0.2504271089,0.1645261446,0.1326588329,0.05723687896,0.0,gap,0.2805255242473256,0.310424862
03158,all,32325,False,0.2408662026295437,0.07808197989172468,0.24522815158546016,0.16652745552977571,0.16071152358855376,0.06567672080433101,0.04290796597061098,454,srv,0.09967013867691805,0.02938841415,0.3039450785,0.09864754296,0.3337553416,0.1532184829,0.07920413334,0.03122942063,0.0,0.3063215312,0.08784277866,0.3555421118,0.1534348514,0.06891829396,0.02794043299,0.0,gap,0.26382057231245165,0.3518420003
zgb,all,304900,True,0.28579206297146603,0.17780911774352245,0.17368973433912757,0.11350934732699246,0.12552312233519186,0.0705641193834044,0.05311249590029518,4543,srv,0.05120106923871933,0.01226836262,0.2966296485,0.1862941235,0.221929825,0.1229061517,0.1279752106,0.04426504057,0.0,0.2966296485,0.1862941235,0.221929825,0.1229061517,0.1279752106,0.04426504057,0.0,ok,0.4693178091177435,0.4976835099
03101,inter,25267,False,0.005778287885384098,0.018601337713222782,0.20271500375984486,0.19634305616020897,0.2743499426128943,0.1300114774211422,0.1722008944473028,353,srv,0.08122046023290215,0.02451641707,0.001275663318,0.02758289348,0.2264300229,0.2505086529,0.3875772093,0.1066255581,0.0,0.0,0.02016527115,0.2297486253,0.2434434609,0.4043036259,0.1023390168,0.0,gap,,
03102,inter,11033,False,0.0044412217891779205,0.030635366627390557,0.2041149279434424,0.31949605728269737,0.2000362548717484,0.13396175111030545,0.10731442037523792,156,srv,0.047032503640052604,0.04072753385,0.009459511748,0.07817186132,0.1656090263,0.3202972658,0.2735947157,0.1528676191,0.0,0.01181897131,0.09381593888,0.1341306094,0.3490462948,0.2383778934,0.1728102923,0.0,ok,,
03103,inter,7322,False,0.0013657470636438131,0.024583447145588636,0.12605845397432394,0.3223163070199399,0.16839661294728217,0.1279704998634253,0.22930893198579624,509,proxy_rs7_72,0.10590804003884813,0.022091915,0.004364929093,0.04736560304,0.1944354116,0.2824442224,0.3430246839,0.1283651499,0.0,0.004364929093,0.04736560304,0.1944354116,0.2824442224,0.3430246839,0.1283651499,0.0,gap,,
03151,inter,34185,False,0.01494807664180196,0.07705133830627468,0.2998976159134123,0.21752230510457804,0.22559602164692116,0.10364194822290479,0.061342694164107064,670,srv,0.0530170211339474,0.03561568431,0.01684070026,0.1156646133,0.3014311128,0.2428024721,0.2632784115,0.05998269011,0.0,0.01745604605,0.1191100739,0.293800055,0.2414307008,0.270846323,0.05735680128,0.0,ok,,
03153,inter,17807,False,0.01617341494917729,0.06963553658673555,0.17903071825686528,0.11585331611164149,0.21014207895771325,0.27803672712978045,0.1311282080080867,295,srv,0.16163869159700348,0.02809066918,0.01178081311,0.1037581265,0.3282285904,0.2393917416,0.2308629991,0.08597772918,0.0,0.0105641235,0.1122567019,0.332545357,0.2418180944,0.2193522792,0.08346344393,0.0,gap,,
03154,inter,17038,False,0.003462847752083578,0.045134405446648665,0.32726845873928867,0.1946237821340533,0.2890597487968071,0.07277849512853621,0.06767226200258246,348,srv,0.05943250561046512,0.03771698515,0.01220358434,0.06674362902,0.4221665716,0.1475951279,0.2572049131,0.09408617405,0.0,0.01205579724,0.05931937675,0.4421686898,0.1175956418,0.2700300592,0.09883043519,0.0,ok,,
03157,inter,25355,False,0.009662788404653915,0.061486886215736544,0.22894892526128968,0.2151449418260698,0.24945770065075923,0.1561033326760008,0.07919542496549004,430,srv,0.11441461818708443,0.02443105485,0.01927492018,0.1090314758,0.3524068788,0.2411194173,0.196188156,0.08197915195,0.0,0.02079981245,0.1128573942,0.3523714552,0.2385905981,0.1923776331,0.08300310699,0.0,gap,,
03158,inter,23797,False,0.007984199689036433,0.06769760894230366,0.33231079547842163,0.2262049838214901,0.21830482833970669,0.08921292599907552,0.05828465772996596,341,srv,0.09053672818626961,0.02947068998,0.01755973285,0.0819741979,0.4789347435,0.2401867898,0.130421062,0.05092347402,0.0,0.01897963004,0.0788639841,0.5159950201,0.2367244584,0.1063294659,0.04310744139,0.0,gap,,
zgb,inter,161805,True,0.009258057538394981,0.054392633107753156,0.25355211520039556,0.21321343592596026,0.2365316275764037,0.13296869688822965,0.1000834337628627,2593,srv,0.08519352778006067,0.01291498992,0.01297512784,0.08635072146,0.3179402772,0.2398419824,0.2547700766,0.08812181453,0.0,0.01297512784,0.08635072146,0.3179402772,0.2398419824,0.2547700766,0.08812181453,0.0,gap,,
03101,intra,47487,False,0.5375365889611894,0.39918293427674945,0.06323835997220292,4.2116789858277004e-05,0.0,0.0,0.0,919,srv,0.00981816642321165,0.009741062428,0.5344007369,0.3481089295,0.1158849272,0.00160540641,0.0,0.0,0.0,0.5373838242,0.3505329372,0.1110279443,0.001055294292,0.0,0.0,0.0,ok,,
03102,intra,15828,False,0.3596790497851908,0.38185494061157443,0.25328531715946423,0.005180692443770533,0.0,0.0,0.0,231,srv,0.020198087904633993,0.02455276119,0.4123645676,0.2762679732,0.2905852068,0.02078225238,0.0,0.0,0.0,0.3714028376,0.2548115553,0.3468902311,0.02689537602,0.0,0.0,0.0,ok,,
03103,intra,26589,False,0.5582759787882207,0.3943736131482944,0.04727518898792734,7.52190755575614e-05,0.0,0.0,0.0,1150,proxy_rs7_72,0.031284326747363,0.01025585314,0.50038281,0.3291944195,0.1636071223,0.006815648245,0.0,0.0,0.0,0.50038281,0.3291944195,0.1636071223,0.006815648245,0.0,0.0,0.0,ok,,
03151,intra,11993,False,0.7495205536562995,0.2273826398732594,0.022930042524806137,0.00016676394563495373,0.0,0.0,0.0,179,srv,0.012657528936403947,0.02115289206,0.7307814197,0.1891404094,0.07968673175,0.0003914391406,0.0,0.0,0.0,0.7479927811,0.1624965897,0.08951062913,0.0,0.0,0.0,0.0,ok,,
