segment,metric,model,srv,delta_pp,n_srv
age_0-5,dep_hour_share_all_10,0.025067936333949898,0.03927904023,-1.4211103896050101,1081
age_0-5,dep_hour_share_all_11,0.02908131807905734,0.04226813044,-1.3186812360942664,1081
age_0-5,dep_hour_share_all_12,0.05066109474549565,0.03748043204,1.3180662705495652,1081
age_0-5,dep_hour_share_all_13,0.06686305405220251,0.05527771632,1.1585337732202508,1081
age_0-5,dep_hour_share_all_14,0.0883457788129981,0.1203613924,-3.2015613587001903,1081
age_0-5,dep_hour_share_all_15,0.12486584001278801,0.1388659157,-1.4000075687211997,1081
age_0-5,dep_hour_share_all_16,0.11677056929506063,0.1040704872,1.2700082095060627,1081
age_0-5,dep_hour_share_all_17,0.07993651663583841,0.0875289599,-0.7592443264161586,1081
age_0-5,dep_hour_share_all_18,0.059635541549633485,0.04142940511,1.8206136439633487,1081
age_0-5,dep_hour_share_all_19,0.026557968532346828,0.008109154422,1.844881411034683,1081
age_0-5,dep_hour_share_all_20,0.009813660341165993,0.004198027095,0.5615633246165993,1081
age_0-5,dep_hour_share_all_21,0.0051551688703158184,0.001025825513,0.41293433573158184,1081
age_0-5,dep_hour_share_all_22,0.003442488182503254,0.0,0.3442488182503254,1081
age_0-5,dep_hour_share_all_23,0.0011817496745906693,0.0,0.11817496745906693,1081
age_0-5,dep_hour_share_all_4,0.0002740289100500103,0.0,0.02740289100500103,1081
age_0-5,dep_hour_share_all_5,0.00182115046470736,0.0,0.182115046470736,1081
age_0-5,dep_hour_share_all_6,0.03335731086296271,0.004651560907,2.8705749955962707,1081
age_0-5,dep_hour_share_all_7,0.14190130392089698,0.1546271582,-1.2725854279103026,1081
age_0-5,dep_hour_share_all_8,0.09748007581466511,0.1249925596,-2.7512483785334885,1081
age_0-5,dep_hour_share_all_9,0.03695394030736909,0.03583423487,0.1119705437369091,1081
age_0-5,dep_hour_share_education_10,0.021964998222257337,0.01012151758,1.1843480642257338,1081
age_0-5,dep_hour_share_education_11,0.016967566072768933,0.003528773684,1.3438792388768934,1081
age_0-5,dep_hour_share_education_12,0.021411922727452296,0.002992244809,1.8419677918452295,1081
age_0-5,dep_hour_share_education_13,0.040078220677122425,0.003951932875,3.6126287802122423,1081
age_0-5,dep_hour_share_education_14,0.0532927744637143,0.005629101725,4.766367273871429,1081
age_0-5,dep_hour_share_education_15,0.05354955951487378,0.01484007092,3.8709488594873775,1081
age_0-5,dep_hour_share_education_16,0.022893374945680084,0.003396129473,1.9497245472680083,1081
age_0-5,dep_hour_share_education_17,0.014320704776201952,0.0,1.4320704776201951,1081
age_0-5,dep_hour_share_education_18,0.007170228736222494,0.0,0.7170228736222495,1081
age_0-5,dep_hour_share_education_19,0.004128313514794769,0.0,0.4128313514794769,1081
age_0-5,dep_hour_share_education_20,0.00037530122861770634,0.0,0.03753012286177063,1081
age_0-5,dep_hour_share_education_21,1.9752696243037175e-05,0.0,0.0019752696243037176,1081
age_0-5,dep_hour_share_education_22,1.9752696243037175e-05,0.0,0.0019752696243037176,1081
age_0-5,dep_hour_share_education_23,1.9752696243037175e-05,0.0,0.0019752696243037176,1081
age_0-5,dep_hour_share_education_4,0.0008691186346936356,0.0,0.08691186346936357,1081
age_0-5,dep_hour_share_education_5,0.006202346620313673,0.0,0.6202346620313672,1081
age_0-5,dep_hour_share_education_6,0.08001817248054359,0.01423413437,6.5784038110543595,1081
age_0-5,dep_hour_share_education_7,0.3606644807016158,0.5557846062,-19.512012549838424,1081
age_0-5,dep_hour_share_education_8,0.2591356220124047,0.3598748049,-10.07391828875953,1081
age_0-5,dep_hour_share_education_9,0.036819025797021294,0.02564668343,1.1172342367021293,1081
age_0-5,dep_hour_share_escort_10,0.001430615164520744,0.007567602011,-0.6136986846479257,1081
age_0-5,dep_hour_share_escort_11,0.020147830233667143,0.0223770094,-0.22291791663328586,1081
age_0-5,dep_hour_share_escort_12,0.03457319980925131,0.03126627875,0.330692105925131,1081
age_0-5,dep_hour_share_escort_13,0.04148783977110158,0.1163807025,-7.489286272889842,1081
age_0-5,dep_hour_share_escort_14,0.030400572246065807,0.08807880457,-5.767823232393419,1081
age_0-5,dep_hour_share_escort_15,0.05329041487839771,0.1710638512,-11.77734363216023,1081
age_0-5,dep_hour_share_escort_16,0.10467334287076777,0.05859278952,4.608055335076776,1081
age_0-5,dep_hour_share_escort_17,0.0026227944682880307,0.04664377303,-4.402097856171197,1081
age_0-5,dep_hour_share_escort_18,0.003218884120171674,0.009686457866,-0.6467573745828326,1081
age_0-5,dep_hour_share_escort_19,0.0004768717215069146,0.004172965036,-0.36960933144930846,1081
age_0-5,dep_hour_share_escort_20,0.0005960896518836433,0.0,0.059608965188364324,1081
age_0-5,dep_hour_share_escort_21,0.0004768717215069146,0.0,0.04768717215069146,1081
age_0-5,dep_hour_share_escort_22,0.00011921793037672866,0.0,0.011921793037672865,1081
age_0-5,dep_hour_share_escort_23,0.00011921793037672866,0.0,0.011921793037672865,1081
age_0-5,dep_hour_share_escort_4,0.0,0.0,0.0,1081
age_0-5,dep_hour_share_escort_5,0.0,0.0,0.0,1081
age_0-5,dep_hour_share_escort_6,0.07939914163090128,0.01247177688,6.692736475090127,1081
age_0-5,dep_hour_share_escort_7,0.47365283738674296,0.2677369862,20.591585118674296,1081
age_0-5,dep_hour_share_escort_8,0.12792083929422984,0.163961003,-3.604016370577015,1081
age_0-5,dep_hour_share_escort_9,0.025393419170243205,0.0,2.5393419170243203,1081
age_0-5,dep_hour_share_home_10,0.020093393764592776,0.03036516751,-1.0271773745407224,1081
age_0-5,dep_hour_share_home_11,0.03057272352698805,0.06912766921,-3.855494568301196,1081
age_0-5,dep_hour_share_home_12,0.07797005905782173,0.06231455668,1.5655502377821726,1081
age_0-5,dep_hour_share_home_13,0.09517923362175525,0.08337989217,1.179934145175525,1081
age_0-5,dep_hour_share_home_14,0.11855514352424118,0.1755057383,-5.695059477575882,1081
age_0-5,dep_hour_share_home_15,0.15411344595522594,0.1502221188,0.3891327155225943,1081
age_0-5,dep_hour_share_home_16,0.14298860046696882,0.1144395176,2.854908286696882,1081
age_0-5,dep_hour_share_home_17,0.12222222222222222,0.1461544406,-2.3932218377777774,1081
age_0-5,dep_hour_share_home_18,0.11100123609394313,0.08334545138,2.765578471394313,1081
age_0-5,dep_hour_share_home_19,0.047905507485235546,0.0140982489,3.380725858523555,1081
age_0-5,dep_hour_share_home_20,0.01965389369592089,0.009415860686,1.0238033009920888,1081
age_0-5,dep_hour_share_home_21,0.012168658151352835,0.002372423523,0.9796234628352836,1081
age_0-5,dep_hour_share_home_22,0.008158220024721878,0.0,0.8158220024721878,1081
age_0-5,dep_hour_share_home_23,0.002719406674907293,0.0,0.2719406674907293,1081
age_0-5,dep_hour_share_home_4,0.0,0.0,0.0,1081
age_0-5,dep_hour_share_home_5,1.3734377145996429e-05,0.0,0.0013734377145996428,1081
age_0-5,dep_hour_share_home_6,0.00010987501716797143,0.0005671905054,-0.045731548823202864,1081
age_0-5,dep_hour_share_home_7,0.0007828594973217965,0.006578514549,-0.5795655051678203,1081
age_0-5,dep_hour_share_home_8,0.012388408185688779,0.03081316199,-1.8424753804311225,1081
age_0-5,dep_hour_share_home_9,0.021590440873506388,0.02130004765,0.02903932235063869,1081
age_0-5,dep_hour_share_leisure_10,0.030495665703489664,0.08134889579,-5.085323008651034,1081
age_0-5,dep_hour_share_leisure_11,0.011246943765281174,0.02061085804,-0.9363914274718825,1081
age_0-5,dep_hour_share_leisure_12,0.03151811513669704,0.02430667608,0.7211439056697043,1081
age_0-5,dep_hour_share_leisure_13,0.07641698155145588,0.04430382513,3.2113156421455873,1081
age_0-5,dep_hour_share_leisure_14,0.11073571904867749,0.1588733201,-4.813760105132251,1081
age_0-5,dep_hour_share_leisure_15,0.24872193820849078,0.2605382913,-1.1816353091509217,1081
age_0-5,dep_hour_share_leisure_16,0.22200488997555012,0.2068195166,1.5185373375550122,1081
age_0-5,dep_hour_share_leisure_17,0.10135585685707935,0.05597247131,4.538338554707934,1081
age_0-5,dep_hour_share_leisure_18,0.05916870415647922,0.0167333378,4.2435366356479225,1081
age_0-5,dep_hour_share_leisure_19,0.02116025783507446,0.00559432099,1.556593684507446,1081
age_0-5,dep_hour_share_leisure_20,0.009824405423427428,0.0008138555409,0.9010549882527428,1081
age_0-5,dep_hour_share_leisure_21,0.00013336296954878863,0.0,0.013336296954878863,1081
age_0-5,dep_hour_share_leisure_22,4.445432318292954e-05,0.0,0.004445432318292954,1081
age_0-5,dep_hour_share_leisure_23,0.0002222716159146477,0.0,0.02222716159146477,1081
age_0-5,dep_hour_share_leisure_4,0.0,0.0,0.0,1081
age_0-5,dep_hour_share_leisure_5,4.445432318292954e-05,0.0,0.004445432318292954,1081
age_0-5,dep_hour_share_leisure_6,0.00026672593909757725,0.001575982468,-0.13092565289024227,1081
age_0-5,dep_hour_share_leisure_7,0.0016003556345854635,0.005751872642,-0.41515170074145363,1081
age_0-5,dep_hour_share_leisure_8,0.03783062902867304,0.03813793091,-0.030730188132695874,1081
age_0-5,dep_hour_share_leisure_9,0.03703045121138031,0.07861884525,-4.158839403861969,1081
age_0-5,dep_hour_share_other_10,0.03510905700154058,0.08878535176,-5.367629475845943,1081
age_0-5,dep_hour_share_other_11,0.08375902051406794,0.03749729285,4.626172766406794,1081
age_0-5,dep_hour_share_other_12,0.06640720019459985,0.01596237387,5.044482632459984,1081
age_0-5,dep_hour_share_other_13,0.04337955079867024,0.02291171688,2.0467833918670237,1081
age_0-5,dep_hour_share_other_14,0.06851536528014271,0.2023591065,-13.38437412198573,1081
age_0-5,dep_hour_share_other_15,0.08765101759507014,0.1510125408,-6.336152320492987,1081
age_0-5,dep_hour_share_other_16,0.1797616151787886,0.1092854049,7.047621027878861,1081
age_0-5,dep_hour_share_other_17,0.12446282331954918,0.07842442186,4.603840145954918,1081
age_0-5,dep_hour_share_other_18,0.03275764209843509,0.0,3.275764209843509,1081
age_0-5,dep_hour_share_other_19,0.0385145544474175,0.0,3.8514554447417497,1081
age_0-5,dep_hour_share_other_20,0.0034865807183977944,0.0,0.3486580718397794,1081
