# Source: C:\Users\bienzeisler\Documents\GitHub\eqasim-bs\eqasim-data\server_outputs\general_day_absence_arm4\braunschweig_100pct_b370_arm4_persons.csv (1130516 rows, md5 fab2c4028a62190a199e4705c2a403cb), the synthesis.output persons table of run general-day-absence-arm4-100pct-2026-09-18.
# Generated by scripts/measure_absence_composition.py on 2026-09-23; code state eqasim-bs 0f6c49dd
#   (module braunschweig/analysis/synthesis/absence_composition.py, patterns from
#   braunschweig/calibration/srv_absence.py: whole_household / partial_with_absent_adult /
#   partial_no_absent_adult, child = age <= 17, adult = age >= 18).
# Reference: C:\Users\bienzeisler\Documents\GitHub\eqasim-bs\.claude\worktrees\i426-measurement\eqasim-data\data\braunschweig\srv\srv2023_absence_composition_by_age_band.csv
# Table: absence_composition_vs_srv.csv
# Bound (pre-registered, issue #426 / ADR-0110 Amendment 3): the '0-17' row is the acceptance
#   row; a model share is accepted when it lies inside the Wilson 95 % interval of the
#   reference row's UNWEIGHTED counts (ASSUMPTION: unknown design effect of the expansion
#   weights). The seven age bands are diagnostic only. Weights on the model side are 1.0.
# Result '0-17': whole_household model 0.6133 vs SrV [0.3688, 0.5922] -> OUTSIDE; partial_with_absent_adult model 0.0240 vs SrV [0.0966, 0.2657] -> OUTSIDE; partial_no_absent_adult model 0.3627 vs SrV [0.2560, 0.4707] -> INSIDE
band,pattern,evaluated,n_model_absent,n_model_pattern,p_model,n_srv_absent_unweighted,n_srv_pattern_unweighted,p_srv_unweighted,p_srv_weighted,srv_ci_low,srv_ci_high,inside_interval
0-5,whole_household,False,2105,1005,0.4774346793,31,17,0.5483870968,0.6388944605,0.3777216751,0.7083826413,True
0-5,partial_with_absent_adult,False,2105,70,0.03325415677,31,8,0.2580645161,0.2027754549,0.1370170584,0.4324613595,False
0-5,partial_no_absent_adult,False,2105,1030,0.4893111639,31,6,0.1935483871,0.1583300846,0.09187008308,0.3628025796,False
6-17,whole_household,False,2353,1729,0.7348066298,42,18,0.4285714286,0.4808054221,0.2911765108,0.5779376023,False
6-17,partial_with_absent_adult,False,2353,37,0.01572460688,42,4,0.09523809524,0.1774908038,0.03766224854,0.2206510593,False
6-17,partial_no_absent_adult,False,2353,587,0.2494687633,42,20,0.4761904762,0.341703774,0.3335960113,0.6227753598,False
18-29,whole_household,False,12047,3601,0.2989125923,148,35,0.2364864865,0.2822409825,0.1752379577,0.3110683477,True
18-29,partial_with_absent_adult,False,12047,527,0.04374533079,148,22,0.1486486486,0.1371394065,0.1002603571,0.2148147168,False
18-29,partial_no_absent_adult,False,12047,7919,0.6573420769,148,91,0.6148648649,0.580619611,0.5345028602,0.6894149041,True
30-44,whole_household,False,9301,5132,0.551768627,143,68,0.4755244755,0.6030380374,0.3953880069,0.5569415324,True
30-44,partial_with_absent_adult,False,9301,166,0.01784754327,143,5,0.03496503497,0.01538058988,0.01502572186,0.07923552416,True
30-44,partial_no_absent_adult,False,9301,4003,0.4303838297,143,70,0.4895104895,0.3815813727,0.408931059,0.5706387436,True
45-64,whole_household,False,16716,10172,0.6085187844,298,136,0.4563758389,0.5331647875,0.4007369553,0.5131251096,False
45-64,partial_with_absent_adult,False,16716,279,0.01669059584,298,37,0.1241610738,0.1033844039,0.09143627914,0.1664522799,False
45-64,partial_no_absent_adult,False,16716,6265,0.3747906198,298,125,0.4194630872,0.3634508086,0.3648087248,0.476167395,True
65-74,whole_household,False,7520,4619,0.6142287234,197,127,0.6446700508,0.7304498566,0.5756530749,0.7081528699,True
65-74,partial_with_absent_adult,False,7520,46,0.006117021277,197,5,0.02538071066,0.0200958328,0.01088876169,0.05802857718,False
65-74,partial_no_absent_adult,False,7520,2855,0.3796542553,197,65,0.3299492386,0.2494543106,0.2680927131,0.3983108254,True
75+,whole_household,False,7272,4872,0.6699669967,95,70,0.7368421053,0.7901930546,0.64033979,0.8149347528,True
75+,partial_with_absent_adult,False,7272,29,0.00398789879,95,0,0,0,0,0.03886485413,True
75+,partial_no_absent_adult,False,7272,2371,0.3260451045,95,25,0.2631578947,0.2098069454,0.1850652472,0.35966021,True
0-17,whole_household,True,4458,2734,0.6132794975,73,35,0.4794520548,0.5516933237,0.3687745437,0.592184032,False
0-17,partial_with_absent_adult,True,4458,107,0.02400179453,73,12,0.1643835616,0.1888285656,0.09661296651,0.2657104366,False
0-17,partial_no_absent_adult,True,4458,1617,0.3627187079,73,26,0.3561643836,0.2594781107,0.256045004,0.4706650259,True
all,whole_household,False,57314,31130,0.5431482709,954,471,0.4937106918,0.5584738504,0.4620740089,0.5253978218,False
all,partial_with_absent_adult,False,57314,1154,0.02013469658,954,81,0.08490566038,0.07617296041,0.06883973586,0.1043010875,False
all,partial_no_absent_adult,False,57314,25030,0.4367170325,954,402,0.4213836478,0.3653531892,0.3904268057,0.4529710775,True
