segment,metric,model,srv,delta_pp,n_srv
all,dep_hour_share_all_10,0.04530829526337307,0.05208275243,-0.6774457166626925,18223
all,dep_hour_share_all_11,0.048804086706439834,0.05638717976,-0.7583093053560169,18223
all,dep_hour_share_all_12,0.06024672958743149,0.06122048412,-0.09737545325685104,18223
all,dep_hour_share_all_13,0.06579957360006315,0.07229829733,-0.6498723729936845,18223
all,dep_hour_share_all_14,0.07295702305145949,0.07193688752,0.1020135531459479,18223
all,dep_hour_share_all_15,0.08769334589414211,0.09129177653,-0.359843063585788,18223
all,dep_hour_share_all_16,0.08907618159194429,0.09313951947,-0.40633378780557117,18223
all,dep_hour_share_all_17,0.0780245537805444,0.08325053706,-0.5225983279455602,18223
all,dep_hour_share_all_18,0.0635763473049294,0.06232227312,0.1254074184929406,18223
all,dep_hour_share_all_19,0.040667410199380825,0.03832407875,0.23433314493808283,18223
all,dep_hour_share_all_20,0.029124940218925435,0.02323517727,0.5889762948925434,18223
all,dep_hour_share_all_21,0.019215948746002694,0.01689596206,0.23199866860026952,18223
all,dep_hour_share_all_22,0.014550798017833114,0.01114277512,0.34080228978331134,18223
all,dep_hour_share_all_23,0.007363861177056723,0.003609894486,0.37539666910567226,18223
all,dep_hour_share_all_4,0.004417886681805574,0.002569121759,0.1848764922805574,18223
all,dep_hour_share_all_5,0.01641863983887599,0.01238511537,0.40335244688759886,18223
all,dep_hour_share_all_6,0.04850614120957886,0.03307486761,1.5431273599578854,18223
all,dep_hour_share_all_7,0.09002776422006316,0.102717226,-1.2689461779936837,18223
all,dep_hour_share_all_8,0.05792889791803673,0.06368874809,-0.5759850171963267,18223
all,dep_hour_share_all_9,0.04877244919491748,0.04633409046,0.24383587349174826,18223
all,dep_hour_share_education_10,0.01901660344337644,0.01127198533,0.774461811337644,18223
all,dep_hour_share_education_11,0.02938642586185899,0.01820934422,1.1177081641858992,18223
all,dep_hour_share_education_12,0.02651318667935643,0.02153748165,0.4975705029356431,18223
all,dep_hour_share_education_13,0.031637205064478736,0.02866261207,0.2974592994478737,18223
all,dep_hour_share_education_14,0.024546573989291883,0.01802018268,0.6526391309291883,18223
all,dep_hour_share_education_15,0.0339421112218709,0.01783646586,1.61056453618709,18223
all,dep_hour_share_education_16,0.01835354824741431,0.01602070108,0.2332847167414307,18223
all,dep_hour_share_education_17,0.008475379001447896,0.01398119051,-0.5505811508552104,18223
all,dep_hour_share_education_18,0.00579609474021317,0.005305116992,0.04909777482131703,18223
all,dep_hour_share_education_19,0.005205208817280932,0.001884147068,0.33210617492809325,18223
all,dep_hour_share_education_20,0.0005142060703379778,0.0004658888282,0.004831724213797778,18223
all,dep_hour_share_education_21,0.00031574056950577577,0.0004652239367,-0.014948336719422426,18223
all,dep_hour_share_education_22,0.00014433854605978323,0.0,0.014433854605978323,18223
all,dep_hour_share_education_23,9.021159128736451e-05,0.0,0.009021159128736451,18223
all,dep_hour_share_education_4,0.0005502907068529236,0.0,0.05502907068529236,18223
all,dep_hour_share_education_5,0.003518252060207216,0.001188721285,0.23295307752072159,18223
all,dep_hour_share_education_6,0.1706893518748224,0.06624452555,10.44448263248224,18223
all,dep_hour_share_education_7,0.46271780461071443,0.617002642,-15.428483738928556,18223
all,dep_hour_share_education_8,0.12071664088118682,0.1259639598,-0.524731891881318,18223
all,dep_hour_share_education_9,0.03648607809617458,0.03593981114,0.05462669561745806,18223
all,dep_hour_share_escort_10,0.01705412265724914,0.01565574758,0.1398375077249138,18223
all,dep_hour_share_escort_11,0.03328377878329514,0.03004725867,0.3236520113295137,18223
all,dep_hour_share_escort_12,0.060108154428423974,0.0528680563,0.7240098128423973,18223
all,dep_hour_share_escort_13,0.07002122839021287,0.08932804703,-1.9306818639787129,18223
all,dep_hour_share_escort_14,0.13610838813547219,0.115349183,2.075920513547219,18223
all,dep_hour_share_escort_15,0.12194963613110965,0.1244621437,-0.25125075688903487,18223
all,dep_hour_share_escort_16,0.0791358032706003,0.05920440843,1.9931394840600296,18223
all,dep_hour_share_escort_17,0.056602548705198034,0.05249078204,0.4111766665198031,18223
all,dep_hour_share_escort_18,0.0433591493063445,0.03538729115,0.7971858156344498,18223
all,dep_hour_share_escort_19,0.019008173254825077,0.01797240353,0.10357697248250773,18223
all,dep_hour_share_escort_20,0.008095352475671745,0.005678119723,0.24172327526717452,18223
all,dep_hour_share_escort_21,0.006887866059893923,0.004239624988,0.2648241071893922,18223
all,dep_hour_share_escort_22,0.0025967449801673603,0.01415427905,-1.155753406983264,18223
all,dep_hour_share_escort_23,0.0017787703114146417,0.0,0.17787703114146416,18223
all,dep_hour_share_escort_4,0.0012983724900836801,0.0006932826375,0.060508985258368016,18223
all,dep_hour_share_escort_5,0.002330578619700206,0.001337280905,0.09932977147002059,18223
all,dep_hour_share_escort_6,0.044553651997221486,0.01618361979,2.8370032207221487,18223
all,dep_hour_share_escort_7,0.17900661520783698,0.2309359067,-5.192929149216302,18223
all,dep_hour_share_escort_8,0.08430981764358376,0.1134596022,-2.914978455641623,18223
all,dep_hour_share_escort_9,0.0278371061873941,0.0168111617,1.10259444873941,18223
all,dep_hour_share_home_10,0.03263559344556625,0.04046123877,-0.782564532443375,18223
all,dep_hour_share_home_11,0.04857208666404836,0.0585540642,-0.998197753595164,18223
all,dep_hour_share_home_12,0.07397583281410107,0.06647582231,0.7500010504101068,18223
all,dep_hour_share_home_13,0.08131029615433454,0.09330815006,-1.199785390566546,18223
all,dep_hour_share_home_14,0.0842905909207686,0.08069255332,0.35980376007686,18223
all,dep_hour_share_home_15,0.10571519691945157,0.1093322941,-0.3617097180548437,18223
all,dep_hour_share_home_16,0.10981836221839647,0.116839246,-0.7020883781603524,18223
all,dep_hour_share_home_17,0.10303684432776894,0.1064625149,-0.342567057223106,18223
all,dep_hour_share_home_18,0.08894670166931942,0.08747836701,0.14683346593194202,18223
all,dep_hour_share_home_19,0.05986797227742654,0.05159458958,0.8273382697426536,18223
all,dep_hour_share_home_20,0.05270109053540475,0.04105673517,1.164435536540475,18223
all,dep_hour_share_home_21,0.03637923346552839,0.0308444887,0.5534744765528392,18223
all,dep_hour_share_home_22,0.02911785637297315,0.02079915672,0.831869965297315,18223
all,dep_hour_share_home_23,0.0154219365050304,0.00713848223,0.8283454275030401,18223
all,dep_hour_share_home_4,5.38918796011115e-05,0.0007880555536,-0.07341636739988885,18223
all,dep_hour_share_home_5,0.000715359333335302,0.002243374312,-0.15280149786646977,18223
all,dep_hour_share_home_6,0.002005073219131765,0.005951955834,-0.3946882614868235,18223
all,dep_hour_share_home_7,0.009739665309280329,0.01771765154,-0.7977986230719671,18223
all,dep_hour_share_home_8,0.018882090473392177,0.03211590665,-1.323381617660782,18223
all,dep_hour_share_home_9,0.028018609678095684,0.02755384938,0.04647602980956851,18223
all,dep_hour_share_leisure_10,0.04689287233295756,0.05123809208,-0.4345219747042439,18223
all,dep_hour_share_leisure_11,0.03726323352699974,0.04645842328,-0.9195189753000259,18223
all,dep_hour_share_leisure_12,0.04506976532917095,0.06364873778,-1.8578972450829054,18223
all,dep_hour_share_leisure_13,0.05521763726984048,0.05387841209,0.13392251798404822,18223
all,dep_hour_share_leisure_14,0.07830069083986803,0.07686726499,0.14334258498680252,18223
all,dep_hour_share_leisure_15,0.10419170083701877,0.1102737997,-0.6082098862981222,18223
all,dep_hour_share_leisure_16,0.13822578447282682,0.1294178436,0.8807940872826825,18223
all,dep_hour_share_leisure_17,0.12588935825807598,0.1191116262,0.6777732058075983,18223
all,dep_hour_share_leisure_18,0.10075195421379285,0.1016873967,-0.09354424862071525,18223
all,dep_hour_share_leisure_19,0.06422580924891295,0.07607784797,-1.1852038721087046,18223
all,dep_hour_share_leisure_20,0.028191056658779613,0.0244133345,0.37777221587796117,18223
all,dep_hour_share_leisure_21,0.013988165289529213,0.01228588096,0.1702284329529213,18223
all,dep_hour_share_leisure_22,0.009968245316287386,0.006821451648,0.31467936682873854,18223
all,dep_hour_share_leisure_23,0.0024796732860110087,0.001633402206,0.08462710800110086,18223
all,dep_hour_share_leisure_4,0.0003675119441381845,0.002422411664,-0.20548997198618157,18223
all,dep_hour_share_leisure_5,0.003749447699746871,0.003823253606,-0.00738059062531291,18223
all,dep_hour_share_leisure_6,0.017202862463816592,0.01165320072,0.5549661743816593,18223
all,dep_hour_share_leisure_7,0.026727202903757293,0.02062581758,0.6101385323757292,18223
all,dep_hour_share_leisure_8,0.042759395298324725,0.04255933534,0.020005995832472756,18223
all,dep_hour_share_leisure_9,0.05461268783370291,0.04425437079,1.0358317043702916,18223
all,dep_hour_share_other_10,0.08442504475561852,0.1301118092,-4.568676444438149,18223
all,dep_hour_share_other_11,0.08297964661021089,0.09145098908,-0.8471342469789117,18223
all,dep_hour_share_other_12,0.07081014135016854,0.05132191486,1.9488226490168543,18223
all,dep_hour_share_other_13,0.07663483725621478,0.06001855461,1.6616282646214786,18223
all,dep_hour_share_other_14,0.0854221683271025,0.09755224515,-1.2130076822897489,18223
all,dep_hour_share_other_15,0.0904336481791719,0.1054314224,-1.4997774220828097,18223
all,dep_hour_share_other_16,0.08755147255323979,0.08905000017,-0.14985276167602118,18223
all,dep_hour_share_other_17,0.05879006094810072,0.05648435509,0.23057058581007206,18223
all,dep_hour_share_other_18,0.042994129327214574,0.01983289418,2.316123514721457,18223
all,dep_hour_share_other_19,0.02883612403412634,0.007601686856,2.1234437178126337,18223
all,dep_hour_share_other_20,0.0141263961885167,0.003986890487,1.0139505701516698,18223
all,dep_hour_share_other_21,0.008982732808239057,0.004324751579,0.46579812292390577,18223
all,dep_hour_share_other_22,0.004905158318510579,0.002829444726,0.20757135925105785,18223
all,dep_hour_share_other_23,0.003514357717362881,0.002102075094,0.14122826233628807,18223
all,dep_hour_share_other_4,0.0014310303706023832,0.0,0.14310303706023833,18223
all,dep_hour_share_other_5,0.0025574639153335766,0.001597040282,0.09604236333335765,18223
all,dep_hour_share_other_6,0.016169493765822513,0.01265661625,0.35128775158225123,18223
all,dep_hour_share_other_7,0.06112338757647248,0.05086334049,1.0260047086472484,18223
all,dep_hour_share_other_8,0.08197390237384375,0.096064651,-1.409074862615625,18223
all,dep_hour_share_other_9,0.08928709974971337,0.1148234528,-2.5536353050286635,18223
all,dep_hour_share_shop_10,0.12015530829856282,0.113573183,0.6582125298562822,18223
all,dep_hour_share_shop_11,0.08997836501313553,0.1045408637,-1.4562498686864476,18223
all,dep_hour_share_shop_12,0.07982151135836811,0.08070060705,-0.0879095691631887,18223
all,dep_hour_share_shop_13,0.0619456034615979,0.06772682363,-0.5781220168402101,18223
all,dep_hour_share_shop_14,0.07758847164271365,0.07479634652,0.2792125122713651,18223
all,dep_hour_share_shop_15,0.09837351259465307,0.09546457991,0.29089326846530733,18223
all,dep_hour_share_shop_16,0.08482846546128883,0.1031216009,-1.8293135438711166,18223
all,dep_hour_share_shop_17,0.07321897697419255,0.09223050614,-1.901152916580745,18223
all,dep_hour_share_shop_18,0.04938958429918096,0.04335069655,0.603888774918096,18223
all,dep_hour_share_shop_19,0.017265492195951165,0.02151343125,-0.4247939054048834,18223
all,dep_hour_share_shop_20,0.00456266419409674,0.006442516701,-0.187985250690326,18223
all,dep_hour_share_shop_21,0.002495750270437336,0.005893960561,-0.33982102905626643,18223
all,dep_hour_share_shop_22,0.0021828156390047908,0.0006416588402,0.15411567988047906,18223
all,dep_hour_share_shop_23,0.0004095193942203678,0.0005087035568,-0.00991841625796322,18223
all,dep_hour_share_shop_4,0.0001081749343223613,0.0,0.01081749343223613,18223
all,dep_hour_share_shop_5,0.0008344923504867872,0.0003825330999,0.04519592505867872,18223
all,dep_hour_share_shop_6,0.010060268891979602,0.007791666165,0.22686027269796022,18223
all,dep_hour_share_shop_7,0.036810384793694945,0.02966680839,0.7143576403694945,18223
all,dep_hour_share_shop_8,0.0769162416937104,0.05374159274,2.3174648953710406,18223
all,dep_hour_share_shop_9,0.11087158089939732,0.09791192129,1.2959659609397323,18223
all,dep_hour_share_work_10,0.030551934141970674,0.0303903156,0.016161854197067546,18223
all,dep_hour_share_work_11,0.025882997885503956,0.03001389447,-0.4130896584496044,18223
all,dep_hour_share_work_12,0.03148019329902844,0.05146979714,-1.9989603840971566,18223
all,dep_hour_share_work_13,0.03877036757219921,0.0513865555,-1.2616187927800788,18223
all,dep_hour_share_work_14,0.02119563464825197,0.02808671787,-0.6891083221748029,18223
all,dep_hour_share_work_15,0.019788273990777296,0.01634328475,0.34449892407772964,18223
all,dep_hour_share_work_16,0.01292422364826579,0.01024163755,0.268258609826579,18223
all,dep_hour_share_work_17,0.00798579279781456,0.009852105267,-0.18663124691854407,18223
all,dep_hour_share_work_18,0.004581408097736706,0.004006507796,0.05749003017367065,18223
all,dep_hour_share_work_19,0.0037084298830347396,0.001186497274,0.25219326090347394,18223
all,dep_hour_share_work_20,0.005346127800325237,0.005229557461,0.011657033932523705,18223
all,dep_hour_share_work_21,0.0036946096474457903,0.005844712427,-0.21501027795542094,18223
all,dep_hour_share_work_22,0.0009167422940669728,0.0005113971661,0.040534512796697286,18223
all,dep_hour_share_work_23,0.000598876875521138,0.001162207318,-0.056333044247886196,18223
all,dep_hour_share_work_4,0.03059800159393384,0.01450336362,1.6094637973933839,18223
