segment,metric,model,srv,delta_pp,n_srv
age_0-5,dep_hour_share_all_10,0.0194507585116371,0.03927904023,-1.9828281718362901,1081
age_0-5,dep_hour_share_all_11,0.027943865197410683,0.04226813044,-1.432426524258932,1081
age_0-5,dep_hour_share_all_12,0.048784404803083464,0.03748043204,1.1303972763083467,1081
age_0-5,dep_hour_share_all_13,0.06834016899738103,0.05527771632,1.306245267738103,1081
age_0-5,dep_hour_share_all_14,0.0864505608538815,0.1203613924,-3.39108315461185,1081
age_0-5,dep_hour_share_all_15,0.13273335968770075,0.1388659157,-0.6132556012299256,1081
age_0-5,dep_hour_share_all_16,0.12285047190789149,0.1040704872,1.8779984707891482,1081
age_0-5,dep_hour_share_all_17,0.08060112664920689,0.0875289599,-0.6927833250793103,1081
age_0-5,dep_hour_share_all_18,0.053299649157483815,0.04142940511,1.1870244047483818,1081
age_0-5,dep_hour_share_all_19,0.023076542965854624,0.008109154422,1.4967388543854625,1081
age_0-5,dep_hour_share_all_20,0.009858180560359737,0.004198027095,0.5660153465359737,1081
age_0-5,dep_hour_share_all_21,0.006287987349903642,0.001025825513,0.5262161836903642,1081
age_0-5,dep_hour_share_all_22,0.0039593319167860845,0.0,0.39593319167860846,1081
age_0-5,dep_hour_share_all_23,0.0010438800217423532,0.0,0.10438800217423533,1081
age_0-5,dep_hour_share_all_4,0.00016059692642190048,0.0,0.016059692642190048,1081
age_0-5,dep_hour_share_all_5,0.0017542125809161437,0.0,0.17542125809161438,1081
age_0-5,dep_hour_share_all_6,0.0340465484014429,0.004651560907,2.93949874944429,1081
age_0-5,dep_hour_share_all_7,0.14694001087117656,0.1546271582,-0.7687147328823446,1081
age_0-5,dep_hour_share_all_8,0.10173815288827395,0.1249925596,-2.3254406711726046,1081
age_0-5,dep_hour_share_all_9,0.029951326777684438,0.03583423487,-0.5882908092315564,1081
age_0-5,dep_hour_share_education_10,0.0110069635892095,0.01012151758,0.0885446009209501,1081
age_0-5,dep_hour_share_education_11,0.009761277542935326,0.003528773684,0.6232503858935325,1081
age_0-5,dep_hour_share_education_12,0.01770507872327391,0.002992244809,1.4712833914273908,1081
age_0-5,dep_hour_share_education_13,0.025342563662725397,0.003951932875,2.1390630787725398,1081
age_0-5,dep_hour_share_education_14,0.03926974208172517,0.005629101725,3.364064035672517,1081
age_0-5,dep_hour_share_education_15,0.05311523616982172,0.01484007092,3.8275165249821717,1081
age_0-5,dep_hour_share_education_16,0.02095203087667708,0.003396129473,1.755590140367708,1081
age_0-5,dep_hour_share_education_17,0.012681492372725601,0.0,1.26814923727256,1081
age_0-5,dep_hour_share_education_18,0.005186955012354755,0.0,0.5186955012354755,1081
age_0-5,dep_hour_share_education_19,0.00236884559619351,0.0,0.236884559619351,1081
age_0-5,dep_hour_share_education_20,8.168433090322448e-05,0.0,0.008168433090322448,1081
age_0-5,dep_hour_share_education_21,2.042108272580612e-05,0.0,0.002042108272580612,1081
age_0-5,dep_hour_share_education_22,2.042108272580612e-05,0.0,0.002042108272580612,1081
age_0-5,dep_hour_share_education_23,0.0,0.0,0.0,1081
age_0-5,dep_hour_share_education_4,0.0004492638199677347,0.0,0.04492638199677347,1081
age_0-5,dep_hour_share_education_5,0.00563621883232249,0.0,0.5636218832322489,1081
age_0-5,dep_hour_share_education_6,0.0914047662807082,0.01423413437,7.717063191070821,1081
age_0-5,dep_hour_share_education_7,0.3946986869243807,0.5557846062,-16.108591927561932,1081
age_0-5,dep_hour_share_education_8,0.28125957238252774,0.3598748049,-7.861523251747227,1081
age_0-5,dep_hour_share_education_9,0.028936674222467276,0.02564668343,0.32899907924672755,1081
age_0-5,dep_hour_share_escort_10,0.0006562756357670221,0.007567602011,-0.6911326375232978,1081
age_0-5,dep_hour_share_escort_11,0.02936833470057424,0.0223770094,0.6991325300574238,1081
age_0-5,dep_hour_share_escort_12,0.04692370795734208,0.03126627875,1.5657429207342082,1081
age_0-5,dep_hour_share_escort_13,0.06398687448728466,0.1163807025,-5.239382801271534,1081
age_0-5,dep_hour_share_escort_14,0.02493847415914684,0.08807880457,-6.314033041085317,1081
age_0-5,dep_hour_share_escort_15,0.0564397046759639,0.1710638512,-11.462414652403611,1081
age_0-5,dep_hour_share_escort_16,0.13256767842493847,0.05859278952,7.397488890493848,1081
age_0-5,dep_hour_share_escort_17,0.004593929450369155,0.04664377303,-4.204984357963085,1081
age_0-5,dep_hour_share_escort_18,0.006070549630844955,0.009686457866,-0.3615908235155045,1081
age_0-5,dep_hour_share_escort_19,0.0026251025430680886,0.004172965036,-0.15478624929319112,1081
age_0-5,dep_hour_share_escort_20,0.0009844134536505333,0.0,0.09844134536505333,1081
age_0-5,dep_hour_share_escort_21,0.00032813781788351107,0.0,0.03281378178835111,1081
age_0-5,dep_hour_share_escort_22,0.00016406890894175554,0.0,0.016406890894175553,1081
age_0-5,dep_hour_share_escort_23,0.0,0.0,0.0,1081
age_0-5,dep_hour_share_escort_4,0.0,0.0,0.0,1081
age_0-5,dep_hour_share_escort_5,0.0,0.0,0.0,1081
age_0-5,dep_hour_share_escort_6,0.06152584085315833,0.01247177688,4.905406397315833,1081
age_0-5,dep_hour_share_escort_7,0.40902378999179656,0.2677369862,14.128680379179654,1081
age_0-5,dep_hour_share_escort_8,0.12551271534044298,0.163961003,-3.8448287659557017,1081
age_0-5,dep_hour_share_escort_9,0.034290401968826906,0.0,3.4290401968826907,1081
age_0-5,dep_hour_share_home_10,0.01919261686775317,0.03036516751,-1.1172550642246828,1081
age_0-5,dep_hour_share_home_11,0.030816935353505666,0.06912766921,-3.831073385649434,1081
age_0-5,dep_hour_share_home_12,0.07668229312093112,0.06231455668,1.4367736440931125,1081
age_0-5,dep_hour_share_home_13,0.09844666186606316,0.08337989217,1.5066769696063158,1081
age_0-5,dep_hour_share_home_14,0.11912354696018929,0.1755057383,-5.638219133981071,1081
age_0-5,dep_hour_share_home_15,0.15792026099607623,0.1502221188,0.769814219607623,1081
age_0-5,dep_hour_share_home_16,0.16795744118036063,0.1144395176,5.351792358036063,1081
age_0-5,dep_hour_share_home_17,0.12273869531353329,0.1461544406,-2.34157452864667,1081
age_0-5,dep_hour_share_home_18,0.09829970461592723,0.08334545138,1.4954253235927224,1081
age_0-5,dep_hour_share_home_19,0.04327891016503299,0.0140982489,2.918066126503299,1081
age_0-5,dep_hour_share_home_20,0.018751745117345363,0.009415860686,0.9335884431345363,1081
age_0-5,dep_hour_share_home_21,0.01454876776345761,0.002372423523,1.217634424045761,1081
age_0-5,dep_hour_share_home_22,0.009126045233441592,0.0,0.9126045233441592,1081
age_0-5,dep_hour_share_home_23,0.0024688818022837156,0.0,0.24688818022837156,1081
age_0-5,dep_hour_share_home_4,0.0,0.0,0.0,1081
age_0-5,dep_hour_share_home_5,1.4695725013593546e-05,0.0,0.0014695725013593546,1081
age_0-5,dep_hour_share_home_6,2.9391450027187092e-05,0.0005671905054,-0.05377990553728129,1081
age_0-5,dep_hour_share_home_7,0.000646611900598116,0.006578514549,-0.5931902648401883,1081
age_0-5,dep_hour_share_home_8,0.004129498728819786,0.03081316199,-2.6683663261180213,1081
age_0-5,dep_hour_share_home_9,0.014181374638117772,0.02130004765,-0.7118673011882228,1081
age_0-5,dep_hour_share_leisure_10,0.02302873986735446,0.08134889579,-5.832015592264554,1081
age_0-5,dep_hour_share_leisure_11,0.007553426676492263,0.02061085804,-1.3057431363507737,1081
age_0-5,dep_hour_share_leisure_12,0.02712785556374355,0.02430667608,0.2821179483743552,1081
age_0-5,dep_hour_share_leisure_13,0.0940493736182756,0.04430382513,4.97455484882756,1081
age_0-5,dep_hour_share_leisure_14,0.11219602063375092,0.1588733201,-4.667729946624907,1081
age_0-5,dep_hour_share_leisure_15,0.27505526897568167,0.2605382913,1.4516977675681664,1081
age_0-5,dep_hour_share_leisure_16,0.18095983787767134,0.2068195166,-2.5859678722328665,1081
age_0-5,dep_hour_share_leisure_17,0.11509764185703758,0.05597247131,5.912517054703758,1081
age_0-5,dep_hour_share_leisure_18,0.061026160648489314,0.0167333378,4.429282284848932,1081
age_0-5,dep_hour_share_leisure_19,0.023673544583640384,0.00559432099,1.8079223593640386,1081
age_0-5,dep_hour_share_leisure_20,0.0123894620486367,0.0008138555409,1.1575606507736698,1081
age_0-5,dep_hour_share_leisure_21,0.0007829771554900516,0.0,0.07829771554900516,1081
age_0-5,dep_hour_share_leisure_22,0.0006448047162859248,0.0,0.06448047162859248,1081
age_0-5,dep_hour_share_leisure_23,4.605747973470892e-05,0.0,0.004605747973470892,1081
age_0-5,dep_hour_share_leisure_4,0.0,0.0,0.0,1081
age_0-5,dep_hour_share_leisure_5,9.211495946941784e-05,0.0,0.009211495946941784,1081
age_0-5,dep_hour_share_leisure_6,0.0002302873986735446,0.001575982468,-0.13456950693264555,1081
age_0-5,dep_hour_share_leisure_7,0.0008290346352247605,0.005751872642,-0.492283800677524,1081
age_0-5,dep_hour_share_leisure_8,0.03145725865880619,0.03813793091,-0.6680672251193808,1081
age_0-5,dep_hour_share_leisure_9,0.03376013264554164,0.07861884525,-4.485871260445836,1081
age_0-5,dep_hour_share_other_10,0.03032371294851794,0.08878535176,-5.846163881148207,1081
age_0-5,dep_hour_share_other_11,0.09740639625585024,0.03749729285,5.990910340585024,1081
age_0-5,dep_hour_share_other_12,0.06542511700468019,0.01596237387,4.9462743134680185,1081
age_0-5,dep_hour_share_other_13,0.051969578783151324,0.02291171688,2.9057861903151325,1081
age_0-5,dep_hour_share_other_14,0.0904836193447738,0.2023591065,-11.18754871552262,1081
age_0-5,dep_hour_share_other_15,0.11427457098283932,0.1510125408,-3.6737969817160696,1081
age_0-5,dep_hour_share_other_16,0.19715288611544463,0.1092854049,8.786748121544463,1081
age_0-5,dep_hour_share_other_17,0.12090483619344773,0.07842442186,4.248041433344774,1081
age_0-5,dep_hour_share_other_18,0.02096333853354134,0.0,2.096333853354134,1081
age_0-5,dep_hour_share_other_19,0.014138065522620905,0.0,1.4138065522620904,1081
age_0-5,dep_hour_share_other_20,0.0039976599063962556,0.0,0.39976599063962553,1081
age_0-5,dep_hour_share_other_21,0.00078003120124805,0.0,0.078003120124805,1081
age_0-5,dep_hour_share_other_22,0.000390015600624025,0.0,0.0390015600624025,1081
