segment,metric,model,srv,delta_pp,n_srv
all,dep_hour_share_all_10,0.04593981922176853,0.05208275243,-0.614293320823147,18223
all,dep_hour_share_all_11,0.05017456669365416,0.05638717976,-0.6212613066345845,18223
all,dep_hour_share_all_12,0.061164092076116436,0.06122048412,-0.005639204388356578,18223
all,dep_hour_share_all_13,0.067288785387211,0.07229829733,-0.5009511942788993,18223
all,dep_hour_share_all_14,0.07346398401322007,0.07193688752,0.15270964932200676,18223
all,dep_hour_share_all_15,0.08678260510725758,0.09129177653,-0.4509171422742417,18223
all,dep_hour_share_all_16,0.08884500811934529,0.09313951947,-0.42945113506547145,18223
all,dep_hour_share_all_17,0.07831957730746927,0.08325053706,-0.4930959752530731,18223
all,dep_hour_share_all_18,0.06329516999811836,0.06232227312,0.09728968781183636,18223
all,dep_hour_share_all_19,0.041006620199723884,0.03832407875,0.26825414497238864,18223
all,dep_hour_share_all_20,0.02919207202057907,0.02323517727,0.5956894750579068,18223
all,dep_hour_share_all_21,0.0204592719289304,0.01689596206,0.35633098689304005,18223
all,dep_hour_share_all_22,0.015143895493416909,0.01114277512,0.4001120373416909,18223
all,dep_hour_share_all_23,0.007654942761156362,0.003609894486,0.4045048275156362,18223
all,dep_hour_share_all_4,0.003945881707313693,0.002569121759,0.13767599483136927,18223
all,dep_hour_share_all_5,0.015011165062147714,0.01238511537,0.26260496921477144,18223
all,dep_hour_share_all_6,0.04561984957423096,0.03307486761,1.2544981964230955,18223
all,dep_hour_share_all_7,0.08898174202069917,0.102717226,-1.3735483979300827,18223
all,dep_hour_share_all_8,0.05825295340607536,0.06368874809,-0.543579468392464,18223
all,dep_hour_share_all_9,0.048194696757158435,0.04633409046,0.18606062971584375,18223
all,dep_hour_share_education_10,0.013867181446667582,0.01127198533,0.2595196116667583,18223
all,dep_hour_share_education_11,0.026202420115382742,0.01820934422,0.7993075895382742,18223
all,dep_hour_share_education_12,0.026600902340861696,0.02153748165,0.5063420690861696,18223
all,dep_hour_share_education_13,0.02861545136967196,0.02866261207,-0.004716070032803957,18223
all,dep_hour_share_education_14,0.02167743306605507,0.01802018268,0.3657250386055071,18223
all,dep_hour_share_education_15,0.035938669157918504,0.01783646586,1.8102203297918502,18223
all,dep_hour_share_education_16,0.018086665456461388,0.01602070108,0.20659643764613864,18223
all,dep_hour_share_education_17,0.008376981895624223,0.01398119051,-0.5604208614375777,18223
all,dep_hour_share_education_18,0.005321951500285579,0.005305116992,0.001683450828557885,18223
all,dep_hour_share_education_19,0.004153070305547315,0.001884147068,0.2268923237547315,18223
all,dep_hour_share_education_20,0.0002922202986845659,0.0004658888282,-0.01736685295154341,18223
all,dep_hour_share_education_21,0.00017710321132397933,0.0004652239367,-0.028812072537602068,18223
all,dep_hour_share_education_22,0.00011511708736058657,0.0,0.011511708736058657,18223
all,dep_hour_share_education_23,5.7558543680293284e-05,0.0,0.005755854368029329,18223
all,dep_hour_share_education_4,0.0006907025241635194,0.0,0.06907025241635194,18223
all,dep_hour_share_education_5,0.004011387736488132,0.001188721285,0.28226664514881317,18223
all,dep_hour_share_education_6,0.17452193201893235,0.06624452555,10.827740646893234,18223
all,dep_hour_share_education_7,0.47110339728235123,0.617002642,-14.589924471764876,18223
all,dep_hour_share_education_8,0.1293871786130162,0.1259639598,0.34232188130162156,18223
all,dep_hour_share_education_9,0.02988616691092151,0.03593981114,-0.605364422907849,18223
all,dep_hour_share_escort_10,0.016310377266681806,0.01565574758,0.06546296866818055,18223
all,dep_hour_share_escort_11,0.033256560807084695,0.03004725867,0.3209302137084695,18223
all,dep_hour_share_escort_12,0.06014208323871931,0.0528680563,0.7274026938719307,18223
all,dep_hour_share_escort_13,0.07847017225159762,0.08932804703,-1.0857874778402374,18223
all,dep_hour_share_escort_14,0.13187789924416907,0.115349183,1.6528716244169073,18223
all,dep_hour_share_escort_15,0.11730625750154086,0.1244621437,-0.7155886198459138,18223
all,dep_hour_share_escort_16,0.08299218217796088,0.05920440843,2.378777374796088,18223
all,dep_hour_share_escort_17,0.05860447010737341,0.05249078204,0.6113688067373404,18223
all,dep_hour_share_escort_18,0.04246277613780128,0.03538729115,0.7075484987801278,18223
all,dep_hour_share_escort_19,0.015888669023907613,0.01797240353,-0.2083734506092387,18223
all,dep_hour_share_escort_20,0.0088104583644208,0.005678119723,0.31323386414207993,18223
all,dep_hour_share_escort_21,0.010789243195899698,0.004239624988,0.6549618207899698,18223
all,dep_hour_share_escort_22,0.0028157134979076783,0.01415427905,-1.1338565552092321,18223
all,dep_hour_share_escort_23,0.002147468128588575,0.0,0.21474681285885752,18223
all,dep_hour_share_escort_4,0.0008563921237875888,0.0006932826375,0.01631094862875888,18223
all,dep_hour_share_escort_5,0.001907418821163266,0.001337280905,0.057013791616326595,18223
all,dep_hour_share_escort_6,0.0385571090278003,0.01618361979,2.23734892378003,18223
all,dep_hour_share_escort_7,0.17323774613163784,0.2309359067,-5.769816056836216,18223
all,dep_hour_share_escort_8,0.0944821098387777,0.1134596022,-1.8977492361222301,18223
all,dep_hour_share_escort_9,0.025120835631102605,0.0168111617,0.8309673931102605,18223
all,dep_hour_share_home_10,0.03388179669733277,0.04046123877,-0.6579442072667231,18223
all,dep_hour_share_home_11,0.0493030104687731,0.0585540642,-0.92510537312269,18223
all,dep_hour_share_home_12,0.0746268767603044,0.06647582231,0.8151054450304396,18223
all,dep_hour_share_home_13,0.08121750100111218,0.09330815006,-1.209064905888782,18223
all,dep_hour_share_home_14,0.08317440600058099,0.08069255332,0.2481852680580987,18223
all,dep_hour_share_home_15,0.10308520857680109,0.1093322941,-0.6247085523198914,18223
all,dep_hour_share_home_16,0.11030658921265406,0.116839246,-0.6532656787345936,18223
all,dep_hour_share_home_17,0.10270333721395866,0.1064625149,-0.37591776860413373,18223
