# Comparison of the MiD W_ZWD subtype mix with the SrV 2023 fine-purpose mix (issue #242 Task 6).
# Sources: eqasim-data/data/braunschweig/srv/srv2023_fine_purpose_reference.csv ; eqasim-data/data/braunschweig/mid/mid2023_w_zwd_group_reference.csv
# Code state: eqasim-bs 34ac1a6cb84e5c72c7dcc97527c78acd13c8c041, crosswalk braunschweig.calibration.srv_fine_purpose.SUBTYPE_TO_SRV_FINE.
# Rule: candidate_for_reestimation = (exactness == "exact") and (abs(delta_pp) > 10)
# MEASUREMENT ONLY -- not a validation and not a control target; see summary.md for the caveats.
# Generated by scripts/compare_purpose_subtypes_srv.py; regenerate there, never edit.
subtype_group,purpose,spec_variant,srv_fine_codes,exactness,n_mid_unweighted,share_mid,n_srv_unweighted,share_srv,delta_pp,median_km_mid,median_km_srv,median_km_srv_components,candidate_for_reestimation
shop_daily,shop,codeplan,8,exact,35647,0.7934109095,4541,0.7144443301,7.89665794,1.9,1.6178749,8:1.618,False
shop_non_daily,shop,codeplan,9,exact,10449,0.2065890905,1789,0.2855556699,-7.89665794,3.8,2.696477326,9:2.696,False
other_errand_short,other_errand,codeplan,10,exact,10257,0.5139763966,1873,0.5583395633,-4.43631667,2.94,3.714532035,10:3.715,False
other_errand_long,other_errand,codeplan,11,approximate,10207,0.4860236034,1451,0.4416604367,4.43631667,3.899966218,2.292117116,11:2.292,False
leisure_visit,leisure,codeplan,15,exact,8003,0.1540145509,1912,0.2150146056,-6.10000547,4.9,3.302033563,15:3.302,False
leisure_local,leisure,codeplan,14|16,approximate,21538,0.3626135571,3997,0.4072983312,-4.46847741,2.94,,14:1.998|16:1.385,False
leisure_activity,leisure,codeplan,13|17,approximate,25650,0.4252941255,1843,0.1981199021,22.71742234,4.75,,13:4.140|17:3.226,False
leisure_excursion,leisure,codeplan,,aggregate_only,3591,0.05807776649,0,,,36.18287954,,,False
shop_daily,shop,default,8,exact,35647,0.7934109095,4541,0.7144443301,7.89665794,1.9,1.6178749,8:1.618,False
shop_non_daily,shop,default,9,exact,10449,0.2065890905,1789,0.2855556699,-7.89665794,3.8,2.696477326,9:2.696,False
other_errand_short,other_errand,default,10,exact,10257,0.4761867171,1873,0.5583395633,-8.21528462,2.94,3.714532035,10:3.715,False
other_errand_long,other_errand,default,11,approximate,12267,0.5238132829,1451,0.4416604367,8.21528462,3.92,2.292117116,11:2.292,False
leisure_visit,leisure,default,15,exact,8003,0.1448874109,1912,0.2150146056,-7.01271947,4.9,3.302033563,15:3.302,False
leisure_local,leisure,default,14|16,approximate,21538,0.341124518,3997,0.4072983312,-6.61738132,2.94,,14:1.998|16:1.385,False
leisure_activity,leisure,default,13|17,approximate,30880,0.4593520827,1843,0.1981199021,26.12321806,4.75,,13:4.140|17:3.226,False
leisure_excursion,leisure,default,,aggregate_only,3591,0.0546359884,0,,,36.18287954,,,False
