kind,name,threshold,build,undecidable,gap_codes
scope,all,0.06,True,False,03103;03153;03157;03158
scope,inter,0.06,True,False,03101;03103;03153;03157;03158;zgb
scope,intra,0.06,False,False,
level,kindergarten,0.06,True,False,zgb
level,grundschule,0.06,True,False,03103;zgb
level,sekundar_1,0.06,False,False,
level,upper_secondary,0.06,True,False,zgb
level,university,0.06,False,True,
variant,inter_zgb,0.06,False,False,
variant,all_gis_fallback,0.06,True,False,03103;03153;03157;03158
variant,inter_gis_fallback,0.06,True,False,03101;03103;03153;03157;03158;zgb
scope,all,0.08,True,False,03153;03157;03158
scope,inter,0.08,True,False,03101;03103;03153;03157;03158;zgb
scope,intra,0.08,False,False,
level,kindergarten,0.08,False,False,
level,grundschule,0.08,True,False,zgb
level,sekundar_1,0.08,False,False,
level,upper_secondary,0.08,False,False,
level,university,0.08,False,True,
variant,inter_zgb,0.08,False,False,
variant,all_gis_fallback,0.08,True,False,03153;03157;03158
variant,inter_gis_fallback,0.08,True,False,03103;03153;03157;03158;zgb
scope,all,0.1,True,False,03153
scope,inter,0.1,True,False,03103;03153;03157
scope,intra,0.1,False,False,
level,kindergarten,0.1,False,False,
level,grundschule,0.1,True,False,zgb
level,sekundar_1,0.1,False,False,
level,upper_secondary,0.1,False,False,
level,university,0.1,False,True,
variant,inter_zgb,0.1,False,False,
variant,all_gis_fallback,0.1,False,False,
variant,inter_gis_fallback,0.1,True,False,03103;03153;03157
