brand,total,bev,phev,hybrid,gas,brand_share
AIWAYS,717.0,714.0,0.0,0.0,0.0,1.45320656615882e-05
ALFA ROMEO,99242.0,123.0,717.0,3110.0,387.0,0.002011424352004653
ALPINE,2423.0,6.0,0.0,0.0,0.0,4.910905871412581e-05
ASTON MARTIN,3838.0,0.0,0.0,0.0,0.0,7.778810043120713e-05
AUDI,3308722.0,77012.0,85749.0,443629.0,15002.0,0.06706076061358637
AUSTIN,9589.0,8.0,0.0,0.0,6.0,0.00019434864383398778
BENTLEY,6135.0,0.0,108.0,9.0,10.0,0.00012434340702070236
BMW,3453884.0,118028.0,126754.0,297472.0,13233.0,0.07000288573990084
BYD,4553.0,4442.0,110.0,0.0,0.0,9.227963034478532e-05
CADILLAC,4385.0,0.0,0.0,21.0,530.0,8.887462751194456e-05
CHEVROLET,124145.0,9.0,71.0,25.0,5340.0,0.002516155218351279
CHRYSLER,28140.0,0.0,0.0,0.0,1573.0,0.0005703379745008256
CITROEN,708049.0,11895.0,4504.0,4247.0,2895.0,0.014350647921369404
DACIA,805412.0,31937.0,2.0,13886.0,84578.0,0.016323988938118653
DAF TRUCKS,91.0,0.0,0.0,0.0,0.0,1.844376534455406e-06
DAIHATSU,47734.0,2.0,0.0,0.0,302.0,0.000967466697754883
DODGE,6141.0,0.0,0.0,0.0,544.0,0.00012446501426473242
DS,34133.0,589.0,2785.0,440.0,45.0,0.0006918033434128173
FERRARI,15078.0,0.0,1179.0,44.0,1.0,0.0003055990042474573
FIAT,1300511.0,60182.0,2.0,77602.0,6892.0,0.026358593090122357
FISKER,498.0,498.0,0.0,0.0,0.0,1.0093401254492223e-05
FORD,3324223.0,15118.0,63805.0,169265.0,9838.0,0.06737493292853795
GWM,6276.0,5344.0,914.0,0.0,0.0,0.00012720117725540801
HONDA,353605.0,3542.0,450.0,33767.0,3448.0,0.007166821587539603
HUMMER,2099.0,0.0,0.0,0.0,750.0,4.2542267536504364e-05
HYUNDAI,1544791.0,101586.0,30165.0,150145.0,10397.0,0.03130962935206485
INEOS,1317.0,0.0,0.0,0.0,0.0,2.6692790064590876e-05
INFINITI,4394.0,0.0,0.0,294.0,41.0,8.905703837798961e-05
ISUZU,145.0,0.0,0.0,0.0,2.0,2.938841730725647e-06
IVECO,18107.0,1.0,0.0,0.0,20.0,0.0003669903946086158
JAGUAR,78513.0,1159.0,1056.0,4214.0,334.0,0.0015912915917549154
JEEP,160929.0,5477.0,13795.0,9787.0,3527.0,0.003261688695751363
KIA,881795.0,41555.0,42765.0,66777.0,5576.0,0.01787210995824291
LADA,30176.0,7.0,0.0,0.0,1705.0,0.0006116033659750147
LAMBORGHINI,4622.0,0.0,50.0,48.0,2.0,9.367811365113063e-05
LANCIA,17773.0,0.0,0.0,4.0,221.0,0.00036022092469094433
LAND ROVER,124916.0,5.0,6264.0,27841.0,288.0,0.0025317817492091373
LEAPMOTOR,178.0,178.0,0.0,0.0,0.0,3.6076815728907943e-06
