fuel,substage,count,share,stichtag
petrol,euro6ab,621058.0,0.48414967168986756,2025-01-01
petrol,euro6dtemp,304696.0,0.23752768399282495,2025-01-01
petrol,euro6d,357027.0,0.27832264431730747,2025-01-01
diesel,euro6ab,427296.0,0.5532335268093547,2025-01-01
diesel,euro6dtemp,155746.0,0.20164922879327155,2025-01-01
diesel,euro6d,189319.0,0.24511724439737376,2025-01-01
gas,euro6ab,5066.0,0.3673676577229877,2025-01-01
gas,euro6dtemp,2891.0,0.20964467005076143,2025-01-01
gas,euro6d,5833.0,0.4229876722262509,2025-01-01
bev,euro6ab,0.0,0.0,2025-01-01
bev,euro6dtemp,0.0,0.0,2025-01-01
bev,euro6d,0.0,0.0,2025-01-01
hybrid,euro6ab,14369.0,0.05175612057818167,2025-01-01
hybrid,euro6dtemp,30268.0,0.10902319282207551,2025-01-01
hybrid,euro6d,232992.0,0.8392206865997428,2025-01-01
phev,euro6ab,2865.0,0.03473695696982189,2025-01-01
phev,euro6dtemp,6946.0,0.08421741818931339,2025-01-01
phev,euro6d,72666.0,0.8810456248408647,2025-01-01
other,euro6ab,22.0,0.5945945945945946,2025-01-01
other,euro6dtemp,4.0,0.10810810810810811,2025-01-01
other,euro6d,11.0,0.2972972972972973,2025-01-01
