fuel,euro_class,count,share
petrol,euro1,28135.0,0.009684845789441435
petrol,euro2,117967.0,0.040607506779564165
petrol,euro3,98354.0,0.03385616928291178
petrol,euro4,705621.0,0.24289428010632505
petrol,euro5,588943.0,0.20273048280686004
petrol,euro6,1282781.0,0.4415687281544508
petrol,other,83253.0,0.028657987080446697
diesel,euro1,5787.0,0.003681646670072418
diesel,euro2,37990.0,0.024168957490245578
diesel,euro3,95085.0,0.06049237491339828
diesel,euro4,174088.0,0.1107535001727263
diesel,euro5,467918.0,0.2976859765970184
diesel,euro6,772361.0,0.49137036525726674
diesel,other,18622.0,0.011847178899272259
gas,euro1,249.0,0.005617343831073612
gas,euro2,3043.0,0.06864890473075101
gas,euro3,2998.0,0.06763372211067746
gas,euro4,15763.0,0.3556071920048729
gas,euro5,7708.0,0.17388950301170844
gas,euro6,13790.0,0.31109707401809283
gas,other,776.0,0.017506260292823785
bev,euro1,0.0,0.0
bev,euro2,0.0,0.0
bev,euro3,0.0,0.0
bev,euro4,0.0,0.0
bev,euro5,0.0,0.0
bev,euro6,0.0,0.0
bev,other,176774.0,1.0
hybrid,euro1,0.0,0.0
hybrid,euro2,3.0,1.0576340022280822e-05
hybrid,euro3,5.0,1.7627233370468037e-05
hybrid,euro4,875.0,0.003084765839831907
hybrid,euro5,4811.0,0.016960923949064347
hybrid,euro6,277629.0,0.9787662346819342
hybrid,other,329.0,0.001159871955776797
phev,euro1,0.0,0.0
phev,euro2,0.0,0.0
phev,euro3,1.0,1.2073940813542133e-05
phev,euro4,0.0,0.0
phev,euro5,256.0,0.003090928848266786
phev,euro6,82477.0,0.9958224164785144
phev,other,89.0,0.0010745807324052498
other,euro1,2.0,0.0023501762632197414
other,euro2,1.0,0.0011750881316098707
other,euro3,1.0,0.0011750881316098707
other,euro4,240.0,0.282021151586369
other,euro5,414.0,0.4864864864864865
other,euro6,37.0,0.043478260869565216
other,other,156.0,0.18331374853113983
