kreis_ags5,ags8,gemeinde,stichtag,ev_share,bev_share,phev_share,fuelcell_share,gemeinde_norm
03101,03101000,Braunschweig,2026-04-01,0.09,0.0,0.0,0.0,BRAUNSCHWEIG
03102,03102000,Salzgitter,2026-04-01,0.047,0.0,0.0,0.0,SALZGITTER
03103,03103000,Wolfsburg,2026-04-01,0.203,0.0,0.0,0.0,WOLFSBURG
03151,03151001,Adenbüttel,2026-04-01,0.085,0.0,0.0,0.0,ADENBUETTEL
03151,03151002,Barwedel,2026-04-01,0.065,0.0,0.0,0.0,BARWEDEL
03151,03151003,Bergfeld,2026-04-01,0.067,0.0,0.0,0.0,BERGFELD
03151,03151004,Bokensdorf,2026-04-01,0.084,0.0,0.0,0.0,BOKENSDORF
03151,03151005,Brome,2026-04-01,0.051,0.0,0.0,0.0,BROME
03151,03151006,Calberlah,2026-04-01,0.06,0.0,0.0,0.0,CALBERLAH
03151,03151007,Dedelstorf,2026-04-01,0.055999999999999994,0.0,0.0,0.0,DEDELSTORF
03151,03151041,Didderse,2026-04-01,0.075,0.0,0.0,0.0,DIDDERSE
03151,03151008,Ehra-Lessien,2026-04-01,0.061,0.0,0.0,0.0,EHRA-LESSIEN
03151,03151009,Gifhorn,2026-04-01,0.059000000000000004,0.0,0.0,0.0,GIFHORN
03151,03151010,Groß Oesingen,2026-04-01,0.047,0.0,0.0,0.0,GROSS OESINGEN
03151,03151011,Hankensbüttel,2026-04-01,0.049,0.0,0.0,0.0,HANKENSBUETTEL
03151,03151012,Hillerse,2026-04-01,0.067,0.0,0.0,0.0,HILLERSE
03151,03151013,Isenbüttel,2026-04-01,0.07,0.0,0.0,0.0,ISENBUETTEL
03151,03151014,Jembke,2026-04-01,0.08900000000000001,0.0,0.0,0.0,JEMBKE
03151,03151015,Leiferde,2026-04-01,0.064,0.0,0.0,0.0,LEIFERDE
03151,03151016,Meine,2026-04-01,0.076,0.0,0.0,0.0,MEINE
03151,03151017,Meinersen,2026-04-01,0.057999999999999996,0.0,0.0,0.0,MEINERSEN
03151,03151018,Müden (Aller),2026-04-01,0.049,0.0,0.0,0.0,MUEDEN
03151,03151019,Obernholz,2026-04-01,0.039,0.0,0.0,0.0,OBERNHOLZ
03151,03151020,Osloß,2026-04-01,0.061,0.0,0.0,0.0,OSLOSS
03151,03151021,Parsau,2026-04-01,0.069,0.0,0.0,0.0,PARSAU
03151,03151022,Ribbesbüttel,2026-04-01,0.059000000000000004,0.0,0.0,0.0,RIBBESBUETTEL
03151,03151023,Rötgesbüttel,2026-04-01,0.07200000000000001,0.0,0.0,0.0,ROETGESBUETTEL
03151,03151024,Rühen,2026-04-01,0.077,0.0,0.0,0.0,RUEHEN
03151,03151025,Sassenburg,2026-04-01,0.055999999999999994,0.0,0.0,0.0,SASSENBURG
03151,03151027,Schwülper,2026-04-01,0.084,0.0,0.0,0.0,SCHWUELPER
03151,03151026,Schönewörde,2026-04-01,0.048,0.0,0.0,0.0,SCHOENEWOERDE
03151,03151028,Sprakensehl,2026-04-01,0.036000000000000004,0.0,0.0,0.0,SPRAKENSEHL
03151,03151029,Steinhorst,2026-04-01,0.033,0.0,0.0,0.0,STEINHORST
