kreis_ags5,kreis_name,gemeinde,private_total,private_bev,private_phev,private_bev_share,private_phev_share
03101,"Braunschweig, Stadt",BRAUNSCHWEIG,110515.0,2646.0,991.0,0.023942451250961408,0.00896710853730263
03102,Salzgitter,SALZGITTER,53347.0,878.0,392.0,0.016458282565092696,0.007348117045007217
03103,Wolfsburg,WOLFSBURG,57779.0,,528.0,,0.00913826822894131
03151,Gifhorn,ADENBUETTEL,1154.0,64.0,7.0,0.05545927209705372,0.006065857885615251
03151,Gifhorn,BARWEDEL,723.0,30.0,4.0,0.04149377593360996,0.005532503457814661
03151,Gifhorn,BERGFELD,584.0,24.0,3.0,0.0410958904109589,0.005136986301369863
03151,Gifhorn,BOKENSDORF,783.0,43.0,7.0,0.05491698595146871,0.008939974457215836
03151,Gifhorn,"BROME,FLECKEN",1890.0,63.0,11.0,0.03333333333333333,0.00582010582010582
03151,Gifhorn,CALBERLAH,3270.0,125.0,33.0,0.0382262996941896,0.010091743119266056
03151,Gifhorn,DEDELSTORF,827.0,31.0,9.0,0.037484885126964934,0.010882708585247884
03151,Gifhorn,DIDDERSE,912.0,35.0,15.0,0.03837719298245614,0.01644736842105263
03151,Gifhorn,EHRA-LESSIEN,1113.0,36.0,17.0,0.03234501347708895,0.015274034141958671
03151,Gifhorn,"GIFHORN,ST.",22818.0,672.0,212.0,0.02945043386799895,0.009290910684547288
03151,Gifhorn,GROSS OESINGEN,1268.0,28.0,10.0,0.022082018927444796,0.007886435331230283
03151,Gifhorn,HANKENSBUETTEL,2597.0,62.0,29.0,0.023873700423565652,0.011166730843280709
03151,Gifhorn,HILLERSE,1656.0,67.0,16.0,0.04045893719806763,0.00966183574879227
03151,Gifhorn,ISENBUETTEL,3804.0,153.0,44.0,0.04022082018927445,0.011566771819137749
03151,Gifhorn,JEMBKE,1318.0,71.0,22.0,0.05386949924127466,0.01669195751138088
03151,Gifhorn,LEIFERDE,2820.0,98.0,20.0,0.03475177304964539,0.0070921985815602835
03151,Gifhorn,MEINE,5380.0,232.0,78.0,0.04312267657992565,0.01449814126394052
03151,Gifhorn,MEINERSEN,4978.0,155.0,47.0,0.031137002812374446,0.00944154278826838
03151,Gifhorn,MUEDEN(ALLER),3385.0,84.0,29.0,0.024815361890694238,0.008567208271787297
03151,Gifhorn,OBERNHOLZ,600.0,11.0,5.0,0.018333333333333333,0.008333333333333333
03151,Gifhorn,OSLOSS,1271.0,57.0,9.0,0.044846577498033044,0.007081038552321007
03151,Gifhorn,PARSAU,1239.0,42.0,15.0,0.03389830508474576,0.012106537530266344
03151,Gifhorn,RIBBESBUETTEL,1396.0,50.0,9.0,0.03581661891117478,0.0064469914040114614
03151,Gifhorn,ROETGESBUETTEL,1475.0,67.0,18.0,0.04542372881355932,0.012203389830508475
03151,Gifhorn,RUEHEN,3408.0,160.0,47.0,0.046948356807511735,0.013791079812206572
03151,Gifhorn,SASSENBURG,7465.0,276.0,74.0,0.036972538513060954,0.009912926992632284
03151,Gifhorn,SCHOENEWOERDE,602.0,18.0,3.0,0.029900332225913623,0.0049833887043189366
03151,Gifhorn,SCHWUELPER,4697.0,239.0,52.0,0.050883542686821374,0.011070896316797956
03151,Gifhorn,SPRAKENSEHL,811.0,13.0,5.0,0.016029593094944512,0.006165228113440197
03151,Gifhorn,STEINHORST,846.0,11.0,6.0,0.013002364066193853,0.0070921985815602835
03151,Gifhorn,TAPPENBECK,968.0,70.0,12.0,0.07231404958677685,0.012396694214876033
03151,Gifhorn,TIDDISCHE,819.0,36.0,7.0,0.04395604395604396,0.008547008547008548
03151,Gifhorn,TUELAU,945.0,30.0,4.0,0.031746031746031744,0.004232804232804233
03151,Gifhorn,UMMERN,1021.0,21.0,8.0,0.02056807051909892,0.007835455435847209
03151,Gifhorn,VORDORF,2156.0,83.0,27.0,0.03849721706864564,0.012523191094619666
03151,Gifhorn,WAGENHOFF,780.0,11.0,5.0,0.014102564102564103,0.00641025641025641
03151,Gifhorn,WAHRENHOLZ,2355.0,79.0,29.0,0.03354564755838641,0.012314225053078557
03151,Gifhorn,WASBUETTEL,1179.0,48.0,20.0,0.04071246819338423,0.016963528413910092
03151,Gifhorn,WESENDORF,3171.0,96.0,28.0,0.030274361400189215,0.008830022075055188
03151,Gifhorn,WEYHAUSEN,1576.0,61.0,16.0,0.038705583756345176,0.01015228426395939
03151,Gifhorn,"WITTINGEN,ST.",6838.0,138.0,65.0,0.020181339572974553,0.009505703422053232
03153,Goslar,"BAD HARZBURG,ST.",11995.0,220.0,137.0,0.01834097540641934,0.0114214255939975
03153,Goslar,"BRAUNLAGE, STADT",2938.0,58.0,39.0,0.019741320626276378,0.01327433628318584
03153,Goslar,CLAUSTHAL-ZELLERFELD,6785.0,128.0,81.0,0.018865143699336773,0.011938098747236552
03153,Goslar,"GOSLAR, STADT",26698.0,553.0,288.0,0.020713162034609333,0.010787324893250431
03153,Goslar,"LANGELSHEIM, STADT",9607.0,205.0,107.0,0.021338607265535547,0.011137712084938066
03153,Goslar,LIEBENBURG,5391.0,122.0,50.0,0.022630309775551846,0.009274717121127806
03153,Goslar,"SEESEN,ST.",11366.0,259.0,99.0,0.022787260249868026,0.008710188280837586
03154,Helmstedt,BAHRDORF,1298.0,34.0,7.0,0.026194144838212634,0.00539291217257319
03154,Helmstedt,BEIERSTEDT,253.0,7.0,,0.02766798418972332,
03154,Helmstedt,DANNDORF,1610.0,62.0,19.0,0.03850931677018633,0.011801242236024845
03154,Helmstedt,FRELLSTEDT,521.0,13.0,5.0,0.02495201535508637,0.009596928982725527
03154,Helmstedt,GEVENSLEBEN,407.0,7.0,4.0,0.0171990171990172,0.009828009828009828
03154,Helmstedt,GRAFHORST,772.0,36.0,9.0,0.046632124352331605,0.011658031088082901
03154,Helmstedt,GRASLEBEN,1512.0,43.0,12.0,0.028439153439153438,0.007936507936507936
03154,Helmstedt,GROSS TWUELPSTEDT,1828.0,58.0,20.0,0.03172866520787746,0.010940919037199124
03154,Helmstedt,"HELMSTEDT, STADT",13503.0,282.0,111.0,0.020884247944901135,0.00822039546767385
03154,Helmstedt,JERXHEIM,676.0,16.0,,0.023668639053254437,
03154,Helmstedt,"KOENIGSLUTTER AM ELM,ST.",9745.0,275.0,101.0,0.028219599794766546,0.010364289379168804
03154,Helmstedt,LEHRE,7091.0,259.0,55.0,0.03652517275419546,0.007756310816527993
03154,Helmstedt,MARIENTAL,645.0,16.0,7.0,0.024806201550387597,0.010852713178294573
03154,Helmstedt,QUERENHORST,363.0,9.0,,0.024793388429752067,
03154,Helmstedt,RAEBKE,590.0,14.0,4.0,0.023728813559322035,0.006779661016949152
03154,Helmstedt,RENNAU,516.0,14.0,5.0,0.027131782945736434,0.009689922480620155
03154,Helmstedt,"SCHOENINGEN,ST.",6203.0,126.0,45.0,0.02031275189424472,0.007254554247944543
03154,Helmstedt,SUEPPLINGEN,1094.0,24.0,7.0,0.021937842778793418,0.006398537477148081
03154,Helmstedt,SUEPPLINGENBURG,448.0,18.0,6.0,0.04017857142857143,0.013392857142857142
03154,Helmstedt,SÖLLINGEN,1090.0,27.0,5.0,0.024770642201834864,0.0045871559633027525
03154,Helmstedt,VELPKE,3035.0,98.0,34.0,0.03228995057660626,0.011202635914332784
03154,Helmstedt,WARBERG,597.0,14.0,6.0,0.023450586264656615,0.010050251256281407
03154,Helmstedt,WOLSDORF,610.0,13.0,6.0,0.021311475409836064,0.009836065573770493
03157,Peine,EDEMISSEN,8334.0,297.0,95.0,0.035637149028077755,0.011399088072954163
03157,Peine,HOHENHAMELN,6107.0,196.0,63.0,0.03209431799574259,0.010316030784345833
03157,Peine,ILSEDE,14091.0,425.0,145.0,0.030161095734866226,0.010290256191895537
03157,Peine,LENGEDE,9021.0,300.0,94.0,0.03325573661456601,0.01042013080589735
03157,Peine,"PEINE,ST.",27532.0,727.0,257.0,0.02640563707685602,0.009334592474211827
03157,Peine,VECHELDE,11349.0,451.0,137.0,0.039739184069080974,0.012071548154022381
03157,Peine,WENDEBURG,6867.0,276.0,66.0,0.04019222367846221,0.009611183923110528
03158,Wolfenbuettel,BADDECKENSTEDT,2136.0,66.0,26.0,0.03089887640449438,0.012172284644194757
03158,Wolfenbuettel,BOERSSUM,1860.0,54.0,13.0,0.02903225806451613,0.006989247311827957
03158,Wolfenbuettel,BURGDORF,1648.0,40.0,14.0,0.024271844660194174,0.00849514563106796
03158,Wolfenbuettel,CRAMME,643.0,28.0,5.0,0.04354587869362364,0.007776049766718507
03158,Wolfenbuettel,CREMLINGEN,8236.0,332.0,88.0,0.04031083050024284,0.010684798445847498
03158,Wolfenbuettel,DAHLUM,426.0,11.0,,0.025821596244131457,
03158,Wolfenbuettel,DENKTE,2023.0,74.0,24.0,0.0365793376173999,0.011863568956994563
03158,Wolfenbuettel,DETTUM,781.0,17.0,11.0,0.02176696542893726,0.014084507042253521
03158,Wolfenbuettel,DORSTADT,461.0,14.0,0.0,0.03036876355748373,0.0
03158,Wolfenbuettel,ELBE,1145.0,34.0,15.0,0.029694323144104803,0.013100436681222707
03158,Wolfenbuettel,ERKERODE,609.0,27.0,10.0,0.04433497536945813,0.016420361247947456
03158,Wolfenbuettel,EVESSEN,863.0,36.0,4.0,0.04171494785631518,0.004634994206257242
03158,Wolfenbuettel,FLOETHE,805.0,26.0,10.0,0.03229813664596273,0.012422360248447204
03158,Wolfenbuettel,HAVERLAH,1105.0,29.0,11.0,0.026244343891402715,0.009954751131221719
03158,Wolfenbuettel,HEDEPER,308.0,,4.0,,0.012987012987012988
03158,Wolfenbuettel,HEERE,758.0,15.0,10.0,0.01978891820580475,0.013192612137203167
03158,Wolfenbuettel,HEININGEN,425.0,10.0,3.0,0.023529411764705882,0.007058823529411765
03158,Wolfenbuettel,KISSENBRUECK,1173.0,50.0,17.0,0.042625745950554135,0.014492753623188406
03158,Wolfenbuettel,KNEITLINGEN,502.0,27.0,3.0,0.053784860557768925,0.00597609561752988
03158,Wolfenbuettel,OHRUM,454.0,17.0,6.0,0.037444933920704845,0.013215859030837005
03158,Wolfenbuettel,REMLINGEN-SEMMENSTEDT,1633.0,41.0,10.0,0.02510716472749541,0.00612369871402327
03158,Wolfenbuettel,ROKLUM,288.0,11.0,0.0,0.03819444444444445,0.0
03158,Wolfenbuettel,SCHLADEN-WERLA,5406.0,129.0,47.0,0.02386237513873474,0.008694043655197927
03158,Wolfenbuettel,"SCHOEPPENSTEDT,ST.",3105.0,76.0,28.0,0.024476650563607084,0.009017713365539453
03158,Wolfenbuettel,SEHLDE,649.0,12.0,6.0,0.01848998459167951,0.009244992295839754
03158,Wolfenbuettel,SICKTE,3423.0,142.0,50.0,0.04148407829389424,0.014607069821793748
03158,Wolfenbuettel,UEHRDE,664.0,13.0,,0.01957831325301205,
03158,Wolfenbuettel,VAHLBERG,511.0,15.0,3.0,0.029354207436399216,0.005870841487279843
03158,Wolfenbuettel,VELTHEIM(OHE),656.0,26.0,5.0,0.039634146341463415,0.007621951219512195
03158,Wolfenbuettel,WINNIGSTEDT,440.0,8.0,,0.01818181818181818,
03158,Wolfenbuettel,WITTMAR,791.0,16.0,9.0,0.020227560050568902,0.011378002528445006
03158,Wolfenbuettel,"WOLFENBUETTEL,ST.",29006.0,807.0,288.0,0.027821829966213886,0.00992898021099083
