segment,model,stichtag,petrol_share,diesel_share,hybrid_share,phev_share,bev_share
minis,AUSTIN MINI,2026-01-01,0.9991282689912827,0.0,0.0,0.0,0.0008717310087173101
minis,CHEVROLET MATIZ,2026-01-01,0.99965692721139,0.0,0.0,0.0,0.0003430727886099834
minis,CHEVROLET SPARK,2026-01-01,0.9999583020598782,0.0,0.0,0.0,4.1697940121757986e-05
minis,CITROEN C-ZERO,2026-01-01,0.0,0.0,0.0,0.0,1.0
minis,CITROEN C1,2026-01-01,0.9956231044940722,0.004365407591214043,0.0,0.0,1.1487914713721165e-05
minis,DACIA SPRING,2026-01-01,2.842362571769655e-05,0.0,0.0,0.0,0.9999715763742824
minis,DAIHATSU CUORE,2026-01-01,0.9999067425160869,0.0,0.0,0.0,9.325748391308402e-05
minis,DAIHATSU TREVIS,2026-01-01,1.0,0.0,0.0,0.0,0.0
minis,FIAT 500,2026-01-01,0.6713610694366218,0.020493049359763545,0.15719312761365506,0.0,0.15095275358995958
minis,FIAT CINQUECENTO,2026-01-01,0.9993913572732805,0.0,0.0,0.0,0.0006086427267194157
minis,FIAT PANDA,2026-01-01,0.8866705995591021,0.014928431707392803,0.09836991958269942,0.0,3.1049150805725465e-05
minis,FIAT SEICENTO,2026-01-01,1.0,0.0,0.0,0.0,0.0
minis,FORD KA,2026-01-01,0.9915565014938498,0.008433506200225826,0.0,0.0,9.992305924438182e-06
minis,HYUNDAI ATOS,2026-01-01,1.0,0.0,0.0,0.0,0.0
minis,HYUNDAI I 10,2026-01-01,0.9994233652404567,0.0005766347595433052,0.0,0.0,0.0
minis,KIA PICANTO,2026-01-01,0.9977550683120318,0.002238045394446893,6.886293521375055e-06,0.0,0.0
minis,LEAPMOTOR T03,2026-01-01,0.0,0.0,0.0,0.0,1.0
minis,NISSAN PIXO,2026-01-01,1.0,0.0,0.0,0.0,0.0
minis,OPEL ADAM,2026-01-01,1.0,0.0,0.0,0.0,0.0
minis,OPEL AGILA,2026-01-01,0.9889554371119292,0.010788138542410754,0.0,0.0,0.00025642434566001797
minis,OPEL KARL,2026-01-01,1.0,0.0,0.0,0.0,0.0
minis,PEUGEOT 106,2026-01-01,0.9801249290176036,0.014054514480408859,0.0,0.0,0.005820556501987507
minis,PEUGEOT 107,2026-01-01,0.9988577629286959,0.0011422370713041492,0.0,0.0,0.0
minis,PEUGEOT 108,2026-01-01,1.0,0.0,0.0,0.0,0.0
minis,PEUGEOT ION,2026-01-01,0.0,0.0,0.0,0.0,1.0
minis,RENAULT TWINGO,2026-01-01,0.9208881393657805,0.0045164836290270275,0.0,0.0,0.07459537700519242
minis,SEAT AROSA,2026-01-01,0.9639014580191051,0.03609854198089492,0.0,0.0,0.0
minis,SEAT MII,2026-01-01,0.9237953599048185,0.0,0.0,0.0,0.07620464009518144
minis,SKODA CITIGO,2026-01-01,0.938596165624246,9.279708988326126e-06,0.0,0.0,0.061394554666765654
minis,SMART FORTWO,2026-01-01,0.7866418990454982,0.05648768503902542,0.0,0.0,0.1568704159154764
minis,SONSTIGE SONSTIGE,2026-01-01,0.6687657430730478,0.0,0.0,0.0,0.33123425692695213
minis,SUZUKI ALTO,2026-01-01,1.0,0.0,0.0,0.0,0.0
minis,SUZUKI CELERIO,2026-01-01,1.0,0.0,0.0,0.0,0.0
minis,SUZUKI SPLASH,2026-01-01,0.9887802460235209,0.009913035641869059,0.0,0.0,0.0013067183346100121
minis,SUZUKI WAGON R,2026-01-01,0.9715120525931337,0.028487947406866325,0.0,0.0,0.0
minis,TOYOTA AYGO,2026-01-01,0.9985036221443702,0.00020221322373376608,0.001294164631896103,0.0,0.0
minis,TOYOTA IQ,2026-01-01,0.9450037440718861,0.05499625592811382,0.0,0.0,0.0
minis,VW FOX,2026-01-01,0.96875,0.031236935618729096,0.0,0.0,1.306438127090301e-05
minis,VW LUPO,2026-01-01,0.9325775234866144,0.06726354453627181,3.531821713639895e-05,0.0,0.00012361375997739635
minis,VW UP,2026-01-01,0.8492045859108783,0.0,0.0,0.0,0.1507954140891217
kleinwagen,ALFA ROMEO ALFA MITO,2026-01-01,0.9124668435013262,0.08753315649867374,0.0,0.0,0.0
kleinwagen,AUDI A1,2026-01-01,0.8858808902586373,0.11411473199432644,0.0,0.0,4.377747036265256e-06
kleinwagen,AUDI A2,2026-01-01,0.6987749280493085,0.30038458599699464,0.0,0.0,0.0008404859536968647
kleinwagen,BMW I3,2026-01-01,0.0,0.0,2.9099374363451186e-05,0.09076094863960425,0.9092099519860323
kleinwagen,BYD DOLPHIN SURF,2026-01-01,0.0,0.0,0.0,0.0,1.0
kleinwagen,CHEVROLET AVEO,2026-01-01,0.9760800585794484,0.02391994142055162,0.0,0.0,0.0
kleinwagen,CHEVROLET KALOS,2026-01-01,1.0,0.0,0.0,0.0,0.0
kleinwagen,CITROEN C2,2026-01-01,0.9407972964515927,0.05920270354840729,0.0,0.0,0.0
kleinwagen,CITROEN C3,2026-01-01,0.8607069447331347,0.09020993556433174,0.017869927711956397,0.0,0.03121319199057715
kleinwagen,CITROEN SAXO,2026-01-01,0.9832140891579527,0.007705008255365988,0.0,0.0,0.009080902586681342
kleinwagen,DACIA SANDERO,2026-01-01,0.9622520573300983,0.03773856274544136,3.1266414867805597e-06,3.1266414867805597e-06,3.1266414867805597e-06
kleinwagen,DAIHATSU CHARADE,2026-01-01,1.0,0.0,0.0,0.0,0.0
kleinwagen,DAIHATSU COPEN,2026-01-01,1.0,0.0,0.0,0.0,0.0
kleinwagen,DAIHATSU MATERIA,2026-01-01,1.0,0.0,0.0,0.0,0.0
kleinwagen,DAIHATSU SIRION,2026-01-01,1.0,0.0,0.0,0.0,0.0
kleinwagen,DS 3,2026-01-01,0.8325066328296228,0.13196447110393356,0.002595455069788903,0.0,0.032933440996654746
kleinwagen,FIAT GRANDE PANDA,2026-01-01,0.0009021199819576004,0.0,0.4217410915651782,0.0,0.5773567884528642
kleinwagen,FIAT PUNTO,2026-01-01,0.9746723385586814,0.025311993231333287,0.0,0.0,1.5668209985350224e-05
kleinwagen,FORD FIESTA,2026-01-01,0.9214393979278832,0.05534557908708266,0.023215022985034098,0.0,0.0
kleinwagen,FORD FUSION,2026-01-01,0.9435822083448128,0.05641779165518719,0.0,0.0,0.0
kleinwagen,FORD PUMA,2026-01-01,0.1522848938206828,0.008145141276987981,0.8052345162548303,8.863048179529905e-06,0.034326585599319316
kleinwagen,HONDA E,2026-01-01,0.0020824656393169513,0.0,0.0,0.0,0.9979175343606831
kleinwagen,HONDA JAZZ,2026-01-01,0.8822039863345293,0.0,0.11779601366547066,0.0,0.0
kleinwagen,HONDA LOGO,2026-01-01,1.0,0.0,0.0,0.0,0.0
kleinwagen,HYUNDAI GETZ,2026-01-01,0.9799781579905351,0.019985438660356753,0.0,0.0,3.640334910811795e-05
kleinwagen,HYUNDAI I 20,2026-01-01,0.899371997587526,0.020316236540546012,0.080311765871928,0.0,0.0
kleinwagen,HYUNDAI INSTER,2026-01-01,0.00029991002699190244,0.0,0.0,0.0,0.9997000899730081
kleinwagen,KIA RIO,2026-01-01,0.9178548994974874,0.04673366834170854,0.03525439698492462,0.0,0.000157035175879397
kleinwagen,LANCIA YPSILON,2026-01-01,0.9496155402670984,0.04856333468231485,0.0012140833670578712,0.0,0.0006070416835289356
kleinwagen,MAZDA 2,2026-01-01,0.8064748996832788,0.017019699147389163,0.17650540116933203,0.0,0.0
kleinwagen,MAZDA DEMIO,2026-01-01,1.0,0.0,0.0,0.0,0.0
kleinwagen,MG ROEWE 3,2026-01-01,0.2610725720384205,0.0,0.7389274279615795,0.0,0.0
kleinwagen,MINI MINI,2026-01-01,0.8048100252845577,0.08055132254412027,0.009007091594800065,0.01303729685092327,0.0925942637255987
kleinwagen,MITSUBISHI COLT,2026-01-01,0.953070753022866,0.01585059260146055,0.03107865437567341,0.0,0.0
kleinwagen,"MITSUBISHI MIRAGE, SPACE STAR",2026-01-01,1.0,0.0,0.0,0.0,0.0
kleinwagen,NISSAN JUKE,2026-01-01,0.8237559498052791,0.06733016010385115,0.10891389009086976,0.0,0.0
kleinwagen,NISSAN MICRA,2026-01-01,0.9925663697264578,0.00743363027354213,0.0,0.0,0.0
kleinwagen,OPEL CORSA,2026-01-01,0.9263797131301967,0.026192928375851837,0.0058323135830734615,0.0,0.04159504491087802
kleinwagen,OPEL TIGRA,2026-01-01,0.9885409789682166,0.011459021031783458,0.0,0.0,0.0
kleinwagen,PEUGEOT 205,2026-01-01,0.9492074927953891,0.05043227665706052,0.0,0.0,0.00036023054755043225
kleinwagen,PEUGEOT 206,2026-01-01,0.9538622250594858,0.04613777494051419,0.0,0.0,0.0
kleinwagen,PEUGEOT 207,2026-01-01,0.9067911637440219,0.09319972671373264,9.109542245502164e-06,0.0,0.0
kleinwagen,PEUGEOT 208,2026-01-01,0.6981729437372205,0.05782380229976035,0.07476786198506402,0.0,0.16923539197795515
kleinwagen,RENAULT CLIO,2026-01-01,0.9213605302863751,0.05285095182308529,0.025755390050203737,0.0,3.3127840335856066e-05
kleinwagen,RENAULT R4,2026-01-01,0.0,0.0,0.0,0.0,1.0
kleinwagen,RENAULT R5,2026-01-01,0.048,0.0,0.0,0.0,0.952
kleinwagen,RENAULT WIND,2026-01-01,1.0,0.0,0.0,0.0,0.0
kleinwagen,RENAULT ZOE,2026-01-01,0.0,0.0,0.0,0.0,1.0
kleinwagen,SEAT CORDOBA,2026-01-01,0.9345828739434031,0.06541712605659684,0.0,0.0,0.0
kleinwagen,SEAT IBIZA,2026-01-01,0.932665286472051,0.06733226347833543,2.4500496135046734e-06,0.0,0.0
kleinwagen,SKODA FABIA,2026-01-01,0.940630779582577,0.0593655435458034,1.2256238731920517e-06,0.0,2.4512477463841033e-06
kleinwagen,SKODA FELICIA,2026-01-01,0.9905982905982906,0.009401709401709401,0.0,0.0,0.0
kleinwagen,SMART FORFOUR,2026-01-01,0.7835611285266457,0.0234858934169279,0.0,0.0,0.19295297805642633
kleinwagen,SMART ROADSTER,2026-01-01,0.999774062358789,0.0,0.0,0.0,0.00022593764121102577
kleinwagen,SONSTIGE SONSTIGE,2026-01-01,0.8659045264946702,0.01390390854317936,0.0,0.0001544878727019929,0.12003707708944848
kleinwagen,SUBARU JUSTY,2026-01-01,1.0,0.0,0.0,0.0,0.0
kleinwagen,SUZUKI BALENO,2026-01-01,0.9479389721627409,0.0,0.0520610278372591,0.0,0.0
kleinwagen,SUZUKI IGNIS,2026-01-01,0.5316268316617601,0.004440896162866125,0.4639322721753738,0.0,0.0
kleinwagen,SUZUKI SWIFT,2026-01-01,0.6967264668004433,0.005630596903171703,0.29764293629638505,0.0,0.0
kleinwagen,SUZUKI SX4 CLASSIC,2026-01-01,0.8625647315344781,0.13743526846552195,0.0,0.0,0.0
kleinwagen,TOYOTA STARLET,2026-01-01,0.9998457504241863,0.00015424957581366652,0.0,0.0,0.0
kleinwagen,TOYOTA YARIS,2026-01-01,0.5625657958927957,0.01710051301539046,0.42032598815802313,7.702933790716424e-06,0.0
kleinwagen,TOYOTA YARIS VERSO,2026-01-01,0.9449096518289996,0.05509034817100044,0.0,0.0,0.0
kleinwagen,VW POLO,2026-01-01,0.9153364581699407,0.08465585276360427,1.5378132910127116e-06,0.0,6.151253164050846e-06
kompaktklasse,ALFA ROMEO ALFA 147,2026-01-01,0.8613430127041742,0.13865698729582576,0.0,0.0,0.0
kompaktklasse,ALFA ROMEO ALFA GIULIETTA,2026-01-01,0.7882606721162579,0.21173932788374206,0.0,0.0,0.0
kompaktklasse,ALFA ROMEO ALFA GT,2026-01-01,0.6771600803750837,0.32283991962491626,0.0,0.0,0.0
kompaktklasse,AUDI A3,2026-01-01,0.5966226987373916,0.2969302391197009,0.0622726952105523,0.04417295619665656,1.4107356986668549e-06
kompaktklasse,BMW 1ER,2026-01-01,0.647536507351116,0.3124224285278619,0.040039291058801836,0.0,1.7730622202994348e-06
kompaktklasse,BMW 2ER,2026-01-01,0.590329438740868,0.30095837399218606,0.05447111335378953,0.0542410739131564,0.0
kompaktklasse,BYD DOLPHIN,2026-01-01,0.0,0.0,0.0,0.0,1.0
kompaktklasse,CHEVROLET CRUZE,2026-01-01,0.6531211518423795,0.34687884815762055,0.0,0.0,0.0
kompaktklasse,CHEVROLET LACETTI,2026-01-01,0.9224669603524229,0.07753303964757709,0.0,0.0,0.0
kompaktklasse,CHEVROLET NUBIRA,2026-01-01,0.9054621848739496,0.09453781512605042,0.0,0.0,0.0
kompaktklasse,CITROEN C-ELYSEE,2026-01-01,0.8630377524143986,0.1369622475856014,0.0,0.0,0.0
kompaktklasse,CITROEN C4,2026-01-01,0.5245035868574373,0.37698664341484683,0.034947088898577144,0.0,0.06356268082913875
kompaktklasse,CITROEN XSARA,2026-01-01,0.9430604982206405,0.05693950177935943,0.0,0.0,0.0
kompaktklasse,DACIA LOGAN,2026-01-01,0.8756190666978286,0.12438093330217133,0.0,0.0,0.0
kompaktklasse,DODGE CALIBER,2026-01-01,0.7930800542740841,0.20691994572591588,0.0,0.0,0.0
kompaktklasse,DS 4,2026-01-01,0.4977538185085355,0.39119496855345914,0.018688230008984726,0.08876909254267745,0.0035938903863432167
kompaktklasse,FIAT 124 SPIDER,2026-01-01,1.0,0.0,0.0,0.0,0.0
kompaktklasse,FIAT BARCHETTA,2026-01-01,1.0,0.0,0.0,0.0,0.0
kompaktklasse,FIAT BRAVO,2026-01-01,0.8209466932094669,0.17905330679053308,0.0,0.0,0.0
kompaktklasse,FIAT STILO,2026-01-01,0.8265730629225169,0.1734269370774831,0.0,0.0,0.0
kompaktklasse,FIAT TIPO,2026-01-01,0.8126763768775603,0.15484751934456076,0.03247610377787893,0.0,0.0
kompaktklasse,FORD ESCORT,2026-01-01,0.975125,0.024875,0.0,0.0,0.0
kompaktklasse,FORD FOCUS,2026-01-01,0.6701387029013097,0.26094849563594724,0.06881870180106753,0.0,9.40996616755241e-05
kompaktklasse,GWM ORA 03,2026-01-01,0.0012085635359116022,0.0,0.0,0.0,0.9987914364640884
kompaktklasse,HONDA CIVIC,2026-01-01,0.878179602672063,0.07928063189503232,0.042518005962095,1.0879735404834955e-05,1.0879735404834955e-05
kompaktklasse,HONDA INSIGHT,2026-01-01,0.025153374233128835,0.0,0.9742331288343559,0.0006134969325153375,0.0
kompaktklasse,HYUNDAI ACCENT,2026-01-01,0.9215311004784689,0.0784688995215311,0.0,0.0,0.0
kompaktklasse,HYUNDAI I 30,2026-01-01,0.7161214458584826,0.14937410627326947,0.13449467591310776,6.514636760140846e-06,3.257318380070423e-06
kompaktklasse,HYUNDAI IONIQ,2026-01-01,0.00011080332409972299,0.0,0.39318559556786703,0.26941828254847644,0.3372853185595568
kompaktklasse,INFINITI Q30,2026-01-01,0.44609665427509293,0.5539033457249071,0.0,0.0,0.0
kompaktklasse,KIA CEED,2026-01-01,0.8014283096905979,0.09025950484744295,0.04319623275522654,0.06511595270673262,0.0
kompaktklasse,KIA CERATO,2026-01-01,0.9008097165991903,0.09868421052631579,0.0,0.0005060728744939271,0.0
kompaktklasse,LADA GRANTA,2026-01-01,1.0,0.0,0.0,0.0,0.0
kompaktklasse,LADA VESTA,2026-01-01,1.0,0.0,0.0,0.0,0.0
kompaktklasse,LANCIA DELTA,2026-01-01,0.7929606625258799,0.2070393374741201,0.0,0.0,0.0
kompaktklasse,LEXUS CT,2026-01-01,0.001996007984031936,0.0,0.998003992015968,0.0,0.0
kompaktklasse,MAZDA 3,2026-01-01,0.7239390137464543,0.07341670303294785,0.20264428322059785,0.0,0.0
kompaktklasse,MAZDA 323,2026-01-01,0.9948491537895512,0.005003679175864606,0.0,0.0,0.00014716703458425313
kompaktklasse,MAZDA MX-5,2026-01-01,0.9999449543809432,1.3761404764198329e-05,0.0,0.0,4.128421429259499e-05
kompaktklasse,MERCEDES A-KLASSE,2026-01-01,0.7325526196034009,0.1751089387029501,0.04923767462112903,0.04308930845613151,1.1458616388440547e-05
kompaktklasse,MG ROEWE 4,2026-01-01,0.0,0.0,0.0,0.0,1.0
kompaktklasse,"MG ROVER MGF, MG TF",2026-01-01,0.9997860047078965,0.0,0.0,0.0,0.00021399529210357372
kompaktklasse,MITSUBISHI LANCER,2026-01-01,0.9101467772814295,0.08985322271857052,0.0,0.0,0.0
kompaktklasse,MITSUBISHI SPACE STAR,2026-01-01,0.9455805892547661,0.054419410745233966,0.0,0.0,0.0
kompaktklasse,NISSAN ALMERA,2026-01-01,0.9837270341207349,0.01616797900262467,0.00010498687664041995,0.0,0.0
kompaktklasse,NISSAN LEAF,2026-01-01,0.0,0.0,0.0,0.0,1.0
kompaktklasse,NISSAN PULSAR,2026-01-01,0.8405511811023622,0.1594488188976378,0.0,0.0,0.0
kompaktklasse,NISSAN TIIDA,2026-01-01,0.9731104651162791,0.02688953488372093,0.0,0.0,0.0
kompaktklasse,OPEL AMPERA,2026-01-01,0.0,0.0,0.05582655826558266,0.4634146341463415,0.4807588075880759
