segment,model,count,stichtag,share
minis,AUSTIN MINI,8030.0,2026-01-01,0.0024948014613385
minis,CHEVROLET MATIZ,17489.0,2026-01-01,0.005433571949856665
minis,CHEVROLET SPARK,23982.0,2026-01-01,0.007450850391758394
minis,CITROEN C-ZERO,1182.0,2026-01-01,0.0003672298041472113
minis,CITROEN C1,87048.0,2026-01-01,0.027044517759227116
minis,DACIA SPRING,35182.0,2026-01-01,0.010930523662865642
minis,DAIHATSU CUORE,10723.0,2026-01-01,0.0033314764719716977
minis,DAIHATSU TREVIS,2104.0,2026-01-01,0.0006536814787865757
minis,FIAT 500,401258.0,2026-01-01,0.12466488726946
minis,FIAT CINQUECENTO,1643.0,2026-01-01,0.0005104556414668935
minis,FIAT PANDA,161035.0,2026-01-01,0.05003117725113889
minis,FIAT SEICENTO,5754.0,2026-01-01,0.0017876821430313483
minis,FORD KA,100077.0,2026-01-01,0.031092434102910717
minis,HYUNDAI ATOS,9024.0,2026-01-01,0.002803622464149268
minis,HYUNDAI I 10,268801.0,2026-01-01,0.08351246919168744
minis,KIA PICANTO,145216.0,2026-01-01,0.045116449440813396
minis,LEAPMOTOR T03,5110.0,2026-01-01,0.0015876009299426817
minis,NISSAN PIXO,8571.0,2026-01-01,0.0026628821077375195
minis,OPEL ADAM,146967.0,2026-01-01,0.0456604590745374
minis,OPEL AGILA,54597.0,2026-01-01,0.016962475141307356
minis,OPEL KARL,34317.0,2026-01-01,0.010661781039695305
minis,PEUGEOT 106,7044.0,2026-01-01,0.0021884659394356652
minis,PEUGEOT 107,35019.0,2026-01-01,0.01087988198936649
minis,PEUGEOT 108,26744.0,2026-01-01,0.00830896267522252
minis,PEUGEOT ION,1318.0,2026-01-01,0.000409482979582085
minis,RENAULT TWINGO,292927.0,2026-01-01,0.09100805823978864
minis,SEAT AROSA,9945.0,2026-01-01,0.003089763453675141
minis,SEAT MII,67240.0,2026-01-01,0.020890467031183153
minis,SKODA CITIGO,107762.0,2026-01-01,0.03348004920009457
minis,SMART FORTWO,365531.0,2026-01-01,0.11356504021974137
minis,SONSTIGE SONSTIGE,2382.0,2026-01-01,0.0007400519403372736
minis,SUZUKI ALTO,15219.0,2026-01-01,0.004728316742230464
minis,SUZUKI CELERIO,13833.0,2026-01-01,0.0042977071749309426
minis,SUZUKI SPLASH,22193.0,2026-01-01,0.00689503472372171
minis,SUZUKI WAGON R,6845.0,2026-01-01,0.002126639601850813
minis,TOYOTA AYGO,197811.0,2026-01-01,0.06145693298491033
minis,TOYOTA IQ,12019.0,2026-01-01,0.003734124379056965
minis,VW FOX,76544.0,2026-01-01,0.023781081327110102
minis,VW LUPO,56628.0,2026-01-01,0.017593476606809037
minis,VW UP,373579.0,2026-01-01,0.11606543401312272
kleinwagen,ALFA ROMEO ALFA MITO,9802.0,2026-01-01,0.0011113633214728954
kleinwagen,AUDI A1,228428.0,2026-01-01,0.02589945937537345
kleinwagen,AUDI A2,39263.0,2026-01-01,0.0044516892563752596
kleinwagen,BMW I3,34365.0,2026-01-01,0.003896347739483376
kleinwagen,BYD DOLPHIN SURF,1857.0,2026-01-01,0.00021054903978526493
kleinwagen,CHEVROLET AVEO,12291.0,2026-01-01,0.0013935693311796936
kleinwagen,CHEVROLET KALOS,2716.0,2026-01-01,0.00030794356061215916
