segment,total,bev,phev,hybrid,gas,hydrogen,alt_total,segment_share,bev_share,phev_share,hybrid_share,gas_share,hydrogen_share
minis,3303627.0,244602.0,0.0,73350.0,22181.0,1.0,340134.0,0.06695749579553088,0.07404044100620318,0.0,0.02220286975496931,0.006714135705998286,3.0269761083802744e-07
kleinwagen,8594166.0,238476.0,11947.0,379056.0,33083.0,7.0,662569.0,0.1741854736660932,0.027748591311827116,0.001390129071279284,0.04410619948462713,0.0038494718393849965,8.145060265300903e-07
kompaktklasse,11263672.0,231966.0,171756.0,435806.0,96139.0,0.0,935667.0,0.22829068492969662,0.020594172131432803,0.015248668462646995,0.038691290016257575,0.008535316014173708,0.0
mittelklasse,5618874.0,131526.0,148126.0,400281.0,34443.0,0.0,714376.0,0.11388263028199544,0.02340789275573718,0.02636222132761831,0.07123865030609336,0.006129875843451909,0.0
obere_mittelklasse,1769335.0,38071.0,77156.0,228192.0,24361.0,709.0,368489.0,0.03586065885264457,0.021517123665105817,0.04360734400212509,0.128970488912501,0.013768449728287746,0.0004007155230637499
oberklasse,289983.0,36462.0,11641.0,28605.0,4252.0,0.0,80960.0,0.005877338907593209,0.12573840535479666,0.04014373256363304,0.09864371359700397,0.014662928516499243,0.0
suv,6557662.0,625572.0,320205.0,618440.0,39798.0,781.0,1604796.0,0.13290986718340558,0.09539558458487186,0.048829140629693936,0.0943080018457798,0.006068931274591463,0.00011909732462575839
gelaendewagen,3255701.0,56097.0,197503.0,359833.0,17194.0,38.0,630665.0,0.06598613766596703,0.01723039062862345,0.060663740312762136,0.11052397010659148,0.0052811975055448886,1.1671833500680805e-05
sportwagen,920358.0,58.0,3097.0,12463.0,7199.0,1.0,22818.0,0.018653699983497897,6.301895566725123e-05,0.003364994925887535,0.013541469732430207,0.007821956238767958,1.0865337184008831e-06
mini_vans,1698695.0,8283.0,17864.0,16594.0,15145.0,1.0,57887.0,0.03442893623293106,0.0048760960619769885,0.010516308107105748,0.009768675365501163,0.0089156676154342,5.886871981138462e-07
grossraum_vans,1781227.0,6003.0,4.0,22974.0,31326.0,0.0,60307.0,0.036101684410312085,0.0033701487794649417,2.2456430314608974e-06,0.012897850751195665,0.01758675340088602,0.0
utilities,2152554.0,25871.0,6718.0,10889.0,29820.0,0.0,73298.0,0.043627693260968374,0.012018746103465929,0.0031209437719100196,0.0050586419667055975,0.013853310997076032,0.0
wohnmobile,981010.0,148.0,19.0,64.0,2576.0,0.0,2807.0,0.019882987077649426,0.0001508649249243127,1.9367794415959064e-05,6.523888645375685e-05,0.002625865179763713,0.0
sonstige,1152302.0,8508.0,1387.0,2986.0,15528.0,270.0,28679.0,0.023354711751714653,0.007383481066595389,0.0012036775081532445,0.0025913345633349592,0.013475633991783404,0.0002343135740456929
