# MiD 2023 vehicle-age band x segment x economic status.
# Generated by scripts/build_mid_age_by_segment_status.py from
# MiD2023_Autos.csv (B1 Datensatzpaket, A_GEW-weighted).
# share = P(age_band | segment, status); sums to 1.0 per (segment, status).
# base_weighted = A_GEW-weighted vehicle count of the (segment, status) cell.
# seg_kba mapping: 1=minis 2=kleinwagen 3=kompaktklasse 4=mittelklasse
#   5=obere_mittelklasse 6=oberklasse 7=suv 8=gelaendewagen 9=sportwagen
#   10=mini_vans 11=grossraum_vans 12=utilities 95=sonstige
# oek_status mapping: 1=very_low 2=low 3=medium 4=high 5=very_high
# Rows with A_BAUJ outside [1980, 2023] (incl. 9999=unknown) dropped.
segment,status,age_band,share,base_weighted
gelaendewagen,high,under_5,0.26454087,900.968
gelaendewagen,high,5_to_9,0.38114884,900.968
gelaendewagen,high,10_to_14,0.15356615,900.968
gelaendewagen,high,15_to_19,0.11158618,900.968
gelaendewagen,high,20_to_24,0.05338763,900.968
gelaendewagen,high,25_to_29,0.02084433,900.968
gelaendewagen,high,30_plus,0.01492601,900.968
gelaendewagen,low,under_5,0.08133851,157.61
gelaendewagen,low,5_to_9,0.36901097,157.61
gelaendewagen,low,10_to_14,0.20911088,157.61
gelaendewagen,low,15_to_19,0.26097806,157.61
gelaendewagen,low,20_to_24,0.06812703,157.61
gelaendewagen,low,30_plus,0.01143456,157.61
gelaendewagen,medium,under_5,0.14704855,523.818
gelaendewagen,medium,5_to_9,0.32264765,523.818
gelaendewagen,medium,10_to_14,0.25093,523.818
gelaendewagen,medium,15_to_19,0.15389832,523.818
gelaendewagen,medium,20_to_24,0.04053974,523.818
gelaendewagen,medium,25_to_29,0.01655003,523.818
gelaendewagen,medium,30_plus,0.0683857,523.818
gelaendewagen,very_high,under_5,0.29575992,444.424
gelaendewagen,very_high,5_to_9,0.26954471,444.424
gelaendewagen,very_high,10_to_14,0.17133946,444.424
gelaendewagen,very_high,15_to_19,0.14917068,444.424
gelaendewagen,very_high,20_to_24,0.07335929,444.424
gelaendewagen,very_high,25_to_29,0.01596313,444.424
gelaendewagen,very_high,30_plus,0.0248628,444.424
gelaendewagen,very_low,under_5,0.07225568,43.846
gelaendewagen,very_low,5_to_9,0.23528187,43.846
gelaendewagen,very_low,10_to_14,0.22817542,43.846
gelaendewagen,very_low,15_to_19,0.09200938,43.846
gelaendewagen,very_low,20_to_24,0.29956486,43.846
gelaendewagen,very_low,25_to_29,0.05913517,43.846
gelaendewagen,very_low,30_plus,0.01357762,43.846
grossraum_vans,high,under_5,0.21592517,4440.732
grossraum_vans,high,5_to_9,0.38337415,4440.732
grossraum_vans,high,10_to_14,0.22155037,4440.732
grossraum_vans,high,15_to_19,0.13108473,4440.732
grossraum_vans,high,20_to_24,0.03586368,4440.732
grossraum_vans,high,25_to_29,0.00778907,4440.732
grossraum_vans,high,30_plus,0.00441283,4440.732
grossraum_vans,low,under_5,0.11470497,715.237
grossraum_vans,low,5_to_9,0.26232943,715.237
grossraum_vans,low,10_to_14,0.37697551,715.237
grossraum_vans,low,15_to_19,0.18230763,715.237
grossraum_vans,low,20_to_24,0.05921219,715.237
grossraum_vans,low,25_to_29,0.00138636,715.237
grossraum_vans,low,30_plus,0.00308392,715.237
grossraum_vans,medium,under_5,0.21612691,2840.057
