# MiD 2023 vehicle powertrain (A_ANTRIEB) x economic status (oek_status).
# Generated by scripts/build_mid_antrieb_by_status.py from
# MiD2023_Autos.csv (B1 Datensatzpaket, A_GEW-weighted).
# share = P(powertrain | status); sums to 1.0 per status, including the
#   pooled 'all' row = overall MiD powertrain mix (the EV-income tilt's
#   denominator, see Task B2).
# base_weighted = A_GEW-weighted vehicle count of the status cell.
# A_ANTRIEB mapping: 1=petrol 2=diesel 3=hybrid 4=phev 5=bev 6=gas 7=other
#   (94=unplausibel, 99=keine Angabe excluded).
# oek_status mapping: 1=very_low 2=low 3=medium 4=high 5=very_high
#   (values outside 1..5 excluded).
status,powertrain,share,base_weighted
all,bev,0.03958355,290129.612
all,diesel,0.28172969,290129.612
all,gas,0.00783769,290129.612
all,hybrid,0.02088969,290129.612
all,other,0.00087729,290129.612
all,petrol,0.62835415,290129.612
all,phev,0.02072794,290129.612
high,bev,0.04130953,121222.366
high,diesel,0.30234046,121222.366
high,gas,0.00730005,121222.366
high,hybrid,0.02161882,121222.366
high,other,0.00083053,121222.366
high,petrol,0.60401165,121222.366
high,phev,0.02258895,121222.366
low,bev,0.01273334,25050.16
low,diesel,0.20412509,25050.16
low,gas,0.0081578,25050.16
low,hybrid,0.01779103,25050.16
low,other,0.00035146,25050.16
low,petrol,0.74955348,25050.16
low,phev,0.0072878,25050.16
medium,bev,0.02118098,78054.487
medium,diesel,0.24640738,78054.487
medium,gas,0.0086658,78054.487
medium,hybrid,0.02172655,78054.487
medium,other,0.0009607,78054.487
medium,petrol,0.6902799,78054.487
medium,phev,0.01077869,78054.487
very_high,bev,0.08267346,52861.023
very_high,diesel,0.34400832,52861.023
very_high,gas,0.00765044,52861.023
very_high,hybrid,0.02126661,52861.023
very_high,other,0.00127979,52861.023
very_high,petrol,0.50135121,52861.023
very_high,phev,0.04177016,52861.023
very_low,bev,0.01037551,12941.577
very_low,diesel,0.19754152,12941.577
very_low,gas,0.00802436,12941.577
very_low,hybrid,0.01347096,12941.577
very_low,other,0.00018607,12941.577
very_low,petrol,0.76703235,12941.577
very_low,phev,0.00336923,12941.577
