region,segment,status,share_pct,base_weighted
Schleswig-Holstein,minis,very_low,6.0,585.0
Schleswig-Holstein,minis,low,20.0,585.0
Schleswig-Holstein,minis,medium,26.0,585.0
Schleswig-Holstein,minis,high,30.0,585.0
Schleswig-Holstein,minis,very_high,18.0,585.0
Hamburg,minis,very_low,5.0,264.0
Hamburg,minis,low,7.0,264.0
Hamburg,minis,medium,29.0,264.0
Hamburg,minis,high,41.0,264.0
Hamburg,minis,very_high,18.0,264.0
Niedersachsen,minis,very_low,7.0,1477.0
Niedersachsen,minis,low,11.0,1477.0
Niedersachsen,minis,medium,31.0,1477.0
Niedersachsen,minis,high,38.0,1477.0
Niedersachsen,minis,very_high,13.0,1477.0
Bremen,minis,very_low,5.0,83.0
Bremen,minis,low,11.0,83.0
Bremen,minis,medium,37.0,83.0
Bremen,minis,high,39.0,83.0
Bremen,minis,very_high,8.0,83.0
Nordrhein-Westfalen,minis,very_low,8.0,3865.0
Nordrhein-Westfalen,minis,low,11.0,3865.0
Nordrhein-Westfalen,minis,medium,30.0,3865.0
Nordrhein-Westfalen,minis,high,38.0,3865.0
Nordrhein-Westfalen,minis,very_high,13.0,3865.0
Hessen,minis,very_low,6.0,1171.0
Hessen,minis,low,10.0,1171.0
Hessen,minis,medium,26.0,1171.0
Hessen,minis,high,40.0,1171.0
Hessen,minis,very_high,18.0,1171.0
Rheinland-Pfalz,minis,very_low,4.0,714.0
Rheinland-Pfalz,minis,low,11.0,714.0
Rheinland-Pfalz,minis,medium,29.0,714.0
Rheinland-Pfalz,minis,high,43.0,714.0
Rheinland-Pfalz,minis,very_high,13.0,714.0
Baden-Wuerttemberg,minis,very_low,5.0,2122.0
Baden-Wuerttemberg,minis,low,6.0,2122.0
Baden-Wuerttemberg,minis,medium,27.0,2122.0
Baden-Wuerttemberg,minis,high,42.0,2122.0
Baden-Wuerttemberg,minis,very_high,20.0,2122.0
Bayern,minis,very_low,6.0,2266.0
Bayern,minis,low,9.0,2266.0
Bayern,minis,medium,30.0,2266.0
Bayern,minis,high,39.0,2266.0
Bayern,minis,very_high,15.0,2266.0
Saarland,minis,very_low,6.0,250.0
Saarland,minis,low,17.0,250.0
Saarland,minis,medium,32.0,250.0
Saarland,minis,high,36.0,250.0
Saarland,minis,very_high,8.0,250.0
Berlin,minis,very_low,7.0,382.0
Berlin,minis,low,5.0,382.0
Berlin,minis,medium,35.0,382.0
Berlin,minis,high,38.0,382.0
Berlin,minis,very_high,14.0,382.0
Brandenburg,minis,very_low,8.0,544.0
Brandenburg,minis,low,13.0,544.0
Brandenburg,minis,medium,32.0,544.0
Brandenburg,minis,high,37.0,544.0
Brandenburg,minis,very_high,10.0,544.0
Mecklenburg-Vorpommern,minis,very_low,3.0,197.0
Mecklenburg-Vorpommern,minis,low,20.0,197.0
Mecklenburg-Vorpommern,minis,medium,39.0,197.0
Mecklenburg-Vorpommern,minis,high,30.0,197.0
Mecklenburg-Vorpommern,minis,very_high,8.0,197.0
Sachsen,minis,very_low,12.0,692.0
Sachsen,minis,low,22.0,692.0
Sachsen,minis,medium,27.0,692.0
Sachsen,minis,high,35.0,692.0
Sachsen,minis,very_high,5.0,692.0
Sachsen-Anhalt,minis,very_low,17.0,298.0
Sachsen-Anhalt,minis,low,17.0,298.0
Sachsen-Anhalt,minis,medium,33.0,298.0
Sachsen-Anhalt,minis,high,28.0,298.0
Sachsen-Anhalt,minis,very_high,5.0,298.0
Thueringen,minis,very_low,12.0,402.0
Thueringen,minis,low,18.0,402.0
Thueringen,minis,medium,37.0,402.0
Thueringen,minis,high,28.0,402.0
Thueringen,minis,very_high,6.0,402.0
Schleswig-Holstein,kleinwagen,very_low,7.0,2491.0
Schleswig-Holstein,kleinwagen,low,11.0,2491.0
Schleswig-Holstein,kleinwagen,medium,28.0,2491.0
Schleswig-Holstein,kleinwagen,high,40.0,2491.0
Schleswig-Holstein,kleinwagen,very_high,14.0,2491.0
Hamburg,kleinwagen,very_low,5.0,953.0
Hamburg,kleinwagen,low,8.0,953.0
Hamburg,kleinwagen,medium,31.0,953.0
Hamburg,kleinwagen,high,38.0,953.0
Hamburg,kleinwagen,very_high,18.0,953.0
Niedersachsen,kleinwagen,very_low,5.0,6389.0
Niedersachsen,kleinwagen,low,12.0,6389.0
Niedersachsen,kleinwagen,medium,31.0,6389.0
Niedersachsen,kleinwagen,high,40.0,6389.0
Niedersachsen,kleinwagen,very_high,13.0,6389.0
Bremen,kleinwagen,very_low,7.0,385.0
Bremen,kleinwagen,low,9.0,385.0
Bremen,kleinwagen,medium,29.0,385.0
Bremen,kleinwagen,high,39.0,385.0
Bremen,kleinwagen,very_high,17.0,385.0
Nordrhein-Westfalen,kleinwagen,very_low,6.0,15570.0
Nordrhein-Westfalen,kleinwagen,low,10.0,15570.0
Nordrhein-Westfalen,kleinwagen,medium,30.0,15570.0
Nordrhein-Westfalen,kleinwagen,high,39.0,15570.0
Nordrhein-Westfalen,kleinwagen,very_high,15.0,15570.0
Hessen,kleinwagen,very_low,5.0,4985.0
Hessen,kleinwagen,low,10.0,4985.0
Hessen,kleinwagen,medium,28.0,4985.0
Hessen,kleinwagen,high,41.0,4985.0
Hessen,kleinwagen,very_high,17.0,4985.0
Rheinland-Pfalz,kleinwagen,very_low,7.0,3890.0
Rheinland-Pfalz,kleinwagen,low,10.0,3890.0
Rheinland-Pfalz,kleinwagen,medium,28.0,3890.0
Rheinland-Pfalz,kleinwagen,high,43.0,3890.0
Rheinland-Pfalz,kleinwagen,very_high,13.0,3890.0
Baden-Wuerttemberg,kleinwagen,very_low,6.0,8656.0
Baden-Wuerttemberg,kleinwagen,low,8.0,8656.0
Baden-Wuerttemberg,kleinwagen,medium,26.0,8656.0
Baden-Wuerttemberg,kleinwagen,high,43.0,8656.0
Baden-Wuerttemberg,kleinwagen,very_high,16.0,8656.0
Bayern,kleinwagen,very_low,6.0,11089.0
Bayern,kleinwagen,low,9.0,11089.0
Bayern,kleinwagen,medium,30.0,11089.0
Bayern,kleinwagen,high,40.0,11089.0
Bayern,kleinwagen,very_high,15.0,11089.0
Saarland,kleinwagen,very_low,8.0,1130.0
Saarland,kleinwagen,low,10.0,1130.0
Saarland,kleinwagen,medium,32.0,1130.0
Saarland,kleinwagen,high,39.0,1130.0
Saarland,kleinwagen,very_high,12.0,1130.0
Berlin,kleinwagen,very_low,4.0,1538.0
Berlin,kleinwagen,low,11.0,1538.0
Berlin,kleinwagen,medium,32.0,1538.0
Berlin,kleinwagen,high,40.0,1538.0
Berlin,kleinwagen,very_high,12.0,1538.0
Brandenburg,kleinwagen,very_low,7.0,2011.0
Brandenburg,kleinwagen,low,13.0,2011.0
Brandenburg,kleinwagen,medium,33.0,2011.0
Brandenburg,kleinwagen,high,36.0,2011.0
Brandenburg,kleinwagen,very_high,10.0,2011.0
Mecklenburg-Vorpommern,kleinwagen,very_low,9.0,1084.0
Mecklenburg-Vorpommern,kleinwagen,low,11.0,1084.0
Mecklenburg-Vorpommern,kleinwagen,medium,35.0,1084.0
Mecklenburg-Vorpommern,kleinwagen,high,36.0,1084.0
Mecklenburg-Vorpommern,kleinwagen,very_high,8.0,1084.0
Sachsen,kleinwagen,very_low,15.0,3448.0
Sachsen,kleinwagen,low,16.0,3448.0
Sachsen,kleinwagen,medium,29.0,3448.0
Sachsen,kleinwagen,high,33.0,3448.0
Sachsen,kleinwagen,very_high,7.0,3448.0
Sachsen-Anhalt,kleinwagen,very_low,9.0,1767.0
Sachsen-Anhalt,kleinwagen,low,15.0,1767.0
Sachsen-Anhalt,kleinwagen,medium,34.0,1767.0
Sachsen-Anhalt,kleinwagen,high,34.0,1767.0
Sachsen-Anhalt,kleinwagen,very_high,8.0,1767.0
Thueringen,kleinwagen,very_low,12.0,1791.0
Thueringen,kleinwagen,low,19.0,1791.0
Thueringen,kleinwagen,medium,31.0,1791.0
Thueringen,kleinwagen,high,31.0,1791.0
Thueringen,kleinwagen,very_high,7.0,1791.0
Schleswig-Holstein,kompaktklasse,very_low,3.0,2535.0
Schleswig-Holstein,kompaktklasse,low,8.0,2535.0
Schleswig-Holstein,kompaktklasse,medium,27.0,2535.0
Schleswig-Holstein,kompaktklasse,high,43.0,2535.0
Schleswig-Holstein,kompaktklasse,very_high,20.0,2535.0
Hamburg,kompaktklasse,very_low,3.0,1021.0
Hamburg,kompaktklasse,low,6.0,1021.0
Hamburg,kompaktklasse,medium,25.0,1021.0
Hamburg,kompaktklasse,high,43.0,1021.0
Hamburg,kompaktklasse,very_high,23.0,1021.0
Niedersachsen,kompaktklasse,very_low,4.0,7190.0
Niedersachsen,kompaktklasse,low,7.0,7190.0
Niedersachsen,kompaktklasse,medium,29.0,7190.0
Niedersachsen,kompaktklasse,high,44.0,7190.0
Niedersachsen,kompaktklasse,very_high,16.0,7190.0
Bremen,kompaktklasse,very_low,5.0,407.0
Bremen,kompaktklasse,low,6.0,407.0
Bremen,kompaktklasse,medium,30.0,407.0
Bremen,kompaktklasse,high,43.0,407.0
Bremen,kompaktklasse,very_high,16.0,407.0
Nordrhein-Westfalen,kompaktklasse,very_low,4.0,16045.0
Nordrhein-Westfalen,kompaktklasse,low,8.0,16045.0
Nordrhein-Westfalen,kompaktklasse,medium,27.0,16045.0
Nordrhein-Westfalen,kompaktklasse,high,43.0,16045.0
Nordrhein-Westfalen,kompaktklasse,very_high,19.0,16045.0
Hessen,kompaktklasse,very_low,3.0,5839.0
Hessen,kompaktklasse,low,7.0,5839.0
Hessen,kompaktklasse,medium,25.0,5839.0
Hessen,kompaktklasse,high,42.0,5839.0
Hessen,kompaktklasse,very_high,22.0,5839.0
Rheinland-Pfalz,kompaktklasse,very_low,4.0,4009.0
Rheinland-Pfalz,kompaktklasse,low,8.0,4009.0
Rheinland-Pfalz,kompaktklasse,medium,22.0,4009.0
Rheinland-Pfalz,kompaktklasse,high,46.0,4009.0
Rheinland-Pfalz,kompaktklasse,very_high,19.0,4009.0
Baden-Wuerttemberg,kompaktklasse,very_low,3.0,10724.0
Baden-Wuerttemberg,kompaktklasse,low,6.0,10724.0
Baden-Wuerttemberg,kompaktklasse,medium,22.0,10724.0
Baden-Wuerttemberg,kompaktklasse,high,48.0,10724.0
Baden-Wuerttemberg,kompaktklasse,very_high,22.0,10724.0
Bayern,kompaktklasse,very_low,3.0,13143.0
Bayern,kompaktklasse,low,7.0,13143.0
Bayern,kompaktklasse,medium,24.0,13143.0
Bayern,kompaktklasse,high,44.0,13143.0
Bayern,kompaktklasse,very_high,22.0,13143.0
Saarland,kompaktklasse,very_low,4.0,1064.0
Saarland,kompaktklasse,low,9.0,1064.0
Saarland,kompaktklasse,medium,26.0,1064.0
Saarland,kompaktklasse,high,44.0,1064.0
Saarland,kompaktklasse,very_high,17.0,1064.0
Berlin,kompaktklasse,very_low,4.0,1874.0
Berlin,kompaktklasse,low,8.0,1874.0
Berlin,kompaktklasse,medium,27.0,1874.0
Berlin,kompaktklasse,high,43.0,1874.0
Berlin,kompaktklasse,very_high,18.0,1874.0
Brandenburg,kompaktklasse,very_low,5.0,2216.0
Brandenburg,kompaktklasse,low,11.0,2216.0
Brandenburg,kompaktklasse,medium,29.0,2216.0
Brandenburg,kompaktklasse,high,40.0,2216.0
Brandenburg,kompaktklasse,very_high,15.0,2216.0
Mecklenburg-Vorpommern,kompaktklasse,very_low,9.0,1364.0
Mecklenburg-Vorpommern,kompaktklasse,low,13.0,1364.0
Mecklenburg-Vorpommern,kompaktklasse,medium,27.0,1364.0
Mecklenburg-Vorpommern,kompaktklasse,high,42.0,1364.0
Mecklenburg-Vorpommern,kompaktklasse,very_high,9.0,1364.0
Sachsen,kompaktklasse,very_low,6.0,3677.0
Sachsen,kompaktklasse,low,14.0,3677.0
Sachsen,kompaktklasse,medium,29.0,3677.0
Sachsen,kompaktklasse,high,39.0,3677.0
Sachsen,kompaktklasse,very_high,11.0,3677.0
Sachsen-Anhalt,kompaktklasse,very_low,4.0,1916.0
Sachsen-Anhalt,kompaktklasse,low,10.0,1916.0
Sachsen-Anhalt,kompaktklasse,medium,31.0,1916.0
Sachsen-Anhalt,kompaktklasse,high,44.0,1916.0
Sachsen-Anhalt,kompaktklasse,very_high,10.0,1916.0
Thueringen,kompaktklasse,very_low,7.0,1964.0
Thueringen,kompaktklasse,low,13.0,1964.0
Thueringen,kompaktklasse,medium,33.0,1964.0
Thueringen,kompaktklasse,high,38.0,1964.0
Thueringen,kompaktklasse,very_high,9.0,1964.0
Schleswig-Holstein,mittelklasse,very_low,3.0,883.0
Schleswig-Holstein,mittelklasse,low,4.0,883.0
Schleswig-Holstein,mittelklasse,medium,18.0,883.0
Schleswig-Holstein,mittelklasse,high,42.0,883.0
Schleswig-Holstein,mittelklasse,very_high,33.0,883.0
Hamburg,mittelklasse,very_low,2.0,397.0
Hamburg,mittelklasse,low,7.0,397.0
Hamburg,mittelklasse,medium,15.0,397.0
Hamburg,mittelklasse,high,43.0,397.0
Hamburg,mittelklasse,very_high,34.0,397.0
Niedersachsen,mittelklasse,very_low,3.0,2874.0
Niedersachsen,mittelklasse,low,6.0,2874.0
Niedersachsen,mittelklasse,medium,21.0,2874.0
Niedersachsen,mittelklasse,high,50.0,2874.0
Niedersachsen,mittelklasse,very_high,20.0,2874.0
Bremen,mittelklasse,very_low,3.0,177.0
Bremen,mittelklasse,low,8.0,177.0
Bremen,mittelklasse,medium,25.0,177.0
Bremen,mittelklasse,high,42.0,177.0
Bremen,mittelklasse,very_high,23.0,177.0
Nordrhein-Westfalen,mittelklasse,very_low,3.0,5697.0
Nordrhein-Westfalen,mittelklasse,low,6.0,5697.0
Nordrhein-Westfalen,mittelklasse,medium,21.0,5697.0
Nordrhein-Westfalen,mittelklasse,high,46.0,5697.0
Nordrhein-Westfalen,mittelklasse,very_high,25.0,5697.0
Hessen,mittelklasse,very_low,3.0,1979.0
Hessen,mittelklasse,low,5.0,1979.0
Hessen,mittelklasse,medium,21.0,1979.0
Hessen,mittelklasse,high,43.0,1979.0
Hessen,mittelklasse,very_high,28.0,1979.0
Rheinland-Pfalz,mittelklasse,very_low,2.0,1536.0
Rheinland-Pfalz,mittelklasse,low,5.0,1536.0
Rheinland-Pfalz,mittelklasse,medium,21.0,1536.0
Rheinland-Pfalz,mittelklasse,high,49.0,1536.0
Rheinland-Pfalz,mittelklasse,very_high,22.0,1536.0
Baden-Wuerttemberg,mittelklasse,very_low,2.0,3899.0
Baden-Wuerttemberg,mittelklasse,low,5.0,3899.0
Baden-Wuerttemberg,mittelklasse,medium,19.0,3899.0
Baden-Wuerttemberg,mittelklasse,high,44.0,3899.0
Baden-Wuerttemberg,mittelklasse,very_high,30.0,3899.0
Bayern,mittelklasse,very_low,3.0,4706.0
Bayern,mittelklasse,low,5.0,4706.0
Bayern,mittelklasse,medium,21.0,4706.0
Bayern,mittelklasse,high,44.0,4706.0
Bayern,mittelklasse,very_high,27.0,4706.0
Saarland,mittelklasse,very_low,2.0,346.0
Saarland,mittelklasse,low,7.0,346.0
Saarland,mittelklasse,medium,25.0,346.0
Saarland,mittelklasse,high,43.0,346.0
Saarland,mittelklasse,very_high,23.0,346.0
Berlin,mittelklasse,very_low,3.0,585.0
Berlin,mittelklasse,low,6.0,585.0
Berlin,mittelklasse,medium,20.0,585.0
Berlin,mittelklasse,high,43.0,585.0
Berlin,mittelklasse,very_high,27.0,585.0
Brandenburg,mittelklasse,very_low,2.0,797.0
Brandenburg,mittelklasse,low,5.0,797.0
Brandenburg,mittelklasse,medium,25.0,797.0
Brandenburg,mittelklasse,high,47.0,797.0
Brandenburg,mittelklasse,very_high,21.0,797.0
Mecklenburg-Vorpommern,mittelklasse,very_low,4.0,517.0
Mecklenburg-Vorpommern,mittelklasse,low,6.0,517.0
Mecklenburg-Vorpommern,mittelklasse,medium,24.0,517.0
Mecklenburg-Vorpommern,mittelklasse,high,44.0,517.0
Mecklenburg-Vorpommern,mittelklasse,very_high,23.0,517.0
Sachsen,mittelklasse,very_low,5.0,1104.0
Sachsen,mittelklasse,low,11.0,1104.0
Sachsen,mittelklasse,medium,25.0,1104.0
Sachsen,mittelklasse,high,45.0,1104.0
Sachsen,mittelklasse,very_high,14.0,1104.0
Sachsen-Anhalt,mittelklasse,very_low,4.0,752.0
Sachsen-Anhalt,mittelklasse,low,8.0,752.0
Sachsen-Anhalt,mittelklasse,medium,22.0,752.0
Sachsen-Anhalt,mittelklasse,high,49.0,752.0
Sachsen-Anhalt,mittelklasse,very_high,17.0,752.0
Thueringen,mittelklasse,very_low,3.0,665.0
Thueringen,mittelklasse,low,9.0,665.0
Thueringen,mittelklasse,medium,26.0,665.0
Thueringen,mittelklasse,high,47.0,665.0
Thueringen,mittelklasse,very_high,15.0,665.0
Schleswig-Holstein,obere_mittelklasse,very_low,7.0,255.0
Schleswig-Holstein,obere_mittelklasse,low,4.0,255.0
Schleswig-Holstein,obere_mittelklasse,medium,17.0,255.0
Schleswig-Holstein,obere_mittelklasse,high,44.0,255.0
Schleswig-Holstein,obere_mittelklasse,very_high,28.0,255.0
Hamburg,obere_mittelklasse,very_low,3.0,125.0
Hamburg,obere_mittelklasse,low,4.0,125.0
Hamburg,obere_mittelklasse,medium,16.0,125.0
Hamburg,obere_mittelklasse,high,44.0,125.0
Hamburg,obere_mittelklasse,very_high,34.0,125.0
Niedersachsen,obere_mittelklasse,very_low,2.0,639.0
Niedersachsen,obere_mittelklasse,low,7.0,639.0
Niedersachsen,obere_mittelklasse,medium,16.0,639.0
Niedersachsen,obere_mittelklasse,high,47.0,639.0
Niedersachsen,obere_mittelklasse,very_high,28.0,639.0
Bremen,obere_mittelklasse,very_low,,30.0
Bremen,obere_mittelklasse,low,6.0,30.0
Bremen,obere_mittelklasse,medium,19.0,30.0
Bremen,obere_mittelklasse,high,49.0,30.0
Bremen,obere_mittelklasse,very_high,27.0,30.0
Nordrhein-Westfalen,obere_mittelklasse,very_low,2.0,1254.0
Nordrhein-Westfalen,obere_mittelklasse,low,5.0,1254.0
Nordrhein-Westfalen,obere_mittelklasse,medium,17.0,1254.0
Nordrhein-Westfalen,obere_mittelklasse,high,42.0,1254.0
Nordrhein-Westfalen,obere_mittelklasse,very_high,34.0,1254.0
Hessen,obere_mittelklasse,very_low,2.0,524.0
Hessen,obere_mittelklasse,low,3.0,524.0
Hessen,obere_mittelklasse,medium,17.0,524.0
Hessen,obere_mittelklasse,high,41.0,524.0
Hessen,obere_mittelklasse,very_high,37.0,524.0
Rheinland-Pfalz,obere_mittelklasse,very_low,3.0,302.0
Rheinland-Pfalz,obere_mittelklasse,low,2.0,302.0
Rheinland-Pfalz,obere_mittelklasse,medium,9.0,302.0
Rheinland-Pfalz,obere_mittelklasse,high,50.0,302.0
Rheinland-Pfalz,obere_mittelklasse,very_high,36.0,302.0
Baden-Wuerttemberg,obere_mittelklasse,very_low,0.0,1025.0
Baden-Wuerttemberg,obere_mittelklasse,low,3.0,1025.0
Baden-Wuerttemberg,obere_mittelklasse,medium,19.0,1025.0
Baden-Wuerttemberg,obere_mittelklasse,high,50.0,1025.0
Baden-Wuerttemberg,obere_mittelklasse,very_high,28.0,1025.0
Bayern,obere_mittelklasse,very_low,4.0,1050.0
Bayern,obere_mittelklasse,low,4.0,1050.0
Bayern,obere_mittelklasse,medium,13.0,1050.0
Bayern,obere_mittelklasse,high,45.0,1050.0
Bayern,obere_mittelklasse,very_high,34.0,1050.0
Saarland,obere_mittelklasse,very_low,2.0,56.0
Saarland,obere_mittelklasse,low,8.0,56.0
Saarland,obere_mittelklasse,medium,16.0,56.0
Saarland,obere_mittelklasse,high,47.0,56.0
