region,segment,status,share_pct,base_weighted
Stadtregion - Metropole,minis,very_low,5.0,2043.0
Stadtregion - Metropole,minis,low,9.0,2043.0
Stadtregion - Metropole,minis,medium,30.0,2043.0
Stadtregion - Metropole,minis,high,38.0,2043.0
Stadtregion - Metropole,minis,very_high,17.0,2043.0
Stadtregion - Regiopole und Grossstadt,minis,very_low,8.0,2176.0
Stadtregion - Regiopole und Grossstadt,minis,low,13.0,2176.0
Stadtregion - Regiopole und Grossstadt,minis,medium,28.0,2176.0
Stadtregion - Regiopole und Grossstadt,minis,high,36.0,2176.0
Stadtregion - Regiopole und Grossstadt,minis,very_high,15.0,2176.0
"Stadtregion - Mittelstadt, staedtischer Raum",minis,very_low,6.0,4375.0
"Stadtregion - Mittelstadt, staedtischer Raum",minis,low,9.0,4375.0
"Stadtregion - Mittelstadt, staedtischer Raum",minis,medium,29.0,4375.0
"Stadtregion - Mittelstadt, staedtischer Raum",minis,high,40.0,4375.0
"Stadtregion - Mittelstadt, staedtischer Raum",minis,very_high,16.0,4375.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",minis,very_low,6.0,977.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",minis,low,13.0,977.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",minis,medium,26.0,977.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",minis,high,41.0,977.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",minis,very_high,14.0,977.0
laendliche Region - zentrale Stadt,minis,very_low,14.0,949.0
laendliche Region - zentrale Stadt,minis,low,12.0,949.0
laendliche Region - zentrale Stadt,minis,medium,33.0,949.0
laendliche Region - zentrale Stadt,minis,high,30.0,949.0
laendliche Region - zentrale Stadt,minis,very_high,12.0,949.0
"laendliche Region - Mittelstadt, staedtischer Raum",minis,very_low,6.0,2364.0
"laendliche Region - Mittelstadt, staedtischer Raum",minis,low,14.0,2364.0
"laendliche Region - Mittelstadt, staedtischer Raum",minis,medium,30.0,2364.0
"laendliche Region - Mittelstadt, staedtischer Raum",minis,high,40.0,2364.0
"laendliche Region - Mittelstadt, staedtischer Raum",minis,very_high,10.0,2364.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",minis,very_low,8.0,2430.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",minis,low,12.0,2430.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",minis,medium,31.0,2430.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",minis,high,37.0,2430.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",minis,very_high,11.0,2430.0
Stadtregion - Metropole,kleinwagen,very_low,5.0,8196.0
Stadtregion - Metropole,kleinwagen,low,8.0,8196.0
Stadtregion - Metropole,kleinwagen,medium,29.0,8196.0
Stadtregion - Metropole,kleinwagen,high,40.0,8196.0
Stadtregion - Metropole,kleinwagen,very_high,18.0,8196.0
Stadtregion - Regiopole und Grossstadt,kleinwagen,very_low,6.0,9072.0
Stadtregion - Regiopole und Grossstadt,kleinwagen,low,11.0,9072.0
Stadtregion - Regiopole und Grossstadt,kleinwagen,medium,31.0,9072.0
Stadtregion - Regiopole und Grossstadt,kleinwagen,high,38.0,9072.0
Stadtregion - Regiopole und Grossstadt,kleinwagen,very_high,15.0,9072.0
"Stadtregion - Mittelstadt, staedtischer Raum",kleinwagen,very_low,5.0,18656.0
"Stadtregion - Mittelstadt, staedtischer Raum",kleinwagen,low,9.0,18656.0
"Stadtregion - Mittelstadt, staedtischer Raum",kleinwagen,medium,28.0,18656.0
"Stadtregion - Mittelstadt, staedtischer Raum",kleinwagen,high,41.0,18656.0
"Stadtregion - Mittelstadt, staedtischer Raum",kleinwagen,very_high,16.0,18656.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",kleinwagen,very_low,8.0,4833.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",kleinwagen,low,10.0,4833.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",kleinwagen,medium,27.0,4833.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",kleinwagen,high,43.0,4833.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",kleinwagen,very_high,12.0,4833.0
laendliche Region - zentrale Stadt,kleinwagen,very_low,8.0,4279.0
laendliche Region - zentrale Stadt,kleinwagen,low,12.0,4279.0
laendliche Region - zentrale Stadt,kleinwagen,medium,30.0,4279.0
laendliche Region - zentrale Stadt,kleinwagen,high,38.0,4279.0
laendliche Region - zentrale Stadt,kleinwagen,very_high,12.0,4279.0
"laendliche Region - Mittelstadt, staedtischer Raum",kleinwagen,very_low,8.0,10482.0
"laendliche Region - Mittelstadt, staedtischer Raum",kleinwagen,low,13.0,10482.0
"laendliche Region - Mittelstadt, staedtischer Raum",kleinwagen,medium,30.0,10482.0
"laendliche Region - Mittelstadt, staedtischer Raum",kleinwagen,high,37.0,10482.0
"laendliche Region - Mittelstadt, staedtischer Raum",kleinwagen,very_high,12.0,10482.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",kleinwagen,very_low,8.0,11657.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",kleinwagen,low,11.0,11657.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",kleinwagen,medium,31.0,11657.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",kleinwagen,high,40.0,11657.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",kleinwagen,very_high,10.0,11657.0
Stadtregion - Metropole,kompaktklasse,very_low,3.0,9691.0
Stadtregion - Metropole,kompaktklasse,low,6.0,9691.0
Stadtregion - Metropole,kompaktklasse,medium,24.0,9691.0
Stadtregion - Metropole,kompaktklasse,high,42.0,9691.0
Stadtregion - Metropole,kompaktklasse,very_high,24.0,9691.0
Stadtregion - Regiopole und Grossstadt,kompaktklasse,very_low,3.0,9899.0
Stadtregion - Regiopole und Grossstadt,kompaktklasse,low,8.0,9899.0
Stadtregion - Regiopole und Grossstadt,kompaktklasse,medium,26.0,9899.0
Stadtregion - Regiopole und Grossstadt,kompaktklasse,high,43.0,9899.0
Stadtregion - Regiopole und Grossstadt,kompaktklasse,very_high,20.0,9899.0
"Stadtregion - Mittelstadt, staedtischer Raum",kompaktklasse,very_low,3.0,20690.0
"Stadtregion - Mittelstadt, staedtischer Raum",kompaktklasse,low,7.0,20690.0
"Stadtregion - Mittelstadt, staedtischer Raum",kompaktklasse,medium,25.0,20690.0
"Stadtregion - Mittelstadt, staedtischer Raum",kompaktklasse,high,45.0,20690.0
"Stadtregion - Mittelstadt, staedtischer Raum",kompaktklasse,very_high,21.0,20690.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",kompaktklasse,very_low,4.0,5290.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",kompaktklasse,low,9.0,5290.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",kompaktklasse,medium,25.0,5290.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",kompaktklasse,high,45.0,5290.0
"Stadtregion - kleinstaedtischer, doerflicher Raum",kompaktklasse,very_high,18.0,5290.0
laendliche Region - zentrale Stadt,kompaktklasse,very_low,5.0,4398.0
laendliche Region - zentrale Stadt,kompaktklasse,low,9.0,4398.0
laendliche Region - zentrale Stadt,kompaktklasse,medium,30.0,4398.0
laendliche Region - zentrale Stadt,kompaktklasse,high,42.0,4398.0
laendliche Region - zentrale Stadt,kompaktklasse,very_high,14.0,4398.0
"laendliche Region - Mittelstadt, staedtischer Raum",kompaktklasse,very_low,5.0,11828.0
"laendliche Region - Mittelstadt, staedtischer Raum",kompaktklasse,low,8.0,11828.0
"laendliche Region - Mittelstadt, staedtischer Raum",kompaktklasse,medium,29.0,11828.0
"laendliche Region - Mittelstadt, staedtischer Raum",kompaktklasse,high,42.0,11828.0
"laendliche Region - Mittelstadt, staedtischer Raum",kompaktklasse,very_high,17.0,11828.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",kompaktklasse,very_low,5.0,13192.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",kompaktklasse,low,10.0,13192.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",kompaktklasse,medium,26.0,13192.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",kompaktklasse,high,45.0,13192.0
"laendliche Region - kleinstaedtischer, doerflicher Raum",kompaktklasse,very_high,14.0,13192.0
Stadtregion - Metropole,mittelklasse,very_low,3.0,3449.0
Stadtregion - Metropole,mittelklasse,low,5.0,3449.0
Stadtregion - Metropole,mittelklasse,medium,17.0,3449.0
Stadtregion - Metropole,mittelklasse,high,42.0,3449.0
Stadtregion - Metropole,mittelklasse,very_high,33.0,3449.0
Stadtregion - Regiopole und Grossstadt,mittelklasse,very_low,2.0,3360.0
Stadtregion - Regiopole und Grossstadt,mittelklasse,low,5.0,3360.0
Stadtregion - Regiopole und Grossstadt,mittelklasse,medium,21.0,3360.0
Stadtregion - Regiopole und Grossstadt,mittelklasse,high,44.0,3360.0
Stadtregion - Regiopole und Grossstadt,mittelklasse,very_high,28.0,3360.0
"Stadtregion - Mittelstadt, staedtischer Raum",mittelklasse,very_low,1.0,7535.0
"Stadtregion - Mittelstadt, staedtischer Raum",mittelklasse,low,5.0,7535.0
"Stadtregion - Mittelstadt, staedtischer Raum",mittelklasse,medium,21.0,7535.0
"Stadtregion - Mittelstadt, staedtischer Raum",mittelklasse,high,45.0,7535.0
