level,regiostar7,n_pupils,target_km,slope,achieved_mean_km,abs_error_km
grundschule,72,2956,1.538,-1.3354,1.538,0.0
grundschule,73,1481,2.308,-0.6835,2.298,0.009999999999999787
grundschule,74,1891,3.846,-0.4507,3.791,0.05500000000000016
grundschule,75,258,1.538,-1.0793,1.541,0.0029999999999998916
grundschule,76,203,3.077,-0.1248,3.028,0.04899999999999993
grundschule,77,198,3.846,-0.2412,3.934,0.08800000000000008
sekundar_1,72,3772,3.077,-0.4944,3.094,0.016999999999999904
sekundar_1,73,1949,4.615,-0.2383,4.558,0.057000000000000384
sekundar_1,74,2405,6.923,-0.4303,6.931,0.008000000000000007
sekundar_1,75,336,3.077,-0.57,3.082,0.004999999999999893
sekundar_1,76,293,4.615,-0.1568,4.595,0.020000000000000462
sekundar_1,77,263,6.923,-0.116,6.769,0.15399999999999991
oberstufe,72,574,3.077,-1.51,2.993,0.08400000000000007
oberstufe,73,292,5.385,-0.765,5.181,0.20399999999999974
oberstufe,74,354,6.923,-3.0,8.272,1.3490000000000002
oberstufe,75,40,3.846,-1.2588,6.063,2.2169999999999996
oberstufe,76,50,5.385,-1.2588,3.994,1.3909999999999996
oberstufe,77,43,7.692,-1.2588,9.47,1.7780000000000005
bbs,72,1264,15.839,-0.035,15.844,0.004999999999999005
bbs,73,571,15.839,-0.0898,15.896,0.057000000000000384
bbs,74,686,15.839,-0.1524,15.855,0.016000000000000014
bbs,75,110,15.839,-0.0666,16.075,0.23599999999999888
bbs,76,129,15.839,-0.1346,15.849,0.009999999999999787
bbs,77,95,15.839,-3.0,20.389,4.549999999999999
