# MiD 2023 Anzahl Autos im HH x RegioStaR Raumtyp (weighted bases).
# Generated by scripts/extract_mid_cars_by_status.py from
# mid2023_cars_by_raumtyp.xlsx (sheet 'MiD Tabellen').
# num_cars folded to 0/1/2/3 (3 == '3 or more'). base_weighted = weighted
# household base of the (num_cars, raumtyp) cell; P(num_cars | raumtyp) is
# the base normalised over num_cars within a raumtyp.
num_cars,region,base_weighted
0,laendlich_kleinstaedtisch,2697.0
0,laendlich_mittelstadt,3844.0
0,laendlich_zentrale_stadt,2889.0
0,stadtregion_kleinstaedtisch,1078.0
0,stadtregion_metropole,16121.0
0,stadtregion_mittelstadt,7157.0
0,stadtregion_regiopole_grossstadt,9305.0
1,laendlich_kleinstaedtisch,15886.0
1,laendlich_mittelstadt,16363.0
1,laendlich_zentrale_stadt,7805.0
1,stadtregion_kleinstaedtisch,6450.0
1,stadtregion_metropole,19305.0
1,stadtregion_mittelstadt,28706.0
1,stadtregion_regiopole_grossstadt,18229.0
2,laendlich_kleinstaedtisch,10371.0
2,laendlich_mittelstadt,8864.0
2,laendlich_zentrale_stadt,2851.0
2,stadtregion_kleinstaedtisch,4511.0
2,stadtregion_metropole,4547.0
2,stadtregion_mittelstadt,15783.0
2,stadtregion_regiopole_grossstadt,5641.0
3,laendlich_kleinstaedtisch,2463.0
3,laendlich_mittelstadt,1612.0
3,laendlich_zentrale_stadt,466.0
3,stadtregion_kleinstaedtisch,820.0
3,stadtregion_metropole,653.0
3,stadtregion_mittelstadt,2770.0
3,stadtregion_regiopole_grossstadt,776.0
