# MiD 2023 Anzahl Autos im HH x oekonomischer Status x Haushaltstyp.
# Generated by scripts/extract_mid_cars_by_status.py from
# mid2023_cars_by_status_hhtype.xlsx (sheet 'MiD Tabellen').
# num_cars folded to 0/1/2/3 (3 == '3 or more' = MiD '3 Autos' + '4 Autos
# und mehr'), matching the MiD H7 Kreis control. share_pct = P(hhtype |
# num_cars, status) in percent; base_weighted = weighted household base
# of the (num_cars, status) cell.
num_cars,hhtype,status,share_pct,base_weighted
0,child_under_14,high,3.0,10363.0
0,child_under_18,high,1.0,10363.0
0,child_under_6,high,5.0,10363.0
0,couple_youngest_18_29,high,6.0,10363.0
0,couple_youngest_30_59,high,8.0,10363.0
0,couple_youngest_60_plus,high,3.0,10363.0
0,not_classifiable,high,3.0,10363.0
0,single_18_29,high,7.0,10363.0
0,single_30_59,high,35.0,10363.0
0,single_60_plus,high,23.0,10363.0
0,single_parent,high,2.0,10363.0
0,three_plus_adults,high,3.0,10363.0
0,child_under_14,low,1.0,6178.0
0,child_under_18,low,1.0,6178.0
0,child_under_6,low,2.0,6178.0
0,couple_youngest_18_29,low,5.0,6178.0
0,couple_youngest_30_59,low,3.0,6178.0
0,couple_youngest_60_plus,low,6.0,6178.0
0,not_classifiable,low,2.0,6178.0
0,single_18_29,low,9.0,6178.0
0,single_30_59,low,21.0,6178.0
0,single_60_plus,low,44.0,6178.0
0,single_parent,low,3.0,6178.0
0,three_plus_adults,low,2.0,6178.0
0,child_under_14,medium,2.0,13167.0
0,child_under_18,medium,1.0,13167.0
0,child_under_6,medium,2.0,13167.0
0,couple_youngest_18_29,medium,3.0,13167.0
0,couple_youngest_30_59,medium,3.0,13167.0
0,couple_youngest_60_plus,medium,6.0,13167.0
0,not_classifiable,medium,2.0,13167.0
0,single_18_29,medium,7.0,13167.0
0,single_30_59,medium,25.0,13167.0
0,single_60_plus,medium,46.0,13167.0
0,single_parent,medium,2.0,13167.0
0,three_plus_adults,medium,2.0,13167.0
0,child_under_14,very_high,9.0,1893.0
0,child_under_18,very_high,2.0,1893.0
0,child_under_6,very_high,14.0,1893.0
0,couple_youngest_18_29,very_high,7.0,1893.0
0,couple_youngest_30_59,very_high,27.0,1893.0
0,couple_youngest_60_plus,very_high,4.0,1893.0
0,not_classifiable,very_high,1.0,1893.0
0,single_18_29,very_high,3.0,1893.0
0,single_30_59,very_high,20.0,1893.0
0,single_60_plus,very_high,8.0,1893.0
0,single_parent,very_high,1.0,1893.0
0,three_plus_adults,very_high,4.0,1893.0
0,child_under_14,very_low,1.0,11490.0
0,child_under_18,very_low,0.0,11490.0
0,child_under_6,very_low,1.0,11490.0
0,couple_youngest_18_29,very_low,3.0,11490.0
0,couple_youngest_30_59,very_low,2.0,11490.0
0,couple_youngest_60_plus,very_low,2.0,11490.0
0,not_classifiable,very_low,6.0,11490.0
0,single_18_29,very_low,14.0,11490.0
0,single_30_59,very_low,23.0,11490.0
0,single_60_plus,very_low,45.0,11490.0
0,single_parent,very_low,2.0,11490.0
0,three_plus_adults,very_low,1.0,11490.0
1,child_under_14,high,6.0,35951.0
1,child_under_18,high,2.0,35951.0
1,child_under_6,high,9.0,35951.0
1,couple_youngest_18_29,high,4.0,35951.0
1,couple_youngest_30_59,high,11.0,35951.0
1,couple_youngest_60_plus,high,15.0,35951.0
1,not_classifiable,high,0.0,35951.0
1,single_18_29,high,3.0,35951.0
1,single_30_59,high,25.0,35951.0
1,single_60_plus,high,18.0,35951.0
1,single_parent,high,2.0,35951.0
1,three_plus_adults,high,4.0,35951.0
1,child_under_14,low,2.0,16254.0
1,child_under_18,low,1.0,16254.0
1,child_under_6,low,3.0,16254.0
1,couple_youngest_18_29,low,2.0,16254.0
1,couple_youngest_30_59,low,4.0,16254.0
1,couple_youngest_60_plus,low,30.0,16254.0
1,not_classifiable,low,0.0,16254.0
1,single_18_29,low,3.0,16254.0
1,single_30_59,low,16.0,16254.0
1,single_60_plus,low,33.0,16254.0
1,single_parent,low,4.0,16254.0
1,three_plus_adults,low,2.0,16254.0
1,child_under_14,medium,3.0,41496.0
1,child_under_18,medium,1.0,41496.0
1,child_under_6,medium,5.0,41496.0
1,couple_youngest_18_29,medium,2.0,41496.0
1,couple_youngest_30_59,medium,5.0,41496.0
1,couple_youngest_60_plus,medium,22.0,41496.0
1,not_classifiable,medium,0.0,41496.0
1,single_18_29,medium,6.0,41496.0
1,single_30_59,medium,20.0,41496.0
1,single_60_plus,medium,31.0,41496.0
1,single_parent,medium,4.0,41496.0
1,three_plus_adults,medium,2.0,41496.0
1,child_under_14,very_high,13.0,9840.0
1,child_under_18,very_high,3.0,9840.0
1,child_under_6,very_high,18.0,9840.0
1,couple_youngest_18_29,very_high,4.0,9840.0
1,couple_youngest_30_59,very_high,21.0,9840.0
1,couple_youngest_60_plus,very_high,11.0,9840.0
1,not_classifiable,very_high,0.0,9840.0
1,single_18_29,very_high,1.0,9840.0
1,single_30_59,very_high,16.0,9840.0
1,single_60_plus,very_high,8.0,9840.0
1,single_parent,very_high,2.0,9840.0
1,three_plus_adults,very_high,3.0,9840.0
1,child_under_14,very_low,3.0,9204.0
1,child_under_18,very_low,1.0,9204.0
1,child_under_6,very_low,3.0,9204.0
1,couple_youngest_18_29,very_low,2.0,9204.0
1,couple_youngest_30_59,very_low,3.0,9204.0
1,couple_youngest_60_plus,very_low,14.0,9204.0
1,not_classifiable,very_low,2.0,9204.0
1,single_18_29,very_low,9.0,9204.0
1,single_30_59,very_low,16.0,9204.0
1,single_60_plus,very_low,45.0,9204.0
1,single_parent,very_low,3.0,9204.0
1,three_plus_adults,very_low,2.0,9204.0
2,child_under_14,high,15.0,26340.0
2,child_under_18,high,6.0,26340.0
2,child_under_6,high,20.0,26340.0
2,couple_youngest_18_29,high,7.0,26340.0
2,couple_youngest_30_59,high,21.0,26340.0
2,couple_youngest_60_plus,high,16.0,26340.0
2,not_classifiable,high,0.0,26340.0
2,single_18_29,high,0.0,26340.0
2,single_30_59,high,2.0,26340.0
2,single_60_plus,high,2.0,26340.0
2,single_parent,high,0.0,26340.0
2,three_plus_adults,high,10.0,26340.0
2,child_under_14,low,11.0,2189.0
2,child_under_18,low,5.0,2189.0
2,child_under_6,low,13.0,2189.0
2,couple_youngest_18_29,low,7.0,2189.0
2,couple_youngest_30_59,low,13.0,2189.0
2,couple_youngest_60_plus,low,35.0,2189.0
