# Source: MiD 2023 "Handbuch zur Datennutzung", Abbildung 2 (p.16):
#   "Bestimmung des oekonomischen Status ueber Haushaltsnettoeinkommen und
#   gewichtete Haushaltsgroesse". Extracted from the PDF VECTOR FILLS by
#   scripts/extract_mid_status_matrix.py (cell rectangle colour -> class),
#   not transcribed visually.
# wsize_row: weighted household size (1.0 first member 14+, +0.5 per further
#   member 14+, +0.3 per member <14); the 30 achievable values; sizes above
#   4.5 use the 4.5 row.
# income_col 0..14 with [income_lo_eur, income_hi_eur) monthly net household
#   income; income_hi_eur = -1 means open top class (>= 7000).
wsize_row,income_col,income_lo_eur,income_hi_eur,status
1.0,0,0,500,very_low
1.0,1,500,900,very_low
1.0,2,900,1500,very_low
1.0,3,1500,2000,low
1.0,4,2000,2600,medium
1.0,5,2600,3000,medium
1.0,6,3000,3600,high
1.0,7,3600,4000,high
1.0,8,4000,4600,high
1.0,9,4600,5000,very_high
1.0,10,5000,5600,very_high
1.0,11,5600,6000,very_high
1.0,12,6000,6600,very_high
1.0,13,6600,7000,very_high
1.0,14,7000,-1,very_high
1.3,0,0,500,very_low
1.3,1,500,900,very_low
1.3,2,900,1500,very_low
1.3,3,1500,2000,low
1.3,4,2000,2600,medium
1.3,5,2600,3000,medium
1.3,6,3000,3600,medium
1.3,7,3600,4000,high
1.3,8,4000,4600,high
1.3,9,4600,5000,high
1.3,10,5000,5600,very_high
1.3,11,5600,6000,very_high
1.3,12,6000,6600,very_high
1.3,13,6600,7000,very_high
1.3,14,7000,-1,very_high
1.5,0,0,500,very_low
1.5,1,500,900,very_low
1.5,2,900,1500,very_low
1.5,3,1500,2000,very_low
1.5,4,2000,2600,low
1.5,5,2600,3000,medium
1.5,6,3000,3600,medium
1.5,7,3600,4000,high
1.5,8,4000,4600,high
1.5,9,4600,5000,high
1.5,10,5000,5600,high
1.5,11,5600,6000,very_high
1.5,12,6000,6600,very_high
1.5,13,6600,7000,very_high
1.5,14,7000,-1,very_high
1.6,0,0,500,very_low
1.6,1,500,900,very_low
1.6,2,900,1500,very_low
1.6,3,1500,2000,very_low
1.6,4,2000,2600,low
1.6,5,2600,3000,medium
1.6,6,3000,3600,medium
1.6,7,3600,4000,high
1.6,8,4000,4600,high
1.6,9,4600,5000,high
1.6,10,5000,5600,high
1.6,11,5600,6000,very_high
1.6,12,6000,6600,very_high
1.6,13,6600,7000,very_high
1.6,14,7000,-1,very_high
1.8,0,0,500,very_low
1.8,1,500,900,very_low
1.8,2,900,1500,very_low
1.8,3,1500,2000,very_low
1.8,4,2000,2600,low
1.8,5,2600,3000,medium
1.8,6,3000,3600,medium
1.8,7,3600,4000,high
1.8,8,4000,4600,high
1.8,9,4600,5000,high
1.8,10,5000,5600,high
1.8,11,5600,6000,very_high
1.8,12,6000,6600,very_high
1.8,13,6600,7000,very_high
1.8,14,7000,-1,very_high
1.9,0,0,500,very_low
1.9,1,500,900,very_low
1.9,2,900,1500,very_low
1.9,3,1500,2000,very_low
1.9,4,2000,2600,low
1.9,5,2600,3000,medium
1.9,6,3000,3600,medium
1.9,7,3600,4000,high
1.9,8,4000,4600,high
1.9,9,4600,5000,high
1.9,10,5000,5600,high
1.9,11,5600,6000,very_high
1.9,12,6000,6600,very_high
1.9,13,6600,7000,very_high
1.9,14,7000,-1,very_high
2.0,0,0,500,very_low
2.0,1,500,900,very_low
2.0,2,900,1500,very_low
2.0,3,1500,2000,very_low
2.0,4,2000,2600,low
2.0,5,2600,3000,medium
2.0,6,3000,3600,medium
2.0,7,3600,4000,medium
2.0,8,4000,4600,high
2.0,9,4600,5000,high
2.0,10,5000,5600,high
2.0,11,5600,6000,high
2.0,12,6000,6600,high
2.0,13,6600,7000,very_high
2.0,14,7000,-1,very_high
2.1,0,0,500,very_low
2.1,1,500,900,very_low
2.1,2,900,1500,very_low
2.1,3,1500,2000,very_low
2.1,4,2000,2600,low
2.1,5,2600,3000,medium
2.1,6,3000,3600,medium
2.1,7,3600,4000,medium
2.1,8,4000,4600,medium
2.1,9,4600,5000,high
2.1,10,5000,5600,high
2.1,11,5600,6000,high
2.1,12,6000,6600,high
2.1,13,6600,7000,very_high
2.1,14,7000,-1,very_high
2.2,0,0,500,very_low
2.2,1,500,900,very_low
2.2,2,900,1500,very_low
2.2,3,1500,2000,very_low
2.2,4,2000,2600,low
2.2,5,2600,3000,medium
2.2,6,3000,3600,medium
2.2,7,3600,4000,medium
2.2,8,4000,4600,medium
2.2,9,4600,5000,high
2.2,10,5000,5600,high
2.2,11,5600,6000,high
2.2,12,6000,6600,high
2.2,13,6600,7000,very_high
2.2,14,7000,-1,very_high
2.3,0,0,500,very_low
2.3,1,500,900,very_low
2.3,2,900,1500,very_low
2.3,3,1500,2000,very_low
2.3,4,2000,2600,very_low
2.3,5,2600,3000,low
2.3,6,3000,3600,low
2.3,7,3600,4000,medium
2.3,8,4000,4600,medium
2.3,9,4600,5000,medium
2.3,10,5000,5600,high
2.3,11,5600,6000,high
2.3,12,6000,6600,high
2.3,13,6600,7000,very_high
2.3,14,7000,-1,very_high
2.4,0,0,500,very_low
2.4,1,500,900,very_low
2.4,2,900,1500,very_low
2.4,3,1500,2000,very_low
2.4,4,2000,2600,very_low
2.4,5,2600,3000,low
2.4,6,3000,3600,low
2.4,7,3600,4000,medium
2.4,8,4000,4600,medium
2.4,9,4600,5000,medium
2.4,10,5000,5600,high
2.4,11,5600,6000,high
2.4,12,6000,6600,high
2.4,13,6600,7000,very_high
2.4,14,7000,-1,very_high
2.5,0,0,500,very_low
2.5,1,500,900,very_low
2.5,2,900,1500,very_low
2.5,3,1500,2000,very_low
2.5,4,2000,2600,very_low
2.5,5,2600,3000,low
2.5,6,3000,3600,low
2.5,7,3600,4000,low
2.5,8,4000,4600,medium
2.5,9,4600,5000,medium
2.5,10,5000,5600,medium
2.5,11,5600,6000,high
2.5,12,6000,6600,high
2.5,13,6600,7000,high
2.5,14,7000,-1,very_high
2.6,0,0,500,very_low
2.6,1,500,900,very_low
2.6,2,900,1500,very_low
2.6,3,1500,2000,very_low
2.6,4,2000,2600,very_low
2.6,5,2600,3000,low
2.6,6,3000,3600,low
2.6,7,3600,4000,low
2.6,8,4000,4600,medium
2.6,9,4600,5000,medium
2.6,10,5000,5600,medium
2.6,11,5600,6000,high
2.6,12,6000,6600,high
2.6,13,6600,7000,high
2.6,14,7000,-1,very_high
2.7,0,0,500,very_low
2.7,1,500,900,very_low
2.7,2,900,1500,very_low
2.7,3,1500,2000,very_low
2.7,4,2000,2600,very_low
