# MiD 2023 monthly net household income bracket EUR bounds.
# Source of truth: braunschweig.data.mid.income_by_size.INCOME_BRACKET_BOUNDS_EUR.
# Half-open [low_eur, high_eur). The top bracket 'over_7000' is
# open-ended (empty high_eur); a finite EUR value is drawn for it
# with a heavy-tail rule (see the enrichment stage).
income_bracket,order,low_eur,high_eur
under_500,0,0.0,500.0
500_900,1,500.0,900.0
900_1500,2,900.0,1500.0
1500_2000,3,1500.0,2000.0
2000_3000,4,2000.0,3000.0
3000_4000,5,3000.0,4000.0
4000_5000,6,4000.0,5000.0
5000_6000,7,5000.0,6000.0
6000_7000,8,6000.0,7000.0
over_7000,9,7000.0,
