# MiD 2023 monatliches HH-Nettoeinkommen x Haushaltsgroesse x Region.
# Generated by scripts/extract_mid_income_by_size.py from
# mid2023_income_by_size_bundesland.xlsx (sheet 'MiD Tabellen').
# share_pct = P(income_bracket | hh_size, region) in percent (a size
# column sums to ~100 over brackets); base_weighted = weighted household
# base of the (hh_size, region) cell. Bracket EUR bounds: see
# mid2023_income_bracket_bounds_eur.csv (top bracket 'over_7000' is open).
region,hh_size,income_bracket,share_pct,base_weighted
baden_wuerttemberg,1,1500_2000,11.0,10969.0
baden_wuerttemberg,1,2000_3000,35.0,10969.0
baden_wuerttemberg,1,3000_4000,25.0,10969.0
baden_wuerttemberg,1,4000_5000,10.0,10969.0
baden_wuerttemberg,1,5000_6000,2.0,10969.0
baden_wuerttemberg,1,500_900,2.0,10969.0
baden_wuerttemberg,1,6000_7000,1.0,10969.0
baden_wuerttemberg,1,900_1500,12.0,10969.0
baden_wuerttemberg,1,over_7000,1.0,10969.0
baden_wuerttemberg,1,under_500,0.0,10969.0
baden_wuerttemberg,2,1500_2000,3.0,8584.0
baden_wuerttemberg,2,2000_3000,16.0,8584.0
baden_wuerttemberg,2,3000_4000,24.0,8584.0
baden_wuerttemberg,2,4000_5000,22.0,8584.0
baden_wuerttemberg,2,5000_6000,16.0,8584.0
baden_wuerttemberg,2,500_900,0.0,8584.0
baden_wuerttemberg,2,6000_7000,11.0,8584.0
baden_wuerttemberg,2,900_1500,1.0,8584.0
baden_wuerttemberg,2,over_7000,8.0,8584.0
baden_wuerttemberg,2,under_500,0.0,8584.0
baden_wuerttemberg,3,1500_2000,1.0,3680.0
baden_wuerttemberg,3,2000_3000,5.0,3680.0
baden_wuerttemberg,3,3000_4000,12.0,3680.0
baden_wuerttemberg,3,4000_5000,24.0,3680.0
baden_wuerttemberg,3,5000_6000,25.0,3680.0
baden_wuerttemberg,3,500_900,0.0,3680.0
baden_wuerttemberg,3,6000_7000,21.0,3680.0
baden_wuerttemberg,3,900_1500,0.0,3680.0
baden_wuerttemberg,3,over_7000,12.0,3680.0
baden_wuerttemberg,3,under_500,0.0,3680.0
baden_wuerttemberg,4,1500_2000,0.0,3035.0
baden_wuerttemberg,4,2000_3000,3.0,3035.0
baden_wuerttemberg,4,3000_4000,8.0,3035.0
baden_wuerttemberg,4,4000_5000,16.0,3035.0
baden_wuerttemberg,4,5000_6000,25.0,3035.0
baden_wuerttemberg,4,500_900,0.0,3035.0
baden_wuerttemberg,4,6000_7000,27.0,3035.0
baden_wuerttemberg,4,900_1500,0.0,3035.0
baden_wuerttemberg,4,over_7000,19.0,3035.0
baden_wuerttemberg,4,under_500,0.0,3035.0
baden_wuerttemberg,5+,1500_2000,1.0,1546.0
baden_wuerttemberg,5+,2000_3000,4.0,1546.0
baden_wuerttemberg,5+,3000_4000,8.0,1546.0
baden_wuerttemberg,5+,4000_5000,18.0,1546.0
baden_wuerttemberg,5+,5000_6000,23.0,1546.0
baden_wuerttemberg,5+,500_900,0.0,1546.0
baden_wuerttemberg,5+,6000_7000,27.0,1546.0
baden_wuerttemberg,5+,900_1500,0.0,1546.0
baden_wuerttemberg,5+,over_7000,18.0,1546.0
baden_wuerttemberg,5+,under_500,0.0,1546.0
bayern,1,1500_2000,13.0,14054.0
bayern,1,2000_3000,36.0,14054.0
bayern,1,3000_4000,24.0,14054.0
bayern,1,4000_5000,9.0,14054.0
bayern,1,5000_6000,2.0,14054.0
bayern,1,500_900,3.0,14054.0
bayern,1,6000_7000,1.0,14054.0
bayern,1,900_1500,11.0,14054.0
bayern,1,over_7000,1.0,14054.0
bayern,1,under_500,1.0,14054.0
bayern,2,1500_2000,3.0,9888.0
bayern,2,2000_3000,17.0,9888.0
bayern,2,3000_4000,25.0,9888.0
bayern,2,4000_5000,22.0,9888.0
bayern,2,5000_6000,14.0,9888.0
bayern,2,500_900,0.0,9888.0
bayern,2,6000_7000,10.0,9888.0
bayern,2,900_1500,2.0,9888.0
bayern,2,over_7000,7.0,9888.0
bayern,2,under_500,0.0,9888.0
bayern,3,1500_2000,1.0,4427.0
bayern,3,2000_3000,7.0,4427.0
bayern,3,3000_4000,12.0,4427.0
bayern,3,4000_5000,22.0,4427.0
bayern,3,5000_6000,26.0,4427.0
bayern,3,500_900,0.0,4427.0
bayern,3,6000_7000,18.0,4427.0
bayern,3,900_1500,1.0,4427.0
bayern,3,over_7000,13.0,4427.0
bayern,3,under_500,0.0,4427.0
bayern,4,1500_2000,0.0,3532.0
bayern,4,2000_3000,3.0,3532.0
bayern,4,3000_4000,9.0,3532.0
bayern,4,4000_5000,17.0,3532.0
bayern,4,5000_6000,23.0,3532.0
bayern,4,500_900,0.0,3532.0
bayern,4,6000_7000,26.0,3532.0
bayern,4,900_1500,0.0,3532.0
bayern,4,over_7000,21.0,3532.0
bayern,4,under_500,0.0,3532.0
bayern,5+,1500_2000,1.0,1669.0
bayern,5+,2000_3000,4.0,1669.0
bayern,5+,3000_4000,6.0,1669.0
bayern,5+,4000_5000,14.0,1669.0
bayern,5+,5000_6000,28.0,1669.0
bayern,5+,500_900,0.0,1669.0
bayern,5+,6000_7000,26.0,1669.0
bayern,5+,900_1500,0.0,1669.0
bayern,5+,over_7000,22.0,1669.0
bayern,5+,under_500,0.0,1669.0
berlin,1,1500_2000,14.0,6091.0
berlin,1,2000_3000,37.0,6091.0
berlin,1,3000_4000,20.0,6091.0
berlin,1,4000_5000,6.0,6091.0
berlin,1,5000_6000,2.0,6091.0
berlin,1,500_900,2.0,6091.0
berlin,1,6000_7000,1.0,6091.0
berlin,1,900_1500,15.0,6091.0
berlin,1,over_7000,1.0,6091.0
berlin,1,under_500,0.0,6091.0
berlin,2,1500_2000,2.0,2509.0
berlin,2,2000_3000,19.0,2509.0
berlin,2,3000_4000,24.0,2509.0
berlin,2,4000_5000,23.0,2509.0
berlin,2,5000_6000,14.0,2509.0
berlin,2,500_900,0.0,2509.0
berlin,2,6000_7000,9.0,2509.0
berlin,2,900_1500,2.0,2509.0
berlin,2,over_7000,8.0,2509.0
berlin,2,under_500,0.0,2509.0
berlin,3,1500_2000,0.0,1056.0
berlin,3,2000_3000,8.0,1056.0
berlin,3,3000_4000,12.0,1056.0
berlin,3,4000_5000,21.0,1056.0
berlin,3,5000_6000,28.0,1056.0
berlin,3,500_900,0.0,1056.0
berlin,3,6000_7000,16.0,1056.0
berlin,3,900_1500,0.0,1056.0
berlin,3,over_7000,14.0,1056.0
berlin,3,under_500,0.0,1056.0
berlin,4,1500_2000,1.0,691.0
