# MiD 2023 monatliches HH-Nettoeinkommen x Haushaltsgroesse x Region.
# Generated by scripts/extract_mid_income_by_size.py from
# mid2023_income_by_size_raumtyp.xlsx (sheet 'MiD Tabellen').
# share_pct = P(income_bracket | hh_size, region) in percent (a size
# column sums to ~100 over brackets); base_weighted = weighted household
# base of the (hh_size, region) cell. Bracket EUR bounds: see
# mid2023_income_bracket_bounds_eur.csv (top bracket 'over_7000' is open).
region,hh_size,income_bracket,share_pct,base_weighted
laendlich_kleinstaedtisch,1,1500_2000,16.0,12014.0
laendlich_kleinstaedtisch,1,2000_3000,37.0,12014.0
laendlich_kleinstaedtisch,1,3000_4000,19.0,12014.0
laendlich_kleinstaedtisch,1,4000_5000,5.0,12014.0
laendlich_kleinstaedtisch,1,5000_6000,1.0,12014.0
laendlich_kleinstaedtisch,1,500_900,4.0,12014.0
laendlich_kleinstaedtisch,1,6000_7000,0.0,12014.0
laendlich_kleinstaedtisch,1,900_1500,16.0,12014.0
laendlich_kleinstaedtisch,1,over_7000,1.0,12014.0
laendlich_kleinstaedtisch,1,under_500,1.0,12014.0
laendlich_kleinstaedtisch,2,1500_2000,4.0,9876.0
laendlich_kleinstaedtisch,2,2000_3000,25.0,9876.0
laendlich_kleinstaedtisch,2,3000_4000,29.0,9876.0
laendlich_kleinstaedtisch,2,4000_5000,20.0,9876.0
laendlich_kleinstaedtisch,2,5000_6000,11.0,9876.0
laendlich_kleinstaedtisch,2,500_900,0.0,9876.0
laendlich_kleinstaedtisch,2,6000_7000,5.0,9876.0
laendlich_kleinstaedtisch,2,900_1500,2.0,9876.0
laendlich_kleinstaedtisch,2,over_7000,3.0,9876.0
laendlich_kleinstaedtisch,2,under_500,0.0,9876.0
laendlich_kleinstaedtisch,3,1500_2000,1.0,4640.0
laendlich_kleinstaedtisch,3,2000_3000,7.0,4640.0
laendlich_kleinstaedtisch,3,3000_4000,16.0,4640.0
laendlich_kleinstaedtisch,3,4000_5000,28.0,4640.0
laendlich_kleinstaedtisch,3,5000_6000,27.0,4640.0
laendlich_kleinstaedtisch,3,500_900,0.0,4640.0
laendlich_kleinstaedtisch,3,6000_7000,13.0,4640.0
laendlich_kleinstaedtisch,3,900_1500,1.0,4640.0
laendlich_kleinstaedtisch,3,over_7000,6.0,4640.0
laendlich_kleinstaedtisch,3,under_500,0.0,4640.0
laendlich_kleinstaedtisch,4,1500_2000,0.0,3054.0
laendlich_kleinstaedtisch,4,2000_3000,3.0,3054.0
laendlich_kleinstaedtisch,4,3000_4000,13.0,3054.0
laendlich_kleinstaedtisch,4,4000_5000,21.0,3054.0
laendlich_kleinstaedtisch,4,5000_6000,26.0,3054.0
laendlich_kleinstaedtisch,4,500_900,0.0,3054.0
laendlich_kleinstaedtisch,4,6000_7000,24.0,3054.0
laendlich_kleinstaedtisch,4,900_1500,0.0,3054.0
laendlich_kleinstaedtisch,4,over_7000,12.0,3054.0
laendlich_kleinstaedtisch,4,under_500,0.0,3054.0
laendlich_kleinstaedtisch,5+,1500_2000,1.0,1860.0
laendlich_kleinstaedtisch,5+,2000_3000,6.0,1860.0
laendlich_kleinstaedtisch,5+,3000_4000,8.0,1860.0
laendlich_kleinstaedtisch,5+,4000_5000,22.0,1860.0
laendlich_kleinstaedtisch,5+,5000_6000,22.0,1860.0
laendlich_kleinstaedtisch,5+,500_900,0.0,1860.0
laendlich_kleinstaedtisch,5+,6000_7000,26.0,1860.0
laendlich_kleinstaedtisch,5+,900_1500,0.0,1860.0
laendlich_kleinstaedtisch,5+,over_7000,16.0,1860.0
laendlich_kleinstaedtisch,5+,under_500,0.0,1860.0
laendlich_mittelstadt,1,1500_2000,16.0,12783.0
laendlich_mittelstadt,1,2000_3000,39.0,12783.0
laendlich_mittelstadt,1,3000_4000,18.0,12783.0
laendlich_mittelstadt,1,4000_5000,5.0,12783.0
laendlich_mittelstadt,1,5000_6000,1.0,12783.0
laendlich_mittelstadt,1,500_900,3.0,12783.0
laendlich_mittelstadt,1,6000_7000,0.0,12783.0
laendlich_mittelstadt,1,900_1500,15.0,12783.0
laendlich_mittelstadt,1,over_7000,1.0,12783.0
laendlich_mittelstadt,1,under_500,1.0,12783.0
laendlich_mittelstadt,2,1500_2000,4.0,9750.0
laendlich_mittelstadt,2,2000_3000,25.0,9750.0
laendlich_mittelstadt,2,3000_4000,28.0,9750.0
laendlich_mittelstadt,2,4000_5000,19.0,9750.0
laendlich_mittelstadt,2,5000_6000,11.0,9750.0
laendlich_mittelstadt,2,500_900,0.0,9750.0
laendlich_mittelstadt,2,6000_7000,7.0,9750.0
laendlich_mittelstadt,2,900_1500,1.0,9750.0
laendlich_mittelstadt,2,over_7000,5.0,9750.0
laendlich_mittelstadt,2,under_500,0.0,9750.0
laendlich_mittelstadt,3,1500_2000,2.0,3880.0
laendlich_mittelstadt,3,2000_3000,7.0,3880.0
laendlich_mittelstadt,3,3000_4000,15.0,3880.0
laendlich_mittelstadt,3,4000_5000,25.0,3880.0
laendlich_mittelstadt,3,5000_6000,24.0,3880.0
laendlich_mittelstadt,3,500_900,0.0,3880.0
laendlich_mittelstadt,3,6000_7000,17.0,3880.0
laendlich_mittelstadt,3,900_1500,1.0,3880.0
laendlich_mittelstadt,3,over_7000,9.0,3880.0
laendlich_mittelstadt,3,under_500,0.0,3880.0
laendlich_mittelstadt,4,1500_2000,0.0,2791.0
laendlich_mittelstadt,4,2000_3000,4.0,2791.0
laendlich_mittelstadt,4,3000_4000,10.0,2791.0
laendlich_mittelstadt,4,4000_5000,22.0,2791.0
laendlich_mittelstadt,4,5000_6000,26.0,2791.0
laendlich_mittelstadt,4,500_900,0.0,2791.0
laendlich_mittelstadt,4,6000_7000,23.0,2791.0
laendlich_mittelstadt,4,900_1500,0.0,2791.0
laendlich_mittelstadt,4,over_7000,15.0,2791.0
laendlich_mittelstadt,4,under_500,0.0,2791.0
laendlich_mittelstadt,5+,1500_2000,1.0,1495.0
laendlich_mittelstadt,5+,2000_3000,5.0,1495.0
laendlich_mittelstadt,5+,3000_4000,10.0,1495.0
laendlich_mittelstadt,5+,4000_5000,22.0,1495.0
laendlich_mittelstadt,5+,5000_6000,27.0,1495.0
laendlich_mittelstadt,5+,500_900,0.0,1495.0
laendlich_mittelstadt,5+,6000_7000,19.0,1495.0
laendlich_mittelstadt,5+,900_1500,0.0,1495.0
laendlich_mittelstadt,5+,over_7000,15.0,1495.0
laendlich_mittelstadt,5+,under_500,0.0,1495.0
laendlich_zentrale_stadt,1,1500_2000,14.0,6493.0
laendlich_zentrale_stadt,1,2000_3000,37.0,6493.0
laendlich_zentrale_stadt,1,3000_4000,19.0,6493.0
laendlich_zentrale_stadt,1,4000_5000,5.0,6493.0
laendlich_zentrale_stadt,1,5000_6000,1.0,6493.0
laendlich_zentrale_stadt,1,500_900,4.0,6493.0
laendlich_zentrale_stadt,1,6000_7000,1.0,6493.0
laendlich_zentrale_stadt,1,900_1500,17.0,6493.0
laendlich_zentrale_stadt,1,over_7000,1.0,6493.0
laendlich_zentrale_stadt,1,under_500,0.0,6493.0
laendlich_zentrale_stadt,2,1500_2000,4.0,4453.0
laendlich_zentrale_stadt,2,2000_3000,22.0,4453.0
laendlich_zentrale_stadt,2,3000_4000,27.0,4453.0
laendlich_zentrale_stadt,2,4000_5000,21.0,4453.0
laendlich_zentrale_stadt,2,5000_6000,12.0,4453.0
laendlich_zentrale_stadt,2,500_900,1.0,4453.0
laendlich_zentrale_stadt,2,6000_7000,7.0,4453.0
laendlich_zentrale_stadt,2,900_1500,2.0,4453.0
laendlich_zentrale_stadt,2,over_7000,5.0,4453.0
laendlich_zentrale_stadt,2,under_500,0.0,4453.0
