# MiD 2023 monatliches HH-Nettoeinkommen x oekonomischer Status x Region.
# Generated by scripts/extract_mid_income_by_status.py from
# mid2023_income_by_status_bundesland.xlsx (sheet 'MiD Tabellen').
# share_pct = P(income_bracket | status, region) in percent (a status
# column sums to ~100 over brackets); base_weighted = weighted household
# base of the (status, region) cell. Bracket EUR bounds: see
# mid2023_income_bracket_bounds_eur.csv (top bracket 'over_7000' is open).
region,status,income_bracket,share_pct,base_weighted
baden_wuerttemberg,high,1500_2000,0.0,11215.0
baden_wuerttemberg,high,2000_3000,0.0,11215.0
baden_wuerttemberg,high,3000_4000,30.0,11215.0
baden_wuerttemberg,high,4000_5000,34.0,11215.0
baden_wuerttemberg,high,5000_6000,26.0,11215.0
baden_wuerttemberg,high,500_900,0.0,11215.0
baden_wuerttemberg,high,6000_7000,11.0,11215.0
baden_wuerttemberg,high,900_1500,0.0,11215.0
baden_wuerttemberg,high,over_7000,0.0,11215.0
baden_wuerttemberg,high,under_500,0.0,11215.0
baden_wuerttemberg,low,1500_2000,51.0,2385.0
baden_wuerttemberg,low,2000_3000,41.0,2385.0
baden_wuerttemberg,low,3000_4000,8.0,2385.0
baden_wuerttemberg,low,4000_5000,0.0,2385.0
baden_wuerttemberg,low,5000_6000,0.0,2385.0
baden_wuerttemberg,low,500_900,0.0,2385.0
baden_wuerttemberg,low,6000_7000,0.0,2385.0
baden_wuerttemberg,low,900_1500,0.0,2385.0
baden_wuerttemberg,low,over_7000,0.0,2385.0
baden_wuerttemberg,low,under_500,0.0,2385.0
baden_wuerttemberg,medium,1500_2000,0.0,7573.0
baden_wuerttemberg,medium,2000_3000,59.0,7573.0
baden_wuerttemberg,medium,3000_4000,27.0,7573.0
baden_wuerttemberg,medium,4000_5000,9.0,7573.0
baden_wuerttemberg,medium,5000_6000,4.0,7573.0
baden_wuerttemberg,medium,500_900,0.0,7573.0
baden_wuerttemberg,medium,6000_7000,0.0,7573.0
baden_wuerttemberg,medium,900_1500,0.0,7573.0
baden_wuerttemberg,medium,over_7000,0.0,7573.0
baden_wuerttemberg,medium,under_500,0.0,7573.0
baden_wuerttemberg,very_high,1500_2000,0.0,4506.0
baden_wuerttemberg,very_high,2000_3000,0.0,4506.0
baden_wuerttemberg,very_high,3000_4000,0.0,4506.0
baden_wuerttemberg,very_high,4000_5000,3.0,4506.0
baden_wuerttemberg,very_high,5000_6000,10.0,4506.0
baden_wuerttemberg,very_high,500_900,0.0,4506.0
baden_wuerttemberg,very_high,6000_7000,40.0,4506.0
baden_wuerttemberg,very_high,900_1500,0.0,4506.0
baden_wuerttemberg,very_high,over_7000,48.0,4506.0
baden_wuerttemberg,very_high,under_500,0.0,4506.0
baden_wuerttemberg,very_low,1500_2000,12.0,2136.0
baden_wuerttemberg,very_low,2000_3000,5.0,2136.0
baden_wuerttemberg,very_low,3000_4000,0.0,2136.0
baden_wuerttemberg,very_low,4000_5000,0.0,2136.0
baden_wuerttemberg,very_low,5000_6000,0.0,2136.0
baden_wuerttemberg,very_low,500_900,14.0,2136.0
baden_wuerttemberg,very_low,6000_7000,0.0,2136.0
baden_wuerttemberg,very_low,900_1500,66.0,2136.0
baden_wuerttemberg,very_low,over_7000,0.0,2136.0
baden_wuerttemberg,very_low,under_500,2.0,2136.0
bayern,high,1500_2000,0.0,12739.0
bayern,high,2000_3000,0.0,12739.0
bayern,high,3000_4000,32.0,12739.0
bayern,high,4000_5000,34.0,12739.0
bayern,high,5000_6000,25.0,12739.0
bayern,high,500_900,0.0,12739.0
bayern,high,6000_7000,10.0,12739.0
bayern,high,900_1500,0.0,12739.0
bayern,high,over_7000,0.0,12739.0
bayern,high,under_500,0.0,12739.0
bayern,low,1500_2000,54.0,3310.0
bayern,low,2000_3000,41.0,3310.0
bayern,low,3000_4000,5.0,3310.0
bayern,low,4000_5000,0.0,3310.0
bayern,low,5000_6000,0.0,3310.0
bayern,low,500_900,0.0,3310.0
bayern,low,6000_7000,0.0,3310.0
bayern,low,900_1500,0.0,3310.0
bayern,low,over_7000,0.0,3310.0
bayern,low,under_500,0.0,3310.0
bayern,medium,1500_2000,0.0,9516.0
bayern,medium,2000_3000,61.0,9516.0
bayern,medium,3000_4000,27.0,9516.0
bayern,medium,4000_5000,8.0,9516.0
bayern,medium,5000_6000,4.0,9516.0
bayern,medium,500_900,0.0,9516.0
bayern,medium,6000_7000,0.0,9516.0
bayern,medium,900_1500,0.0,9516.0
bayern,medium,over_7000,0.0,9516.0
bayern,medium,under_500,0.0,9516.0
bayern,very_high,1500_2000,0.0,5291.0
bayern,very_high,2000_3000,0.0,5291.0
bayern,very_high,3000_4000,0.0,5291.0
bayern,very_high,4000_5000,2.0,5291.0
bayern,very_high,5000_6000,11.0,5291.0
bayern,very_high,500_900,0.0,5291.0
bayern,very_high,6000_7000,37.0,5291.0
bayern,very_high,900_1500,0.0,5291.0
bayern,very_high,over_7000,50.0,5291.0
bayern,very_high,under_500,0.0,5291.0
bayern,very_low,1500_2000,12.0,2713.0
bayern,very_low,2000_3000,2.0,2713.0
bayern,very_low,3000_4000,0.0,2713.0
bayern,very_low,4000_5000,0.0,2713.0
bayern,very_low,5000_6000,0.0,2713.0
bayern,very_low,500_900,16.0,2713.0
bayern,very_low,6000_7000,0.0,2713.0
bayern,very_low,900_1500,66.0,2713.0
bayern,very_low,over_7000,0.0,2713.0
bayern,very_low,under_500,4.0,2713.0
berlin,high,1500_2000,0.0,3654.0
berlin,high,2000_3000,0.0,3654.0
berlin,high,3000_4000,39.0,3654.0
berlin,high,4000_5000,33.0,3654.0
berlin,high,5000_6000,21.0,3654.0
berlin,high,500_900,0.0,3654.0
berlin,high,6000_7000,7.0,3654.0
berlin,high,900_1500,0.0,3654.0
berlin,high,over_7000,0.0,3654.0
berlin,high,under_500,0.0,3654.0
berlin,low,1500_2000,70.0,1225.0
berlin,low,2000_3000,28.0,1225.0
berlin,low,3000_4000,2.0,1225.0
berlin,low,4000_5000,0.0,1225.0
berlin,low,5000_6000,0.0,1225.0
berlin,low,500_900,0.0,1225.0
berlin,low,6000_7000,0.0,1225.0
berlin,low,900_1500,0.0,1225.0
berlin,low,over_7000,0.0,1225.0
berlin,low,under_500,0.0,1225.0
berlin,medium,1500_2000,0.0,3362.0
berlin,medium,2000_3000,75.0,3362.0
berlin,medium,3000_4000,18.0,3362.0
berlin,medium,4000_5000,6.0,3362.0
berlin,medium,5000_6000,1.0,3362.0
berlin,medium,500_900,0.0,3362.0
berlin,medium,6000_7000,0.0,3362.0
berlin,medium,900_1500,0.0,3362.0
berlin,medium,over_7000,0.0,3362.0
berlin,medium,under_500,0.0,3362.0
berlin,very_high,1500_2000,0.0,1306.0
berlin,very_high,2000_3000,0.0,1306.0
berlin,very_high,3000_4000,0.0,1306.0
berlin,very_high,4000_5000,2.0,1306.0
berlin,very_high,5000_6000,14.0,1306.0
berlin,very_high,500_900,0.0,1306.0
berlin,very_high,6000_7000,38.0,1306.0
berlin,very_high,900_1500,0.0,1306.0
berlin,very_high,over_7000,46.0,1306.0
