# MiD 2023 monatliches HH-Nettoeinkommen x oekonomischer Status x Region.
# Generated by scripts/extract_mid_income_by_status.py from
# mid2023_income_by_status_raumtyp.xlsx (sheet 'MiD Tabellen').
# share_pct = P(income_bracket | status, region) in percent (a status
# column sums to ~100 over brackets); base_weighted = weighted household
# base of the (status, region) cell. Bracket EUR bounds: see
# mid2023_income_bracket_bounds_eur.csv (top bracket 'over_7000' is open).
region,status,income_bracket,share_pct,base_weighted
laendlich_kleinstaedtisch,high,1500_2000,0.0,11192.0
laendlich_kleinstaedtisch,high,2000_3000,0.0,11192.0
laendlich_kleinstaedtisch,high,3000_4000,28.0,11192.0
laendlich_kleinstaedtisch,high,4000_5000,35.0,11192.0
laendlich_kleinstaedtisch,high,5000_6000,27.0,11192.0
laendlich_kleinstaedtisch,high,500_900,0.0,11192.0
laendlich_kleinstaedtisch,high,6000_7000,11.0,11192.0
laendlich_kleinstaedtisch,high,900_1500,0.0,11192.0
laendlich_kleinstaedtisch,high,over_7000,0.0,11192.0
laendlich_kleinstaedtisch,high,under_500,0.0,11192.0
laendlich_kleinstaedtisch,low,1500_2000,47.0,4125.0
laendlich_kleinstaedtisch,low,2000_3000,47.0,4125.0
laendlich_kleinstaedtisch,low,3000_4000,6.0,4125.0
laendlich_kleinstaedtisch,low,4000_5000,0.0,4125.0
laendlich_kleinstaedtisch,low,5000_6000,0.0,4125.0
laendlich_kleinstaedtisch,low,500_900,0.0,4125.0
laendlich_kleinstaedtisch,low,6000_7000,0.0,4125.0
laendlich_kleinstaedtisch,low,900_1500,0.0,4125.0
laendlich_kleinstaedtisch,low,over_7000,0.0,4125.0
laendlich_kleinstaedtisch,low,under_500,0.0,4125.0
laendlich_kleinstaedtisch,medium,1500_2000,0.0,9832.0
laendlich_kleinstaedtisch,medium,2000_3000,55.0,9832.0
laendlich_kleinstaedtisch,medium,3000_4000,31.0,9832.0
laendlich_kleinstaedtisch,medium,4000_5000,10.0,9832.0
laendlich_kleinstaedtisch,medium,5000_6000,3.0,9832.0
laendlich_kleinstaedtisch,medium,500_900,0.0,9832.0
laendlich_kleinstaedtisch,medium,6000_7000,0.0,9832.0
laendlich_kleinstaedtisch,medium,900_1500,0.0,9832.0
laendlich_kleinstaedtisch,medium,over_7000,0.0,9832.0
laendlich_kleinstaedtisch,medium,under_500,0.0,9832.0
laendlich_kleinstaedtisch,very_high,1500_2000,0.0,2869.0
laendlich_kleinstaedtisch,very_high,2000_3000,0.0,2869.0
laendlich_kleinstaedtisch,very_high,3000_4000,0.0,2869.0
laendlich_kleinstaedtisch,very_high,4000_5000,1.0,2869.0
laendlich_kleinstaedtisch,very_high,5000_6000,13.0,2869.0
laendlich_kleinstaedtisch,very_high,500_900,0.0,2869.0
laendlich_kleinstaedtisch,very_high,6000_7000,41.0,2869.0
laendlich_kleinstaedtisch,very_high,900_1500,0.0,2869.0
laendlich_kleinstaedtisch,very_high,over_7000,46.0,2869.0
laendlich_kleinstaedtisch,very_high,under_500,0.0,2869.0
laendlich_kleinstaedtisch,very_low,1500_2000,15.0,3426.0
laendlich_kleinstaedtisch,very_low,2000_3000,3.0,3426.0
laendlich_kleinstaedtisch,very_low,3000_4000,0.0,3426.0
laendlich_kleinstaedtisch,very_low,4000_5000,0.0,3426.0
laendlich_kleinstaedtisch,very_low,5000_6000,0.0,3426.0
laendlich_kleinstaedtisch,very_low,500_900,15.0,3426.0
laendlich_kleinstaedtisch,very_low,6000_7000,0.0,3426.0
laendlich_kleinstaedtisch,very_low,900_1500,64.0,3426.0
laendlich_kleinstaedtisch,very_low,over_7000,0.0,3426.0
laendlich_kleinstaedtisch,very_low,under_500,3.0,3426.0
laendlich_mittelstadt,high,1500_2000,0.0,10270.0
laendlich_mittelstadt,high,2000_3000,0.0,10270.0
laendlich_mittelstadt,high,3000_4000,30.0,10270.0
laendlich_mittelstadt,high,4000_5000,35.0,10270.0
laendlich_mittelstadt,high,5000_6000,26.0,10270.0
laendlich_mittelstadt,high,500_900,0.0,10270.0
laendlich_mittelstadt,high,6000_7000,9.0,10270.0
laendlich_mittelstadt,high,900_1500,0.0,10270.0
laendlich_mittelstadt,high,over_7000,0.0,10270.0
laendlich_mittelstadt,high,under_500,0.0,10270.0
laendlich_mittelstadt,low,1500_2000,51.0,3985.0
laendlich_mittelstadt,low,2000_3000,44.0,3985.0
laendlich_mittelstadt,low,3000_4000,5.0,3985.0
laendlich_mittelstadt,low,4000_5000,0.0,3985.0
laendlich_mittelstadt,low,5000_6000,0.0,3985.0
laendlich_mittelstadt,low,500_900,0.0,3985.0
laendlich_mittelstadt,low,6000_7000,0.0,3985.0
laendlich_mittelstadt,low,900_1500,0.0,3985.0
laendlich_mittelstadt,low,over_7000,0.0,3985.0
laendlich_mittelstadt,low,under_500,0.0,3985.0
laendlich_mittelstadt,medium,1500_2000,0.0,9855.0
laendlich_mittelstadt,medium,2000_3000,61.0,9855.0
laendlich_mittelstadt,medium,3000_4000,28.0,9855.0
laendlich_mittelstadt,medium,4000_5000,9.0,9855.0
laendlich_mittelstadt,medium,5000_6000,3.0,9855.0
laendlich_mittelstadt,medium,500_900,0.0,9855.0
laendlich_mittelstadt,medium,6000_7000,0.0,9855.0
laendlich_mittelstadt,medium,900_1500,0.0,9855.0
laendlich_mittelstadt,medium,over_7000,0.0,9855.0
laendlich_mittelstadt,medium,under_500,0.0,9855.0
laendlich_mittelstadt,very_high,1500_2000,0.0,3351.0
laendlich_mittelstadt,very_high,2000_3000,0.0,3351.0
laendlich_mittelstadt,very_high,3000_4000,0.0,3351.0
laendlich_mittelstadt,very_high,4000_5000,2.0,3351.0
laendlich_mittelstadt,very_high,5000_6000,10.0,3351.0
laendlich_mittelstadt,very_high,500_900,0.0,3351.0
laendlich_mittelstadt,very_high,6000_7000,40.0,3351.0
laendlich_mittelstadt,very_high,900_1500,0.0,3351.0
laendlich_mittelstadt,very_high,over_7000,49.0,3351.0
laendlich_mittelstadt,very_high,under_500,0.0,3351.0
laendlich_mittelstadt,very_low,1500_2000,13.0,3238.0
laendlich_mittelstadt,very_low,2000_3000,4.0,3238.0
laendlich_mittelstadt,very_low,3000_4000,0.0,3238.0
laendlich_mittelstadt,very_low,4000_5000,0.0,3238.0
laendlich_mittelstadt,very_low,5000_6000,0.0,3238.0
laendlich_mittelstadt,very_low,500_900,14.0,3238.0
laendlich_mittelstadt,very_low,6000_7000,0.0,3238.0
laendlich_mittelstadt,very_low,900_1500,67.0,3238.0
laendlich_mittelstadt,very_low,over_7000,0.0,3238.0
laendlich_mittelstadt,very_low,under_500,3.0,3238.0
laendlich_zentrale_stadt,high,1500_2000,0.0,4539.0
laendlich_zentrale_stadt,high,2000_3000,0.0,4539.0
laendlich_zentrale_stadt,high,3000_4000,34.0,4539.0
laendlich_zentrale_stadt,high,4000_5000,36.0,4539.0
laendlich_zentrale_stadt,high,5000_6000,23.0,4539.0
laendlich_zentrale_stadt,high,500_900,0.0,4539.0
laendlich_zentrale_stadt,high,6000_7000,7.0,4539.0
laendlich_zentrale_stadt,high,900_1500,0.0,4539.0
laendlich_zentrale_stadt,high,over_7000,0.0,4539.0
laendlich_zentrale_stadt,high,under_500,0.0,4539.0
laendlich_zentrale_stadt,low,1500_2000,54.0,1719.0
laendlich_zentrale_stadt,low,2000_3000,41.0,1719.0
laendlich_zentrale_stadt,low,3000_4000,5.0,1719.0
laendlich_zentrale_stadt,low,4000_5000,0.0,1719.0
laendlich_zentrale_stadt,low,5000_6000,0.0,1719.0
laendlich_zentrale_stadt,low,500_900,0.0,1719.0
laendlich_zentrale_stadt,low,6000_7000,0.0,1719.0
laendlich_zentrale_stadt,low,900_1500,0.0,1719.0
laendlich_zentrale_stadt,low,over_7000,0.0,1719.0
laendlich_zentrale_stadt,low,under_500,0.0,1719.0
laendlich_zentrale_stadt,medium,1500_2000,0.0,4433.0
laendlich_zentrale_stadt,medium,2000_3000,64.0,4433.0
laendlich_zentrale_stadt,medium,3000_4000,27.0,4433.0
laendlich_zentrale_stadt,medium,4000_5000,7.0,4433.0
laendlich_zentrale_stadt,medium,5000_6000,2.0,4433.0
laendlich_zentrale_stadt,medium,500_900,0.0,4433.0
laendlich_zentrale_stadt,medium,6000_7000,0.0,4433.0
laendlich_zentrale_stadt,medium,900_1500,0.0,4433.0
laendlich_zentrale_stadt,medium,over_7000,0.0,4433.0
laendlich_zentrale_stadt,medium,under_500,0.0,4433.0
laendlich_zentrale_stadt,very_high,1500_2000,0.0,1446.0
laendlich_zentrale_stadt,very_high,2000_3000,0.0,1446.0
laendlich_zentrale_stadt,very_high,3000_4000,0.0,1446.0
laendlich_zentrale_stadt,very_high,4000_5000,2.0,1446.0
laendlich_zentrale_stadt,very_high,5000_6000,12.0,1446.0
laendlich_zentrale_stadt,very_high,500_900,0.0,1446.0
laendlich_zentrale_stadt,very_high,6000_7000,42.0,1446.0
laendlich_zentrale_stadt,very_high,900_1500,0.0,1446.0
