# MiD 2023 monatliches HH-Nettoeinkommen x Wohnen (Miete/Eigentum) x Region.
# Generated by scripts/extract_mid_income_by_tenure.py from
# mid2023_income_by_tenure_bundesland.xlsx (sheet 'MiD Tabellen').
# share_pct = P(income_bracket | tenure, region) in percent (a tenure
# column sums to ~100 over brackets); base_weighted = weighted household
# base of the (tenure, region) cell. Tenure = {rent, own, other}; the MiD
# 'anderes' + 'keine Angabe' columns are folded into 'other'.
region,tenure,income_bracket,share_pct,base_weighted
baden_wuerttemberg,other,1500_2000,8.269076,747.0
baden_wuerttemberg,other,2000_3000,20.791165,747.0
baden_wuerttemberg,other,3000_4000,22.791165,747.0
baden_wuerttemberg,other,4000_5000,15.35743,747.0
baden_wuerttemberg,other,5000_6000,8.895582,747.0
baden_wuerttemberg,other,500_900,4.477912,747.0
baden_wuerttemberg,other,6000_7000,6.582329,747.0
baden_wuerttemberg,other,900_1500,6.461847,747.0
baden_wuerttemberg,other,over_7000,6.373494,747.0
baden_wuerttemberg,other,under_500,1.0,747.0
baden_wuerttemberg,own,1500_2000,4.0,14071.0
baden_wuerttemberg,own,2000_3000,17.0,14071.0
baden_wuerttemberg,own,3000_4000,20.0,14071.0
baden_wuerttemberg,own,4000_5000,18.0,14071.0
baden_wuerttemberg,own,5000_6000,15.0,14071.0
baden_wuerttemberg,own,500_900,0.0,14071.0
baden_wuerttemberg,own,6000_7000,13.0,14071.0
baden_wuerttemberg,own,900_1500,2.0,14071.0
baden_wuerttemberg,own,over_7000,10.0,14071.0
baden_wuerttemberg,own,under_500,0.0,14071.0
baden_wuerttemberg,rent,1500_2000,7.0,12765.0
baden_wuerttemberg,rent,2000_3000,23.0,12765.0
baden_wuerttemberg,rent,3000_4000,20.0,12765.0
baden_wuerttemberg,rent,4000_5000,15.0,12765.0
baden_wuerttemberg,rent,5000_6000,11.0,12765.0
baden_wuerttemberg,rent,500_900,1.0,12765.0
baden_wuerttemberg,rent,6000_7000,8.0,12765.0
baden_wuerttemberg,rent,900_1500,7.0,12765.0
baden_wuerttemberg,rent,over_7000,5.0,12765.0
baden_wuerttemberg,rent,under_500,0.0,12765.0
bayern,other,1500_2000,7.584475,1314.0
bayern,other,2000_3000,26.454338,1314.0
bayern,other,3000_4000,22.069254,1314.0
bayern,other,4000_5000,12.584475,1314.0
bayern,other,5000_6000,9.069254,1314.0
bayern,other,500_900,2.792237,1314.0
bayern,other,6000_7000,5.069254,1314.0
bayern,other,900_1500,9.653729,1314.0
bayern,other,over_7000,4.722983,1314.0
bayern,other,under_500,1.861492,1314.0
bayern,own,1500_2000,5.0,16282.0
bayern,own,2000_3000,17.0,16282.0
bayern,own,3000_4000,20.0,16282.0
bayern,own,4000_5000,17.0,16282.0
bayern,own,5000_6000,14.0,16282.0
bayern,own,500_900,0.0,16282.0
bayern,own,6000_7000,12.0,16282.0
bayern,own,900_1500,3.0,16282.0
bayern,own,over_7000,11.0,16282.0
bayern,own,under_500,0.0,16282.0
bayern,rent,1500_2000,8.0,15736.0
bayern,rent,2000_3000,26.0,15736.0
bayern,rent,3000_4000,20.0,15736.0
bayern,rent,4000_5000,15.0,15736.0
bayern,rent,5000_6000,10.0,15736.0
bayern,rent,500_900,2.0,15736.0
bayern,rent,6000_7000,7.0,15736.0
bayern,rent,900_1500,7.0,15736.0
bayern,rent,over_7000,5.0,15736.0
bayern,rent,under_500,0.0,15736.0
berlin,other,1500_2000,0.0,145.0
berlin,other,2000_3000,0.0,145.0
berlin,other,3000_4000,0.0,145.0
berlin,other,4000_5000,0.0,145.0
berlin,other,5000_6000,0.0,145.0
berlin,other,500_900,0.0,145.0
berlin,other,6000_7000,0.0,145.0
berlin,other,900_1500,0.0,145.0
berlin,other,over_7000,0.0,145.0
berlin,other,under_500,0.0,145.0
berlin,own,1500_2000,5.0,1690.0
berlin,own,2000_3000,20.0,1690.0
berlin,own,3000_4000,19.0,1690.0
berlin,own,4000_5000,15.0,1690.0
berlin,own,5000_6000,13.0,1690.0
berlin,own,500_900,0.0,1690.0
berlin,own,6000_7000,13.0,1690.0
berlin,own,900_1500,3.0,1690.0
berlin,own,over_7000,11.0,1690.0
berlin,own,under_500,0.0,1690.0
berlin,rent,1500_2000,9.0,8862.0
berlin,rent,2000_3000,28.0,8862.0
berlin,rent,3000_4000,19.0,8862.0
berlin,rent,4000_5000,13.0,8862.0
berlin,rent,5000_6000,8.0,8862.0
berlin,rent,500_900,2.0,8862.0
berlin,rent,6000_7000,6.0,8862.0
berlin,rent,900_1500,10.0,8862.0
berlin,rent,over_7000,5.0,8862.0
berlin,rent,under_500,0.0,8862.0
brandenburg,other,1500_2000,11.2,165.0
brandenburg,other,2000_3000,34.4,165.0
brandenburg,other,3000_4000,12.0,165.0
brandenburg,other,4000_5000,8.8,165.0
brandenburg,other,5000_6000,7.2,165.0
brandenburg,other,500_900,0.0,165.0
brandenburg,other,6000_7000,2.4,165.0
brandenburg,other,900_1500,3.2,165.0
brandenburg,other,over_7000,1.6,165.0
brandenburg,other,under_500,0.0,165.0
brandenburg,own,1500_2000,4.0,3104.0
brandenburg,own,2000_3000,21.0,3104.0
brandenburg,own,3000_4000,20.0,3104.0
brandenburg,own,4000_5000,17.0,3104.0
brandenburg,own,5000_6000,14.0,3104.0
brandenburg,own,500_900,1.0,3104.0
brandenburg,own,6000_7000,11.0,3104.0
brandenburg,own,900_1500,4.0,3104.0
brandenburg,own,over_7000,7.0,3104.0
brandenburg,own,under_500,0.0,3104.0
brandenburg,rent,1500_2000,11.0,3586.0
brandenburg,rent,2000_3000,31.0,3586.0
brandenburg,rent,3000_4000,21.0,3586.0
brandenburg,rent,4000_5000,11.0,3586.0
brandenburg,rent,5000_6000,5.0,3586.0
brandenburg,rent,500_900,4.0,3586.0
brandenburg,rent,6000_7000,3.0,3586.0
brandenburg,rent,900_1500,11.0,3586.0
brandenburg,rent,over_7000,2.0,3586.0
brandenburg,rent,under_500,0.0,3586.0
bremen,other,1500_2000,0.0,37.0
bremen,other,2000_3000,0.0,37.0
bremen,other,3000_4000,0.0,37.0
bremen,other,4000_5000,0.0,37.0
bremen,other,5000_6000,0.0,37.0
bremen,other,500_900,0.0,37.0
bremen,other,6000_7000,0.0,37.0
bremen,other,900_1500,0.0,37.0
bremen,other,over_7000,0.0,37.0
bremen,other,under_500,0.0,37.0
bremen,own,1500_2000,5.0,667.0
bremen,own,2000_3000,19.0,667.0
bremen,own,3000_4000,22.0,667.0
bremen,own,4000_5000,16.0,667.0
bremen,own,5000_6000,13.0,667.0
bremen,own,500_900,1.0,667.0
bremen,own,6000_7000,12.0,667.0
bremen,own,900_1500,4.0,667.0
bremen,own,over_7000,9.0,667.0
bremen,own,under_500,0.0,667.0
bremen,rent,1500_2000,10.0,1183.0
bremen,rent,2000_3000,27.0,1183.0
bremen,rent,3000_4000,21.0,1183.0
bremen,rent,4000_5000,12.0,1183.0
bremen,rent,5000_6000,7.0,1183.0
bremen,rent,500_900,4.0,1183.0
bremen,rent,6000_7000,4.0,1183.0
bremen,rent,900_1500,11.0,1183.0
bremen,rent,over_7000,3.0,1183.0
bremen,rent,under_500,1.0,1183.0
hamburg,other,1500_2000,8.171429,70.0
hamburg,other,2000_3000,14.857143,70.0
hamburg,other,3000_4000,11.142857,70.0
hamburg,other,4000_5000,7.428571,70.0
hamburg,other,5000_6000,7.428571,70.0
hamburg,other,500_900,8.914286,70.0
hamburg,other,6000_7000,2.971429,70.0
hamburg,other,900_1500,8.914286,70.0
hamburg,other,over_7000,2.228571,70.0
hamburg,other,under_500,2.228571,70.0
hamburg,own,1500_2000,4.0,1109.0
hamburg,own,2000_3000,17.0,1109.0
hamburg,own,3000_4000,19.0,1109.0
hamburg,own,4000_5000,15.0,1109.0
hamburg,own,5000_6000,13.0,1109.0
hamburg,own,500_900,0.0,1109.0
hamburg,own,6000_7000,14.0,1109.0
hamburg,own,900_1500,2.0,1109.0
hamburg,own,over_7000,16.0,1109.0
hamburg,own,under_500,0.0,1109.0
hamburg,rent,1500_2000,9.0,4041.0
hamburg,rent,2000_3000,28.0,4041.0
hamburg,rent,3000_4000,20.0,4041.0
hamburg,rent,4000_5000,13.0,4041.0
hamburg,rent,5000_6000,9.0,4041.0
hamburg,rent,500_900,1.0,4041.0
hamburg,rent,6000_7000,7.0,4041.0
hamburg,rent,900_1500,8.0,4041.0
hamburg,rent,over_7000,5.0,4041.0
hamburg,rent,under_500,0.0,4041.0
hessen,other,1500_2000,11.136821,497.0
hessen,other,2000_3000,28.684105,497.0
hessen,other,3000_4000,18.726358,497.0
hessen,other,4000_5000,14.657948,497.0
hessen,other,5000_6000,6.863179,497.0
hessen,other,500_900,1.863179,497.0
hessen,other,6000_7000,7.0,497.0
hessen,other,900_1500,7.06841,497.0
hessen,other,over_7000,4.0,497.0
hessen,other,under_500,0.0,497.0
hessen,own,1500_2000,4.0,7366.0
hessen,own,2000_3000,18.0,7366.0
hessen,own,3000_4000,20.0,7366.0
hessen,own,4000_5000,17.0,7366.0
hessen,own,5000_6000,14.0,7366.0
hessen,own,500_900,1.0,7366.0
hessen,own,6000_7000,13.0,7366.0
hessen,own,900_1500,3.0,7366.0
hessen,own,over_7000,11.0,7366.0
hessen,own,under_500,0.0,7366.0
hessen,rent,1500_2000,8.0,8071.0
hessen,rent,2000_3000,26.0,8071.0
hessen,rent,3000_4000,21.0,8071.0
hessen,rent,4000_5000,14.0,8071.0
hessen,rent,5000_6000,9.0,8071.0
hessen,rent,500_900,2.0,8071.0
hessen,rent,6000_7000,6.0,8071.0
hessen,rent,900_1500,8.0,8071.0
hessen,rent,over_7000,5.0,8071.0
hessen,rent,under_500,0.0,8071.0
mecklenburg_vorpommern,other,1500_2000,0.0,121.0
mecklenburg_vorpommern,other,2000_3000,0.0,121.0
mecklenburg_vorpommern,other,3000_4000,0.0,121.0
mecklenburg_vorpommern,other,4000_5000,0.0,121.0
mecklenburg_vorpommern,other,5000_6000,0.0,121.0
mecklenburg_vorpommern,other,500_900,0.0,121.0
mecklenburg_vorpommern,other,6000_7000,0.0,121.0
mecklenburg_vorpommern,other,900_1500,0.0,121.0
mecklenburg_vorpommern,other,over_7000,0.0,121.0
mecklenburg_vorpommern,other,under_500,0.0,121.0
mecklenburg_vorpommern,own,1500_2000,6.0,1755.0
mecklenburg_vorpommern,own,2000_3000,22.0,1755.0
mecklenburg_vorpommern,own,3000_4000,19.0,1755.0
mecklenburg_vorpommern,own,4000_5000,17.0,1755.0
mecklenburg_vorpommern,own,5000_6000,15.0,1755.0
mecklenburg_vorpommern,own,500_900,1.0,1755.0
mecklenburg_vorpommern,own,6000_7000,9.0,1755.0
mecklenburg_vorpommern,own,900_1500,6.0,1755.0
mecklenburg_vorpommern,own,over_7000,7.0,1755.0
mecklenburg_vorpommern,own,under_500,0.0,1755.0
mecklenburg_vorpommern,rent,1500_2000,13.0,2569.0
mecklenburg_vorpommern,rent,2000_3000,34.0,2569.0
mecklenburg_vorpommern,rent,3000_4000,17.0,2569.0
mecklenburg_vorpommern,rent,4000_5000,9.0,2569.0
mecklenburg_vorpommern,rent,5000_6000,5.0,2569.0
