# MiD 2023 monatliches HH-Nettoeinkommen x Wohnen (Miete/Eigentum) x Region.
# Generated by scripts/extract_mid_income_by_tenure.py from
# mid2023_income_by_tenure_raumtyp.xlsx (sheet 'MiD Tabellen').
# share_pct = P(income_bracket | tenure, region) in percent (a tenure
# column sums to ~100 over brackets); base_weighted = weighted household
# base of the (tenure, region) cell. Tenure = {rent, own, other}; the MiD
# 'anderes' + 'keine Angabe' columns are folded into 'other'.
region,tenure,income_bracket,share_pct,base_weighted
laendlich_kleinstaedtisch,other,1500_2000,10.67587,1666.0
laendlich_kleinstaedtisch,other,2000_3000,24.566627,1666.0
laendlich_kleinstaedtisch,other,3000_4000,16.108043,1666.0
laendlich_kleinstaedtisch,other,4000_5000,16.054022,1666.0
laendlich_kleinstaedtisch,other,5000_6000,7.729892,1666.0
laendlich_kleinstaedtisch,other,500_900,1.891957,1666.0
laendlich_kleinstaedtisch,other,6000_7000,4.891957,1666.0
laendlich_kleinstaedtisch,other,900_1500,12.405762,1666.0
laendlich_kleinstaedtisch,other,over_7000,2.837935,1666.0
laendlich_kleinstaedtisch,other,under_500,2.837935,1666.0
laendlich_kleinstaedtisch,own,1500_2000,5.0,18813.0
laendlich_kleinstaedtisch,own,2000_3000,20.0,18813.0
laendlich_kleinstaedtisch,own,3000_4000,22.0,18813.0
laendlich_kleinstaedtisch,own,4000_5000,18.0,18813.0
laendlich_kleinstaedtisch,own,5000_6000,15.0,18813.0
laendlich_kleinstaedtisch,own,500_900,1.0,18813.0
laendlich_kleinstaedtisch,own,6000_7000,10.0,18813.0
laendlich_kleinstaedtisch,own,900_1500,4.0,18813.0
laendlich_kleinstaedtisch,own,over_7000,6.0,18813.0
laendlich_kleinstaedtisch,own,under_500,0.0,18813.0
laendlich_kleinstaedtisch,rent,1500_2000,12.0,10756.0
laendlich_kleinstaedtisch,rent,2000_3000,31.0,10756.0
laendlich_kleinstaedtisch,rent,3000_4000,19.0,10756.0
laendlich_kleinstaedtisch,rent,4000_5000,12.0,10756.0
laendlich_kleinstaedtisch,rent,5000_6000,8.0,10756.0
laendlich_kleinstaedtisch,rent,500_900,3.0,10756.0
laendlich_kleinstaedtisch,rent,6000_7000,4.0,10756.0
laendlich_kleinstaedtisch,rent,900_1500,11.0,10756.0
laendlich_kleinstaedtisch,rent,over_7000,2.0,10756.0
laendlich_kleinstaedtisch,rent,under_500,0.0,10756.0
laendlich_mittelstadt,other,1500_2000,9.408805,1113.0
laendlich_mittelstadt,other,2000_3000,33.324349,1113.0
laendlich_mittelstadt,other,3000_4000,18.013477,1113.0
laendlich_mittelstadt,other,4000_5000,10.253369,1113.0
laendlich_mittelstadt,other,5000_6000,7.577718,1113.0
laendlich_mittelstadt,other,500_900,4.422282,1113.0
laendlich_mittelstadt,other,6000_7000,5.662174,1113.0
laendlich_mittelstadt,other,900_1500,7.591195,1113.0
laendlich_mittelstadt,other,over_7000,2.746631,1113.0
