# Source: MiD 2023 person + household microdata (MiD2023_Personen.csv joined to
#   MiD2023_Haushalte.csv on H_ID; national sample, local-only raw -- never committed).
#   Generated by scripts/extract_mid_license_by_sex_cohort.py.
# Construct: share of persons holding a car driving licence (P_FSCHEIN == 1), P_GEW-weighted,
#   per (region, sex, age cohort). Cohorts split at age 65: 18_64 and 65plus.
# Universe: P_GEW > 0, HP_ALTER >= 18, P_FSCHEIN in {1 ja, 2 nein}, HP_SEX in
#   {1, 2}. Excluded: 35.344% of age-eligible persons for a missing
#   P_FSCHEIN, 0.171% for a non-binary HP_SEX.
# Region coverage: 0.023% of universe rows carry an H_ID absent from the
#   household file; they are counted in the 'national' rows (which need no region key)
#   and excluded from every regional row.
# Region column: 'national' = whole MiD sample; 'bland_3' = Niedersachsen;
#   'rs7_<code>' = one RegioStaR7 class. The microdata carries NO Kreis/AGS key, so a
#   ZGB cross is impossible from MiD and these are regional PROXIES, not ZGB values --
#   see the module docstring and ADR-0093 before using any of them as a target.
# Purpose: like-for-like structure reference for issue #322. NOT a control target: the
#   65+ female cell disagrees with the regional SrV survey by ~8pp (SrV 89.7% vs MiD
#   81.8% in Niedersachsen), which is the ADR-0079 identification problem localised to
#   one cell.
# n_unweighted: raw respondents per (region, sex, cohort) cell.
region,sex,cohort,cohort_lo,cohort_hi,n_unweighted,n_weighted,share_with_license
national,male,18_64,18,64,91784,98502.36,0.9099
national,male,65plus,65,999,29724,19934.82,0.9614
national,female,18_64,18,64,90798,89723.62,0.8938
national,female,65plus,65,999,25573,21627.82,0.8296
bland_3,male,18_64,18,64,7241,9238.66,0.9221
bland_3,male,65plus,65,999,2636,1866.58,0.9619
bland_3,female,18_64,18,64,7153,8337.48,0.9007
bland_3,female,65plus,65,999,2276,2024.18,0.8184
rs7_71,male,18_64,18,64,16919,18809.59,0.8611
rs7_71,male,65plus,65,999,4257,2966.3,0.9274
rs7_71,female,18_64,18,64,16755,17455.54,0.8438
rs7_71,female,65plus,65,999,3793,3348.15,0.8068
rs7_72,male,18_64,18,64,19106,14659.19,0.8692
rs7_72,male,65plus,65,999,5555,2617.9,0.9432
rs7_72,female,18_64,18,64,18739,13591.15,0.848
rs7_72,female,65plus,65,999,4858,2826.2,0.8139
rs7_73,male,18_64,18,64,28195,24995.86,0.9219
rs7_73,male,65plus,65,999,9960,5251.63,0.973
rs7_73,female,18_64,18,64,28045,23466.2,0.9117
rs7_73,female,65plus,65,999,8411,5741.98,0.8416
rs7_74,male,18_64,18,64,4751,5707.55,0.9499
rs7_74,male,65plus,65,999,1773,1256.13,0.9844
rs7_74,female,18_64,18,64,4740,5168.93,0.9423
rs7_74,female,65plus,65,999,1488,1366.24,0.8946
rs7_75,male,18_64,18,64,5510,6043.82,0.9136
rs7_75,male,65plus,65,999,1831,1286.13,0.9483
rs7_75,female,18_64,18,64,5446,5198.62,0.8732
rs7_75,female,65plus,65,999,1582,1318.97,0.8234
rs7_76,male,18_64,18,64,10095,13588.92,0.9359
rs7_76,male,65plus,65,999,3701,3071.03,0.9747
rs7_76,female,18_64,18,64,9903,11969.46,0.9144
rs7_76,female,65plus,65,999,3119,3249.88,0.8336
rs7_77,male,18_64,18,64,7195,14680.8,0.9518
rs7_77,male,65plus,65,999,2640,3476.95,0.9716
rs7_77,female,18_64,18,64,7153,12859.91,0.947
rs7_77,female,65plus,65,999,2305,3765.23,0.8194
