# MiD 2023 oekonomischer Status x Haushaltstyp x Region.
# Generated by scripts/extract_mid_status_by_hhtype.py from
# mid2023_status_by_hhtype_bundesland.xlsx (sheet 'MiD Tabellen').
# share_pct = P(hhtype | status, region) in percent; base_weighted =
# weighted base (persons) of the (status, region) cell.
region,hhtype,status,share_pct,base_weighted
schleswig_holstein,single_18_29,very_low,7.0,1067.0
hamburg,single_18_29,very_low,11.0,755.0
niedersachsen,single_18_29,very_low,7.0,3254.0
bremen,single_18_29,very_low,19.0,415.0
nordrhein_westfalen,single_18_29,very_low,7.0,8237.0
hessen,single_18_29,very_low,8.0,2337.0
rheinland_pfalz,single_18_29,very_low,5.0,1730.0
baden_wuerttemberg,single_18_29,very_low,8.0,3824.0
bayern,single_18_29,very_low,8.0,4281.0
saarland,single_18_29,very_low,5.0,558.0
berlin,single_18_29,very_low,15.0,1672.0
brandenburg,single_18_29,very_low,4.0,1158.0
mecklenburg_vorpommern,single_18_29,very_low,10.0,885.0
sachsen,single_18_29,very_low,9.0,2236.0
sachsen_anhalt,single_18_29,very_low,5.0,1206.0
thueringen,single_18_29,very_low,7.0,1220.0
schleswig_holstein,single_30_59,very_low,14.0,1067.0
hamburg,single_30_59,very_low,19.0,755.0
niedersachsen,single_30_59,very_low,13.0,3254.0
bremen,single_30_59,very_low,12.0,415.0
nordrhein_westfalen,single_30_59,very_low,15.0,8237.0
hessen,single_30_59,very_low,13.0,2337.0
rheinland_pfalz,single_30_59,very_low,13.0,1730.0
baden_wuerttemberg,single_30_59,very_low,14.0,3824.0
bayern,single_30_59,very_low,11.0,4281.0
saarland,single_30_59,very_low,10.0,558.0
berlin,single_30_59,very_low,21.0,1672.0
brandenburg,single_30_59,very_low,20.0,1158.0
mecklenburg_vorpommern,single_30_59,very_low,14.0,885.0
sachsen,single_30_59,very_low,17.0,2236.0
sachsen_anhalt,single_30_59,very_low,18.0,1206.0
thueringen,single_30_59,very_low,14.0,1220.0
schleswig_holstein,single_60_plus,very_low,40.0,1067.0
hamburg,single_60_plus,very_low,32.0,755.0
niedersachsen,single_60_plus,very_low,29.0,3254.0
bremen,single_60_plus,very_low,25.0,415.0
nordrhein_westfalen,single_60_plus,very_low,24.0,8237.0
hessen,single_60_plus,very_low,28.0,2337.0
rheinland_pfalz,single_60_plus,very_low,29.0,1730.0
baden_wuerttemberg,single_60_plus,very_low,27.0,3824.0
bayern,single_60_plus,very_low,31.0,4281.0
saarland,single_60_plus,very_low,24.0,558.0
berlin,single_60_plus,very_low,39.0,1672.0
brandenburg,single_60_plus,very_low,36.0,1158.0
mecklenburg_vorpommern,single_60_plus,very_low,38.0,885.0
sachsen,single_60_plus,very_low,30.0,2236.0
