# MiD 2023 oekonomischer Status x Haushaltstyp x Region.
# Generated by scripts/extract_mid_status_by_hhtype.py from
# mid2023_status_by_hhtype_raumtyp.xlsx (sheet 'MiD Tabellen').
# share_pct = P(hhtype | status, region) in percent; base_weighted =
# weighted base (persons) of the (status, region) cell.
region,hhtype,status,share_pct,base_weighted
stadtregion_metropole,single_18_29,very_low,13.0,5633.0
stadtregion_regiopole_grossstadt,single_18_29,very_low,13.0,6011.0
stadtregion_mittelstadt,single_18_29,very_low,5.0,7486.0
stadtregion_kleinstaedtisch,single_18_29,very_low,6.0,1759.0
laendlich_zentrale_stadt,single_18_29,very_low,7.0,3035.0
laendlich_mittelstadt,single_18_29,very_low,5.0,5424.0
laendlich_kleinstaedtisch,single_18_29,very_low,5.0,5485.0
stadtregion_metropole,single_30_59,very_low,19.0,5633.0
stadtregion_regiopole_grossstadt,single_30_59,very_low,16.0,6011.0
stadtregion_mittelstadt,single_30_59,very_low,14.0,7486.0
stadtregion_kleinstaedtisch,single_30_59,very_low,14.0,1759.0
laendlich_zentrale_stadt,single_30_59,very_low,16.0,3035.0
laendlich_mittelstadt,single_30_59,very_low,13.0,5424.0
laendlich_kleinstaedtisch,single_30_59,very_low,11.0,5485.0
stadtregion_metropole,single_60_plus,very_low,31.0,5633.0
stadtregion_regiopole_grossstadt,single_60_plus,very_low,24.0,6011.0
stadtregion_mittelstadt,single_60_plus,very_low,27.0,7486.0
stadtregion_kleinstaedtisch,single_60_plus,very_low,34.0,1759.0
laendlich_zentrale_stadt,single_60_plus,very_low,24.0,3035.0
laendlich_mittelstadt,single_60_plus,very_low,32.0,5424.0
laendlich_kleinstaedtisch,single_60_plus,very_low,34.0,5485.0
stadtregion_metropole,couple_youngest_18_29,very_low,4.0,5633.0
stadtregion_regiopole_grossstadt,couple_youngest_18_29,very_low,5.0,6011.0
stadtregion_mittelstadt,couple_youngest_18_29,very_low,4.0,7486.0
stadtregion_kleinstaedtisch,couple_youngest_18_29,very_low,4.0,1759.0
laendlich_zentrale_stadt,couple_youngest_18_29,very_low,4.0,3035.0
laendlich_mittelstadt,couple_youngest_18_29,very_low,4.0,5424.0
laendlich_kleinstaedtisch,couple_youngest_18_29,very_low,1.0,5485.0
stadtregion_metropole,couple_youngest_30_59,very_low,4.0,5633.0
stadtregion_regiopole_grossstadt,couple_youngest_30_59,very_low,4.0,6011.0
stadtregion_mittelstadt,couple_youngest_30_59,very_low,4.0,7486.0
stadtregion_kleinstaedtisch,couple_youngest_30_59,very_low,3.0,1759.0
laendlich_zentrale_stadt,couple_youngest_30_59,very_low,4.0,3035.0
laendlich_mittelstadt,couple_youngest_30_59,very_low,2.0,5424.0
laendlich_kleinstaedtisch,couple_youngest_30_59,very_low,6.0,5485.0
stadtregion_metropole,couple_youngest_60_plus,very_low,6.0,5633.0
stadtregion_regiopole_grossstadt,couple_youngest_60_plus,very_low,7.0,6011.0
stadtregion_mittelstadt,couple_youngest_60_plus,very_low,10.0,7486.0
stadtregion_kleinstaedtisch,couple_youngest_60_plus,very_low,16.0,1759.0
laendlich_zentrale_stadt,couple_youngest_60_plus,very_low,9.0,3035.0
laendlich_mittelstadt,couple_youngest_60_plus,very_low,14.0,5424.0
laendlich_kleinstaedtisch,couple_youngest_60_plus,very_low,18.0,5485.0
stadtregion_metropole,three_plus_adults,very_low,2.0,5633.0
stadtregion_regiopole_grossstadt,three_plus_adults,very_low,4.0,6011.0
stadtregion_mittelstadt,three_plus_adults,very_low,3.0,7486.0
stadtregion_kleinstaedtisch,three_plus_adults,very_low,6.0,1759.0
laendlich_zentrale_stadt,three_plus_adults,very_low,4.0,3035.0
laendlich_mittelstadt,three_plus_adults,very_low,5.0,5424.0
laendlich_kleinstaedtisch,three_plus_adults,very_low,7.0,5485.0
stadtregion_metropole,child_under_6,very_low,7.0,5633.0
stadtregion_regiopole_grossstadt,child_under_6,very_low,12.0,6011.0
stadtregion_mittelstadt,child_under_6,very_low,13.0,7486.0
stadtregion_kleinstaedtisch,child_under_6,very_low,8.0,1759.0
laendlich_zentrale_stadt,child_under_6,very_low,6.0,3035.0
laendlich_mittelstadt,child_under_6,very_low,8.0,5424.0
laendlich_kleinstaedtisch,child_under_6,very_low,3.0,5485.0
stadtregion_metropole,child_under_14,very_low,3.0,5633.0
stadtregion_regiopole_grossstadt,child_under_14,very_low,6.0,6011.0
stadtregion_mittelstadt,child_under_14,very_low,9.0,7486.0
stadtregion_kleinstaedtisch,child_under_14,very_low,3.0,1759.0
laendlich_zentrale_stadt,child_under_14,very_low,11.0,3035.0
laendlich_mittelstadt,child_under_14,very_low,7.0,5424.0
laendlich_kleinstaedtisch,child_under_14,very_low,6.0,5485.0
stadtregion_metropole,child_under_18,very_low,0.0,5633.0
stadtregion_regiopole_grossstadt,child_under_18,very_low,2.0,6011.0
stadtregion_mittelstadt,child_under_18,very_low,3.0,7486.0
stadtregion_kleinstaedtisch,child_under_18,very_low,1.0,1759.0
laendlich_zentrale_stadt,child_under_18,very_low,4.0,3035.0
laendlich_mittelstadt,child_under_18,very_low,3.0,5424.0
laendlich_kleinstaedtisch,child_under_18,very_low,1.0,5485.0
stadtregion_metropole,single_parent,very_low,5.0,5633.0
stadtregion_regiopole_grossstadt,single_parent,very_low,4.0,6011.0
stadtregion_mittelstadt,single_parent,very_low,5.0,7486.0
stadtregion_kleinstaedtisch,single_parent,very_low,2.0,1759.0
laendlich_zentrale_stadt,single_parent,very_low,6.0,3035.0
laendlich_mittelstadt,single_parent,very_low,5.0,5424.0
laendlich_kleinstaedtisch,single_parent,very_low,3.0,5485.0
stadtregion_metropole,not_classifiable,very_low,4.0,5633.0
stadtregion_regiopole_grossstadt,not_classifiable,very_low,5.0,6011.0
