# Source: MiD 2023 Wege (local raw MiD2023_Wege.csv), W_GEW-weighted row shares of
# W_ZWECK (Wegezweck) x hwzweck1 (MiD's own main-purpose derivation).
# Filter: kernwo in (1, 2, 3) (weekday legs), W_RBW != 1 (route-break summary legs excluded).
# Weight: W_GEW (MiD trip expansion weight).
# Generated: 2026-09-09
# Source commit: ada06b61
# EVIDENCE TABLE for ADR-0111 (issue #373); not a control target.
# Generated by scripts/extract_mid_w_zweck_hwzweck1.py; regenerate there, never edit.
w_zweck,hwzweck1,n_unweighted,share_weighted
1,1,75085,1.0
2,2,17531,1.0
3,3,11379,1.0
4,4,76952,1.0
5,5,66755,1.0
6,7,35288,1.0
7,6,102558,1.0
8,1,53675,0.2147
8,2,6707,0.0264
8,3,21761,0.1108
8,4,50005,0.1758
8,5,35735,0.1236
8,6,74436,0.2626
8,7,19950,0.0817
8,99,1120,0.0044
9,1,2402,0.1691
9,2,1346,0.0911
9,3,523,0.0493
9,4,3535,0.2041
9,5,2537,0.154
9,6,4503,0.2617
9,7,983,0.0674
9,99,48,0.0034
10,6,39429,1.0
11,3,10626,1.0
12,3,6243,1.0
13,7,6781,1.0
14,6,3115,1.0
15,6,2479,1.0
16,6,788,1.0
99,99,4271,1.0
