# MiD 2023 'Mobilitaet in Tabellen', rbW row, Hauptverkehrsmittel x wegkm_imp groups. Generated by scripts/extract_mit_commute_mode_by_distance.py
distance_band,mode,probability
<0.5,walk,0.7524752475247525
<0.5,bicycle,0.06930693069306931
<0.5,car,0.1485148514851485
<0.5,pt,0.0297029702970297
0.5-1,walk,0.27
0.5-1,bicycle,0.06
0.5-1,car,0.53
0.5-1,pt,0.14
1-2,walk,0.1717171717171717
1-2,bicycle,0.06060606060606061
1-2,car,0.6262626262626263
1-2,pt,0.1414141414141414
2-5,walk,0.07920792079207921
2-5,bicycle,0.06930693069306931
2-5,car,0.7524752475247525
2-5,pt,0.09900990099009901
5-10,walk,0.04
5-10,bicycle,0.04
5-10,car,0.74
5-10,pt,0.18
10-20,walk,0.02
10-20,bicycle,0.02
10-20,car,0.84
10-20,pt,0.12
20-50,walk,0.01
20-50,bicycle,0.0
20-50,car,0.86
20-50,pt,0.13
50-100,walk,0.01
50-100,bicycle,0.0
50-100,car,0.83
50-100,pt,0.16
>=100,bicycle,0.0
>=100,car,0.82
>=100,pt,0.18
