# Source: GENESIS table 12251-0106, Mikrozensus 2024, Erwerbstaetige aus Hauptwohnsitzhaushalten; Geschlecht=Insgesamt, Stellung im Beruf=Insgesamt; generated by scripts/extract_mikrozensus_bundesland_margins.py
bundesland,coarse_band,share
Baden-Württemberg,<5,0.2869386994596609
Baden-Württemberg,5-10,0.21445872927147383
Baden-Württemberg,10-25,0.32010434134525806
Baden-Württemberg,25-50,0.13266256754238867
Baden-Württemberg,50+,0.045835662381218556
Bayern,<5,0.30216629499840714
Bayern,5-10,0.21264733991717108
Bayern,10-25,0.28830837846447915
Bayern,25-50,0.13937559732398852
Bayern,50+,0.05750238929595412
Berlin,<5,0.24382314694408322
Berlin,5-10,0.3563068920676203
Berlin,10-25,0.3081924577373212
Berlin,25-50,0.06957087126137841
Berlin,50+,0.022106631989596878
Brandenburg,<5,0.26666666666666666
Brandenburg,5-10,0.17777777777777778
Brandenburg,10-25,0.2675925925925926
Brandenburg,25-50,0.21944444444444444
Brandenburg,50+,0.06851851851851852
Bremen,<5,0.3023255813953488
Bremen,5-10,0.33222591362126247
Bremen,10-25,0.23255813953488372
Bremen,25-50,0.09302325581395349
Bremen,50+,0.03986710963455149
Hamburg,<5,0.2413793103448276
Hamburg,5-10,0.38525564803804996
Hamburg,10-25,0.3151010701545779
Hamburg,25-50,0.05826397146254459
Hamburg,50+,0.0
Hessen,<5,0.26420454545454547
Hessen,5-10,0.20170454545454544
Hessen,10-25,0.3093039772727273
Hessen,25-50,0.16938920454545456
Hessen,50+,0.05539772727272727
Mecklenburg-Vorpommern,<5,0.3333333333333333
Mecklenburg-Vorpommern,5-10,0.1872146118721461
Mecklenburg-Vorpommern,10-25,0.2572298325722983
Mecklenburg-Vorpommern,25-50,0.1461187214611872
Mecklenburg-Vorpommern,50+,0.076103500761035
Niedersachsen,<5,0.2980902297259895
Niedersachsen,5-10,0.2026017160254636
Niedersachsen,10-25,0.2828674231940216
Niedersachsen,25-50,0.16136174923885968
Niedersachsen,50+,0.05507888181566565
Nordrhein-Westfalen,<5,0.26988528929786965
Nordrhein-Westfalen,5-10,0.24517836883902686
Nordrhein-Westfalen,10-25,0.286776755325854
Nordrhein-Westfalen,25-50,0.14622463128702887
Nordrhein-Westfalen,50+,0.0519349552502206
Rheinland-Pfalz,<5,0.25610417797069995
Rheinland-Pfalz,5-10,0.18990775908844276
Rheinland-Pfalz,10-25,0.29896907216494845
Rheinland-Pfalz,25-50,0.17905588714053175
Rheinland-Pfalz,50+,0.0759631036353771
Saarland,<5,0.24475524475524477
Saarland,5-10,0.20279720279720279
Saarland,10-25,0.34032634032634035
Saarland,25-50,0.1561771561771562
Saarland,50+,0.055944055944055944
Sachsen,<5,0.32412204951065055
Sachsen,5-10,0.24640184225676454
Sachsen,10-25,0.2849740932642487
Sachsen,25-50,0.1070811744386874
Sachsen,50+,0.03742084052964882
Sachsen-Anhalt,<5,0.2798216276477146
Sachsen-Anhalt,5-10,0.2318840579710145
Sachsen-Anhalt,10-25,0.27201783723522854
Sachsen-Anhalt,25-50,0.1505016722408027
Sachsen-Anhalt,50+,0.06577480490523968
Schleswig-Holstein,<5,0.297628156082632
Schleswig-Holstein,5-10,0.19969395562356543
Schleswig-Holstein,10-25,0.26778882938026016
Schleswig-Holstein,25-50,0.16143840856924255
Schleswig-Holstein,50+,0.07345065034429993
Thüringen,<5,0.32004429678848284
Thüringen,5-10,0.18383167220376523
Thüringen,10-25,0.2812846068660022
Thüringen,25-50,0.14728682170542637
Thüringen,50+,0.06755260243632337
