# Source: GENESIS table 12251-0105, Mikrozensus 2024, Erwerbstaetige aus Hauptwohnsitzhaushalten; Geschlecht=Insgesamt, Stellung im Beruf=Insgesamt; generated by scripts/extract_mikrozensus_bundesland_margins.py
bundesland,mode,share
Baden-Württemberg,pt,0.1404303510758777
Baden-Württemberg,car,0.6747829369573424
Baden-Württemberg,bicycle,0.09211023027557569
Baden-Württemberg,walk,0.09267648169120422
Bayern,pt,0.14596322941646683
Bayern,car,0.6701838529176659
Bayern,bicycle,0.10231814548361311
Bayern,walk,0.0815347721822542
Berlin,pt,0.5025873221216042
Berlin,car,0.29172056921086675
Berlin,bicycle,0.14553686934023286
Berlin,walk,0.06015523932729625
Brandenburg,pt,0.12155745489078823
Brandenburg,car,0.6923076923076923
Brandenburg,bicycle,0.11870845204178537
Brandenburg,walk,0.06742640075973409
Bremen,pt,0.2676056338028169
Bremen,car,0.45774647887323944
Bremen,bicycle,0.2112676056338028
Bremen,walk,0.06338028169014084
Hamburg,pt,0.46856465005931197
Hamburg,car,0.3499406880189798
Hamburg,bicycle,0.12099644128113879
Hamburg,walk,0.060498220640569395
Hessen,pt,0.17267483777937995
Hessen,car,0.670872386445566
Hessen,bicycle,0.06200432588320115
Hessen,walk,0.09444844989185291
Mecklenburg-Vorpommern,pt,0.031746031746031744
Mecklenburg-Vorpommern,car,0.719047619047619
Mecklenburg-Vorpommern,bicycle,0.13333333333333333
Mecklenburg-Vorpommern,walk,0.11587301587301588
Niedersachsen,pt,0.1012979683972912
Niedersachsen,car,0.6873589164785553
Niedersachsen,bicycle,0.14362302483069977
Niedersachsen,walk,0.06772009029345373
Nordrhein-Westfalen,pt,0.1413858868404323
Nordrhein-Westfalen,car,0.691544818817546
Nordrhein-Westfalen,bicycle,0.09663064208518754
Nordrhein-Westfalen,walk,0.07043865225683407
Rheinland-Pfalz,pt,0.09065782200110559
Rheinland-Pfalz,car,0.7761194029850746
Rheinland-Pfalz,bicycle,0.04975124378109453
Rheinland-Pfalz,walk,0.08347153123272526
Saarland,pt,0.0575
Saarland,car,0.8675
Saarland,bicycle,0.0
Saarland,walk,0.075
Sachsen,pt,0.14645308924485126
Sachsen,car,0.665903890160183
Sachsen,bicycle,0.10240274599542334
Sachsen,walk,0.08524027459954234
Sachsen-Anhalt,pt,0.09966777408637874
Sachsen-Anhalt,car,0.7264673311184939
Sachsen-Anhalt,bicycle,0.09966777408637874
Sachsen-Anhalt,walk,0.07419712070874862
Schleswig-Holstein,pt,0.11363636363636363
Schleswig-Holstein,car,0.6653605015673981
Schleswig-Holstein,bicycle,0.13166144200626959
Schleswig-Holstein,walk,0.08934169278996865
Thüringen,pt,0.08980044345898004
Thüringen,car,0.738359201773836
Thüringen,bicycle,0.06097560975609756
Thüringen,walk,0.11086474501108648
