Tabelle: 12251-0004
Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland, Jahre, Geschlecht, Stellung im Beruf, Zeitaufwand für den Hinweg zur Arbeitsstätte;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;
;;;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte
;;;Unter 10 Minuten;Unter 10 Minuten;10 bis unter 30 Minuten;10 bis unter 30 Minuten;30 bis unter 60 Minuten;30 bis unter 60 Minuten;60 Minuten und mehr;60 Minuten und mehr;Ständig wechselnde Arbeitsstätte;Ständig wechselnde Arbeitsstätte;Insgesamt;Insgesamt
2024;männlich;Selbstständige ohne Beschäftigte;202;e;153;e;80;e;25;();124;e;1061;e
2024;männlich;Selbstständige mit Beschäftigten;421;e;377;e;124;e;27;();52;e;1319;e
2024;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;48;e
2024;männlich;Beamte;99;e;417;e;298;e;132;e;/;;1011;e
2024;männlich;Arbeiter und Angestellte;2894;e;8088;e;4158;e;1106;e;352;e;18316;e
2024;männlich;Auszubildende;141;e;394;e;205;e;51;e;/;;858;e
2024;männlich;Insgesamt;3770;e;9434;e;4865;e;1341;e;543;e;22613;e
2024;weiblich;Selbstständige ohne Beschäftigte;136;e;144;e;53;e;/;;50;e;737;e
2024;weiblich;Selbstständige mit Beschäftigten;139;e;144;e;41;e;/;;/;;435;e
2024;weiblich;Mithelfende Familienangehörige;20;();/;;/;;/;;/;;72;e
2024;weiblich;Beamte;142;e;538;e;270;e;63;e;/;;1061;e
2024;weiblich;Arbeiter und Angestellte;3503;e;8124;e;3178;e;679;e;84;e;16962;e
2024;weiblich;Auszubildende;110;e;327;e;169;e;47;e;/;;711;e
2024;weiblich;Insgesamt;4050;e;9286;e;3714;e;809;e;145;e;19977;e
2024;Insgesamt;Selbstständige ohne Beschäftigte;337;e;296;e;133;e;36;e;174;e;1798;e
2024;Insgesamt;Selbstständige mit Beschäftigten;560;e;521;e;165;e;34;e;58;e;1754;e
2024;Insgesamt;Mithelfende Familienangehörige;33;();/;;/;;/;;/;;119;e
2024;Insgesamt;Beamte;241;e;955;e;568;e;194;e;/;;2072;e
2024;Insgesamt;Arbeiter und Angestellte;6398;e;16212;e;7336;e;1785;e;436;e;35278;e
2024;Insgesamt;Auszubildende;251;e;721;e;374;e;98;e;/;;1569;e
2024;Insgesamt;Insgesamt;7820;e;18719;e;8579;e;2149;e;687;e;42590;e
__________
© Statistisches Bundesamt (Destatis), 2026
Stand: 03.06.2026 / 08:51:28
