Tabelle: 12251-0005
Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland, Jahre, Geschlecht, Stellung im Beruf, Benutztes Verkehrsmittel für den Hinweg zur Arbeitsstätte;;;;;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;;;;;;;;;;
;;;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.
;;;Bus;Bus;U-Bahn, Straßenbahn;U-Bahn, Straßenbahn;Eisenbahn, S-Bahn;Eisenbahn, S-Bahn;Pkw (Selbstfahrer);Pkw (Selbstfahrer);Pkw (Mitfahrer);Pkw (Mitfahrer);Motorrad, Motorroller, Moped, Mofa;Motorrad, Motorroller, Moped, Mofa;Fahrrad;Fahrrad;Elektrofahrrad / Pedelec;Elektrofahrrad / Pedelec;Sonstige Verkehrsmittel;Sonstige Verkehrsmittel;Kein Verkehrsmittel (zu Fuß);Kein Verkehrsmittel (zu Fuß);Insgesamt;Insgesamt
2024;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;350;e;/;;/;;45;e;/;;/;;104;e;1061;e
2024;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;688;e;/;;/;;66;e;/;;/;;158;e;1319;e
2024;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;48;e
2024;männlich;Beamte;/;;33;();78;e;645;e;/;;/;;109;e;/;;/;;31;();1011;e
2024;männlich;Arbeiter und Angestellte;736;e;788;e;778;e;10877;e;487;e;138;e;1502;e;182;e;171;e;926;e;18316;e
2024;männlich;Auszubildende;116;e;60;e;70;e;326;e;58;e;24;();67;e;/;;/;;56;e;858;e
2024;männlich;Insgesamt;891;e;919;e;952;e;12896;e;590;e;174;e;1792;e;216;e;213;e;1282;e;22613;e
2024;weiblich;Selbstständige ohne Beschäftigte;/;;22;();/;;195;e;/;;/;;43;e;/;;/;;89;e;737;e
2024;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;226;e;/;;/;;24;();/;;/;;55;e;435;e
2024;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;72;e
2024;weiblich;Beamte;20;();42;e;53;e;722;e;/;;/;;108;e;/;;/;;34;e;1061;e
2024;weiblich;Arbeiter und Angestellte;1000;e;972;e;669;e;9322;e;396;e;31;();1425;e;164;e;85;e;1440;e;16962;e
2024;weiblich;Auszubildende;132;e;68;e;57;e;254;e;26;();/;;39;e;/;;/;;63;e;711;e
2024;weiblich;Insgesamt;1172;e;1110;e;798;e;10731;e;455;e;38;e;1641;e;186;e;104;e;1693;e;19977;e
2024;Insgesamt;Selbstständige ohne Beschäftigte;26;();44;e;28;();546;e;21;();/;;88;e;/;;22;();193;e;1798;e
2024;Insgesamt;Selbstständige mit Beschäftigten;/;;22;();/;;914;e;27;();/;;91;e;/;;/;;213;e;1754;e
2024;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;20;();/;;/;;/;;/;;/;;19;();119;e
2024;Insgesamt;Beamte;39;e;74;e;131;e;1367;e;24;();/;;217;e;26;();/;;65;e;2072;e
2024;Insgesamt;Arbeiter und Angestellte;1736;e;1761;e;1447;e;20200;e;883;e;169;e;2927;e;345;e;256;e;2366;e;35278;e
2024;Insgesamt;Auszubildende;248;e;128;e;127;e;581;e;84;e;29;();106;e;/;;/;;119;e;1569;e
2024;Insgesamt;Insgesamt;2063;e;2029;e;1750;e;23627;e;1044;e;212;e;3433;e;403;e;317;e;2974;e;42590;e
__________
© Statistisches Bundesamt (Destatis), 2026
Stand: 03.06.2026 / 08:51:16
