Tabelle: 12251-0006
Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland,;;;;;;;;;;
Jahre, Geschlecht, Stellung im Beruf, Entfernung zur;;;;;;;;;;
Arbeitsstätte;;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;;;;
;;;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte
;;;Unter 5 km;Unter 5 km;5 bis unter 10 km;5 bis unter 10 km;10 bis unter 25 km;10 bis unter 25 km;25 bis unter 50 km;25 bis unter 50 km;50 km und mehr;50 km und mehr;Gleiches Grundstück;Gleiches Grundstück;Ständig wechselnde Arbeitsstätte;Ständig wechselnde Arbeitsstätte;Insgesamt;Insgesamt
2024;männlich;Selbstständige ohne Beschäftigte;226;e;81;e;72;e;44;e;26;();102;e;124;e;1061;e
2024;männlich;Selbstständige mit Beschäftigten;463;e;193;e;189;e;70;e;36;e;88;e;52;e;1319;e
2024;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;48;e
2024;männlich;Beamte;158;e;158;e;277;e;210;e;150;e;/;;/;;1011;e
2024;männlich;Arbeiter und Angestellte;3861;e;3518;e;5069;e;2787;e;1126;e;91;e;352;e;18316;e
2024;männlich;Auszubildende;204;e;192;e;260;e;113;e;29;();/;;/;;858;e
2024;männlich;Insgesamt;4926;e;4146;e;5868;e;3224;e;1367;e;295;e;543;e;22613;e
2024;weiblich;Selbstständige ohne Beschäftigte;176;e;72;e;55;e;25;();/;;79;e;50;e;737;e
2024;weiblich;Selbstständige mit Beschäftigten;156;e;76;e;69;e;23;();/;;26;();/;;435;e
2024;weiblich;Mithelfende Familienangehörige;21;();/;;/;;/;;/;;/;;/;;72;e
2024;weiblich;Beamte;219;e;222;e;334;e;185;e;65;e;/;;/;;1061;e
2024;weiblich;Arbeiter und Angestellte;4961;e;3842;e;4480;e;1832;e;530;e;96;e;84;e;16962;e
2024;weiblich;Auszubildende;185;e;158;e;195;e;94;e;28;();/;;/;;711;e
2024;weiblich;Insgesamt;5718;e;4374;e;5136;e;2161;e;641;e;218;e;145;e;19977;e
2024;Insgesamt;Selbstständige ohne Beschäftigte;402;e;153;e;126;e;69;e;35;e;181;e;174;e;1798;e
2024;Insgesamt;Selbstständige mit Beschäftigten;619;e;270;e;258;e;92;e;44;e;114;e;58;e;1754;e
2024;Insgesamt;Mithelfende Familienangehörige;35;e;/;;/;;/;;/;;23;();/;;119;e
2024;Insgesamt;Beamte;376;e;381;e;611;e;395;e;215;e;/;;/;;2072;e
2024;Insgesamt;Arbeiter und Angestellte;8823;e;7359;e;9550;e;4619;e;1656;e;186;e;436;e;35278;e
2024;Insgesamt;Auszubildende;389;e;349;e;455;e;207;e;57;e;/;;/;;1569;e
2024;Insgesamt;Insgesamt;10643;e;8520;e;11004;e;5385;e;2008;e;513;e;687;e;42590;e
__________
© Statistisches Bundesamt (Destatis), 2026
Stand: 03.06.2026 / 08:51:49
