Tabelle: 12251-0104
Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer, Jahre, Geschlecht, Stellung im Beruf, Zeitaufwand für den Hinweg zur Arbeitsstätte;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;
;;;;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte
;;;;Unter 10 Minuten;Unter 10 Minuten;10 bis unter 30 Minuten;10 bis unter 30 Minuten;30 bis unter 60 Minuten;30 bis unter 60 Minuten;60 Minuten und mehr;60 Minuten und mehr;Ständig wechselnde Arbeitsstätte;Ständig wechselnde Arbeitsstätte;Insgesamt;Insgesamt
2024;Baden-Württemberg;männlich;Selbstständige ohne Beschäftigte;24;();/;;/;;/;;/;;133;e
2024;Baden-Württemberg;männlich;Selbstständige mit Beschäftigten;59;e;48;e;/;;/;;/;;172;e
2024;Baden-Württemberg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Baden-Württemberg;männlich;Beamte;/;;53;e;34;e;/;;/;;125;e
2024;Baden-Württemberg;männlich;Arbeiter und Angestellte;464;e;1230;e;550;e;142;e;46;e;2649;e
2024;Baden-Württemberg;männlich;Auszubildende;/;;57;e;29;();/;;/;;122;e
2024;Baden-Württemberg;männlich;Insgesamt;582;e;1406;e;636;e;173;e;68;e;3209;e
2024;Baden-Württemberg;weiblich;Selbstständige ohne Beschäftigte;/;;20;();/;;/;;/;;100;e
2024;Baden-Württemberg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;54;e
2024;Baden-Württemberg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Baden-Württemberg;weiblich;Beamte;22;();85;e;39;e;/;;/;;165;e
2024;Baden-Württemberg;weiblich;Arbeiter und Angestellte;544;e;1146;e;386;e;90;e;/;;2375;e
2024;Baden-Württemberg;weiblich;Auszubildende;22;();49;e;30;();/;;/;;118;e
2024;Baden-Württemberg;weiblich;Insgesamt;623;e;1316;e;465;e;110;e;/;;2822;e
2024;Baden-Württemberg;Insgesamt;Selbstständige ohne Beschäftigte;39;e;38;e;/;;/;;22;();232;e
2024;Baden-Württemberg;Insgesamt;Selbstständige mit Beschäftigten;76;e;63;e;/;;/;;/;;227;e
2024;Baden-Württemberg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Baden-Württemberg;Insgesamt;Beamte;37;e;138;e;72;e;27;();/;;290;e
2024;Baden-Württemberg;Insgesamt;Arbeiter und Angestellte;1008;e;2377;e;936;e;231;e;57;e;5025;e
2024;Baden-Württemberg;Insgesamt;Auszubildende;42;e;105;e;59;e;/;;/;;241;e
2024;Baden-Württemberg;Insgesamt;Insgesamt;1206;e;2722;e;1101;e;284;e;87;e;6032;e
2024;Bayern;männlich;Selbstständige ohne Beschäftigte;32;();24;();/;;/;;22;();194;e
2024;Bayern;männlich;Selbstständige mit Beschäftigten;75;e;57;e;/;;/;;/;;232;e
2024;Bayern;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Bayern;männlich;Beamte;/;;76;e;43;e;19;();/;;166;e
2024;Bayern;männlich;Arbeiter und Angestellte;540;e;1386;e;633;e;166;e;57;e;3053;e
2024;Bayern;männlich;Auszubildende;28;();68;e;31;();/;;/;;143;e
2024;Bayern;männlich;Insgesamt;695;e;1613;e;735;e;198;e;92;e;3798;e
2024;Bayern;weiblich;Selbstständige ohne Beschäftigte;24;();21;();/;;/;;/;;129;e
2024;Bayern;weiblich;Selbstständige mit Beschäftigten;25;();21;();/;;/;;/;;72;e
2024;Bayern;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Bayern;weiblich;Beamte;29;();81;e;40;e;/;;/;;169;e
2024;Bayern;weiblich;Arbeiter und Angestellte;683;e;1381;e;460;e;99;e;/;;2855;e
2024;Bayern;weiblich;Auszubildende;/;;55;e;/;;/;;/;;107;e
2024;Bayern;weiblich;Insgesamt;785;e;1561;e;533;e;117;e;19;();3349;e
2024;Bayern;Insgesamt;Selbstständige ohne Beschäftigte;56;e;45;e;/;;/;;28;();323;e
2024;Bayern;Insgesamt;Selbstständige mit Beschäftigten;99;e;78;e;25;();/;;/;;304;e
2024;Bayern;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;26;()
2024;Bayern;Insgesamt;Beamte;47;e;157;e;83;e;28;();/;;335;e
2024;Bayern;Insgesamt;Arbeiter und Angestellte;1224;e;2767;e;1093;e;265;e;68;e;5908;e
2024;Bayern;Insgesamt;Auszubildende;47;e;123;e;49;e;/;;/;;250;e
2024;Bayern;Insgesamt;Insgesamt;1481;e;3173;e;1268;e;315;e;110;e;7147;e
2024;Berlin;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;91;e
2024;Berlin;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;56;e
2024;Berlin;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Berlin;männlich;Beamte;/;;/;;/;;/;;/;;38;e
2024;Berlin;männlich;Arbeiter und Angestellte;49;e;241;e;277;e;68;e;23;();771;e
2024;Berlin;männlich;Auszubildende;/;;/;;/;;/;;/;;27;()
2024;Berlin;männlich;Insgesamt;67;e;298;e;329;e;80;e;46;e;983;e
