Tabelle: 12251-0105
Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer, Jahre, Geschlecht, Stellung im Beruf, Benutztes Verkehrsmittel für den Hinweg zur Arbeitsstätte;;;;;;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.
;;;;Bus;Bus;U-Bahn, Straßenbahn;U-Bahn, Straßenbahn;Eisenbahn, S-Bahn;Eisenbahn, S-Bahn;Pkw (Selbstfahrer);Pkw (Selbstfahrer);Pkw (Mitfahrer);Pkw (Mitfahrer);Motorrad, Motorroller, Moped, Mofa;Motorrad, Motorroller, Moped, Mofa;Fahrrad;Fahrrad;Elektrofahrrad / Pedelec;Elektrofahrrad / Pedelec;Sonstige Verkehrsmittel;Sonstige Verkehrsmittel;Kein Verkehrsmittel (zu Fuß);Kein Verkehrsmittel (zu Fuß);Insgesamt;Insgesamt
2024;Baden-Württemberg;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;47;e;/;;/;;/;;/;;/;;/;;133;e
2024;Baden-Württemberg;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;90;e;/;;/;;/;;/;;/;;21;();172;e
2024;Baden-Württemberg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Baden-Württemberg;männlich;Beamte;/;;/;;/;;76;e;/;;/;;/;;/;;/;;/;;125;e
2024;Baden-Württemberg;männlich;Arbeiter und Angestellte;90;e;79;e;114;e;1632;e;73;e;25;();203;e;33;();/;;156;e;2649;e
2024;Baden-Württemberg;männlich;Auszubildende;/;;/;;/;;47;e;/;;/;;/;;/;;/;;/;;122;e
2024;Baden-Württemberg;männlich;Insgesamt;112;e;95;e;143;e;1894;e;84;e;27;();232;e;39;e;27;();203;e;3209;e
2024;Baden-Württemberg;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;30;();/;;/;;/;;/;;/;;/;;100;e
2024;Baden-Württemberg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;26;();/;;/;;/;;/;;/;;/;;54;e
2024;Baden-Württemberg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Baden-Württemberg;weiblich;Beamte;/;;/;;/;;109;e;/;;/;;/;;/;;/;;/;;165;e
2024;Baden-Württemberg;weiblich;Arbeiter und Angestellte;118;e;116;e;98;e;1319;e;55;e;/;;153;e;30;();/;;253;e;2375;e
2024;Baden-Württemberg;weiblich;Auszubildende;/;;/;;/;;50;e;/;;/;;/;;/;;/;;/;;118;e
2024;Baden-Württemberg;weiblich;Insgesamt;141;e;136;e;117;e;1535;e;63;e;/;;179;e;37;e;/;;288;e;2822;e
2024;Baden-Württemberg;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;77;e;/;;/;;/;;/;;/;;20;();232;e
2024;Baden-Württemberg;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;116;e;/;;/;;/;;/;;/;;28;();227;e
2024;Baden-Württemberg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Baden-Württemberg;Insgesamt;Beamte;/;;/;;21;();186;e;/;;/;;29;();/;;/;;/;;290;e
2024;Baden-Württemberg;Insgesamt;Arbeiter und Angestellte;208;e;196;e;212;e;2951;e;128;e;31;();356;e;63;e;37;e;409;e;5025;e
2024;Baden-Württemberg;Insgesamt;Auszubildende;34;();/;;22;();97;e;/;;/;;/;;/;;/;;23;();241;e
2024;Baden-Württemberg;Insgesamt;Insgesamt;253;e;230;e;261;e;3428;e;147;e;35;();411;e;77;e;47;e;491;e;6032;e
2024;Bayern;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;57;e;/;;/;;/;;/;;/;;/;;194;e
2024;Bayern;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;113;e;/;;/;;/;;/;;/;;31;e;232;e
2024;Bayern;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bayern;männlich;Beamte;/;;/;;/;;99;e;/;;/;;/;;/;;/;;/;;166;e
2024;Bayern;männlich;Arbeiter und Angestellte;97;e;146;e;133;e;1852;e;75;e;22;();260;e;22;();26;();147;e;3053;e
2024;Bayern;männlich;Auszubildende;/;;/;;/;;50;e;/;;/;;/;;/;;/;;/;;143;e
2024;Bayern;männlich;Insgesamt;117;e;168;e;161;e;2173;e;96;e;33;();311;e;26;();33;();213;e;3798;e
2024;Bayern;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;31;();/;;/;;/;;/;;/;;/;;129;e
2024;Bayern;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;36;e;/;;/;;/;;/;;/;;/;;72;e
2024;Bayern;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bayern;weiblich;Beamte;/;;/;;/;;112;e;/;;/;;/;;/;;/;;/;;169;e
2024;Bayern;weiblich;Arbeiter und Angestellte;133;e;161;e;107;e;1621;e;74;e;/;;248;e;/;;/;;251;e;2855;e
2024;Bayern;weiblich;Auszubildende;/;;/;;/;;34;e;/;;/;;/;;/;;/;;/;;107;e
2024;Bayern;weiblich;Insgesamt;156;e;181;e;129;e;1836;e;86;e;/;;284;e;/;;/;;297;e;3349;e
2024;Bayern;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;88;e;/;;/;;/;;/;;/;;33;e;323;e
2024;Bayern;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;149;e;/;;/;;/;;/;;/;;41;e;304;e
2024;Bayern;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;26;()
2024;Bayern;Insgesamt;Beamte;/;;/;;24;();212;e;/;;/;;36;e;/;;/;;/;;335;e
2024;Bayern;Insgesamt;Arbeiter und Angestellte;230;e;307;e;239;e;3474;e;149;e;28;();509;e;40;e;38;e;397;e;5908;e
2024;Bayern;Insgesamt;Auszubildende;34;e;/;;22;();84;e;23;();/;;/;;/;;/;;21;();250;e
2024;Bayern;Insgesamt;Insgesamt;273;e;349;e;291;e;4009;e;183;e;41;e;595;e;45;e;47;e;510;e;7147;e
2024;Berlin;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;23;();/;;/;;/;;/;;/;;/;;91;e
2024;Berlin;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;27;();/;;/;;/;;/;;/;;/;;56;e
2024;Berlin;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;38;e
2024;Berlin;männlich;Arbeiter und Angestellte;56;e;151;e;97;e;193;e;/;;/;;96;e;/;;/;;32;();771;e
2024;Berlin;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;27;()
2024;Berlin;männlich;Insgesamt;66;e;184;e;111;e;256;e;/;;/;;118;e;/;;/;;40;e;983;e
2024;Berlin;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;63;e
2024;Berlin;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;weiblich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;33;()
2024;Berlin;weiblich;Arbeiter und Angestellte;88;e;187;e;92;e;141;e;/;;/;;90;e;/;;/;;41;e;750;e
2024;Berlin;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;24;()
2024;Berlin;weiblich;Insgesamt;98;e;214;e;104;e;168;e;/;;/;;107;e;/;;/;;53;e;888;e
2024;Berlin;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;31;();/;;/;;/;;/;;/;;/;;154;e
2024;Berlin;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;34;();/;;/;;/;;/;;/;;/;;73;e
2024;Berlin;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;Insgesamt;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;71;e
2024;Berlin;Insgesamt;Arbeiter und Angestellte;144;e;338;e;189;e;334;e;/;;/;;186;e;/;;/;;73;e;1520;e
2024;Berlin;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;50;e
2024;Berlin;Insgesamt;Insgesamt;164;e;398;e;215;e;424;e;27;();/;;225;e;/;;/;;93;e;1871;e
2024;Brandenburg;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;33;()
2024;Brandenburg;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;42;e
2024;Brandenburg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;36;()
2024;Brandenburg;männlich;Arbeiter und Angestellte;/;;/;;35;();319;e;/;;/;;53;e;/;;/;;/;;525;e
2024;Brandenburg;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;männlich;Insgesamt;/;;/;;45;e;387;e;/;;/;;60;e;/;;/;;30;();660;e
2024;Brandenburg;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;27;()
2024;Brandenburg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Beamte;/;;/;;/;;26;();/;;/;;/;;/;;/;;/;;35;()
2024;Brandenburg;weiblich;Arbeiter und Angestellte;/;;/;;39;();266;e;/;;/;;56;e;/;;/;;33;();490;e
2024;Brandenburg;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Insgesamt;23;();/;;45;e;312;e;/;;/;;65;e;/;;/;;41;e;584;e
2024;Brandenburg;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;23;();/;;/;;/;;/;;/;;/;;60;e
2024;Brandenburg;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;29;();/;;/;;/;;/;;/;;/;;53;e
2024;Brandenburg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
