Tabelle: 12251-0106
Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer,;;;;;;;;;;;
Jahre, Geschlecht, Stellung im Beruf, Entfernung zur;;;;;;;;;;;
Arbeitsstätte;;;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;;;;;
;;;;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte
;;;;Unter 5 km;Unter 5 km;5 bis unter 10 km;5 bis unter 10 km;10 bis unter 25 km;10 bis unter 25 km;25 bis unter 50 km;25 bis unter 50 km;50 km und mehr;50 km und mehr;Gleiches Grundstück;Gleiches Grundstück;Ständig wechselnde Arbeitsstätte;Ständig wechselnde Arbeitsstätte;Insgesamt;Insgesamt
2024;Baden-Württemberg;männlich;Selbstständige ohne Beschäftigte;24;();/;;/;;/;;/;;/;;/;;133;e
2024;Baden-Württemberg;männlich;Selbstständige mit Beschäftigten;64;e;24;();24;();/;;/;;/;;/;;172;e
2024;Baden-Württemberg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Baden-Württemberg;männlich;Beamte;20;();21;();41;e;22;();/;;/;;/;;125;e
2024;Baden-Württemberg;männlich;Arbeiter und Angestellte;567;e;501;e;811;e;390;e;134;e;/;;46;e;2649;e
2024;Baden-Württemberg;männlich;Auszubildende;28;();/;;45;e;/;;/;;/;;/;;122;e
2024;Baden-Württemberg;männlich;Insgesamt;705;e;573;e;933;e;443;e;163;e;52;e;68;e;3209;e
2024;Baden-Württemberg;weiblich;Selbstständige ohne Beschäftigte;20;();/;;/;;/;;/;;/;;/;;100;e
2024;Baden-Württemberg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;54;e
2024;Baden-Württemberg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Baden-Württemberg;weiblich;Beamte;30;();33;();61;e;26;();/;;/;;/;;165;e
2024;Baden-Württemberg;weiblich;Arbeiter und Angestellte;729;e;508;e;673;e;220;e;66;e;/;;/;;2375;e
2024;Baden-Württemberg;weiblich;Auszubildende;35;();21;();32;();/;;/;;/;;/;;118;e
2024;Baden-Württemberg;weiblich;Insgesamt;835;e;579;e;785;e;269;e;83;e;47;e;/;;2822;e
2024;Baden-Württemberg;Insgesamt;Selbstständige ohne Beschäftigte;44;e;/;;21;();/;;/;;30;();22;();232;e
2024;Baden-Württemberg;Insgesamt;Selbstständige mit Beschäftigten;83;e;33;();32;();/;;/;;23;();/;;227;e
2024;Baden-Württemberg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Baden-Württemberg;Insgesamt;Beamte;50;e;54;e;102;e;48;e;25;();/;;/;;290;e
2024;Baden-Württemberg;Insgesamt;Arbeiter und Angestellte;1296;e;1009;e;1485;e;610;e;200;e;36;e;57;e;5025;e
2024;Baden-Württemberg;Insgesamt;Auszubildende;63;e;41;e;77;e;34;();/;;/;;/;;241;e
2024;Baden-Württemberg;Insgesamt;Insgesamt;1540;e;1151;e;1718;e;712;e;246;e;99;e;87;e;6032;e
2024;Bayern;männlich;Selbstständige ohne Beschäftigte;36;e;/;;/;;/;;/;;28;();22;();194;e
2024;Bayern;männlich;Selbstständige mit Beschäftigten;81;e;30;();29;();/;;/;;26;();/;;232;e
2024;Bayern;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bayern;männlich;Beamte;30;();24;();45;e;35;e;22;();/;;/;;166;e
2024;Bayern;männlich;Arbeiter und Angestellte;687;e;557;e;829;e;469;e;198;e;26;();57;e;3053;e
2024;Bayern;männlich;Auszubildende;37;e;35;e;41;e;/;;/;;/;;/;;143;e
2024;Bayern;männlich;Insgesamt;874;e;659;e;953;e;537;e;234;e;82;e;92;e;3798;e
2024;Bayern;weiblich;Selbstständige ohne Beschäftigte;29;();/;;/;;/;;/;;/;;/;;129;e
2024;Bayern;weiblich;Selbstständige mit Beschäftigten;28;();/;;/;;/;;/;;/;;/;;72;e
2024;Bayern;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bayern;weiblich;Beamte;40;e;33;e;49;e;28;();/;;/;;/;;169;e
2024;Bayern;weiblich;Arbeiter und Angestellte;890;e;600;e;763;e;288;e;106;e;25;();/;;2855;e
2024;Bayern;weiblich;Auszubildende;33;();/;;32;e;/;;/;;/;;/;;107;e
2024;Bayern;weiblich;Insgesamt;1023;e;676;e;857;e;338;e;127;e;54;e;19;();3349;e
2024;Bayern;Insgesamt;Selbstständige ohne Beschäftigte;65;e;23;();/;;/;;/;;46;e;28;();323;e
2024;Bayern;Insgesamt;Selbstständige mit Beschäftigten;108;e;42;e;37;e;/;;/;;30;();/;;304;e
2024;Bayern;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;26;()
2024;Bayern;Insgesamt;Beamte;70;e;58;e;94;e;63;e;34;e;/;;/;;335;e
2024;Bayern;Insgesamt;Arbeiter und Angestellte;1577;e;1157;e;1592;e;758;e;304;e;52;e;68;e;5908;e
2024;Bayern;Insgesamt;Auszubildende;70;e;54;e;73;e;28;();/;;/;;/;;250;e
2024;Bayern;Insgesamt;Insgesamt;1897;e;1335;e;1810;e;875;e;361;e;136;e;110;e;7147;e
2024;Berlin;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;91;e
2024;Berlin;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;56;e
2024;Berlin;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;38;e
2024;Berlin;männlich;Arbeiter und Angestellte;132;e;224;e;208;e;55;e;/;;/;;23;();771;e
2024;Berlin;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;27;()
2024;Berlin;männlich;Insgesamt;168;e;273;e;246;e;66;e;21;();/;;46;e;983;e
2024;Berlin;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;63;e
2024;Berlin;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;weiblich;Beamte;/;;/;;/;;/;;/;;/;;/;;33;()
2024;Berlin;weiblich;Arbeiter und Angestellte;174;e;243;e;202;e;36;e;/;;/;;/;;750;e
2024;Berlin;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;24;()
2024;Berlin;weiblich;Insgesamt;207;e;275;e;229;e;41;e;/;;/;;/;;888;e
2024;Berlin;Insgesamt;Selbstständige ohne Beschäftigte;31;();/;;/;;/;;/;;/;;27;();154;e
2024;Berlin;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;73;e
2024;Berlin;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;Insgesamt;Beamte;/;;26;();25;();/;;/;;/;;/;;71;e
2024;Berlin;Insgesamt;Arbeiter und Angestellte;306;e;467;e;410;e;92;e;28;();/;;30;();1520;e
2024;Berlin;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;50;e
2024;Berlin;Insgesamt;Insgesamt;375;e;548;e;474;e;107;e;34;e;/;;63;e;1871;e
2024;Brandenburg;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;33;()
2024;Brandenburg;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;42;e
2024;Brandenburg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;36;()
2024;Brandenburg;männlich;Arbeiter und Angestellte;104;e;81;e;126;e;108;e;42;e;/;;/;;525;e
2024;Brandenburg;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;männlich;Insgesamt;126;e;96;e;149;e;135;e;51;e;/;;28;();660;e
2024;Brandenburg;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;27;()
2024;Brandenburg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Beamte;/;;/;;/;;/;;/;;/;;/;;35;()
2024;Brandenburg;weiblich;Arbeiter und Angestellte;142;e;80;e;115;e;88;e;/;;/;;/;;490;e
2024;Brandenburg;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Insgesamt;162;e;96;e;140;e;102;e;/;;/;;/;;584;e
2024;Brandenburg;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;60;e
2024;Brandenburg;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;53;e
2024;Brandenburg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;Insgesamt;Beamte;/;;/;;/;;24;();/;;/;;/;;72;e
2024;Brandenburg;Insgesamt;Arbeiter und Angestellte;246;e;160;e;241;e;196;e;62;e;/;;/;;1016;e
2024;Brandenburg;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;44;e
2024;Brandenburg;Insgesamt;Insgesamt;288;e;192;e;289;e;237;e;74;e;/;;32;();1244;e
2024;Bremen;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;
