region,age_band,total,erwerbstaetige,rate
03101,0-9,20250,0,0.0
03101,10-19,21170,2950,0.1393
03101,20-29,36640,26540,0.7243
03101,30-39,35410,29400,0.8303
03101,40-49,30670,25320,0.8256
03101,50-59,36130,29550,0.8179
03101,60-69,28410,12340,0.4344
03101,70-79,20870,1720,0.0824
03101,80+,17580,270,0.0154
03102,0-9,10750,0,0.0
03102,10-19,10740,1450,0.135
03102,20-29,11290,7610,0.674
03102,30-39,12230,8830,0.722
03102,40-49,12130,9370,0.7725
03102,50-59,14870,11240,0.7559
03102,60-69,14450,4580,0.317
03102,70-79,9510,530,0.0557
03102,80+,6380,0,0.0
03103,0-9,13150,0,0.0
03103,10-19,10750,1240,0.1153
03103,20-29,14120,10180,0.721
03103,30-39,17700,13660,0.7718
03103,40-49,15470,12920,0.8352
03103,50-59,18630,14550,0.781
03103,60-69,14670,5410,0.3688
03103,70-79,10630,710,0.0668
03103,80+,9930,0,0.0
DE_large_gemeinden,0-9,5656470,0,0.0
DE_large_gemeinden,10-19,5486850,719620,0.1312
DE_large_gemeinden,20-29,7055550,5201770,0.7373
DE_large_gemeinden,30-39,8163540,6626960,0.8118
DE_large_gemeinden,40-49,7333560,6092810,0.8308
DE_large_gemeinden,50-59,9230540,7527540,0.8155
DE_large_gemeinden,60-69,7710430,3385740,0.4391
DE_large_gemeinden,70-79,5265720,309350,0.0587
DE_large_gemeinden,80+,4043800,24850,0.0061
