institution,scope,ars5,enrollment,lon,lat
TU Braunschweig,local,03101,14776,,
HBK Braunschweig,local,03101,851,,
TU Clausthal,local,03153,2811,,
Ostfalia,local,03158,9373,,
Universitaet Hannover,surrounding,,24057,9.7177,52.3822
Hochschule Hannover,surrounding,,7966,9.732,52.346
MHH Hannover,surrounding,,3654,9.8064,52.3836
TiHo Hannover,surrounding,,2074,9.768,52.358
HMTM Hannover,surrounding,,1270,9.741,52.378
Universitaet Goettingen,surrounding,,25513,9.9358,51.5413
Universitaet Hildesheim,surrounding,,7292,9.953,52.144
HAWK Hildesheim,surrounding,,5717,9.952,52.155
OVGU Magdeburg,surrounding,,13800,11.6455,52.1392
Hochschule Magdeburg-Stendal,surrounding,,5400,11.676,52.1395
