lsn_code,name,einrichtungen,plaetze
101,"Braunschweig,Stadt",211.0,13112.0
102,"Salzgitter,Stadt",57.0,4599.0
103,"Wolfsburg,Stadt",68.0,6307.0
151009,"Gifhorn,Stadt",30.0,2240.0
151025,Sassenburg,7.0,858.0
151040,"Wittingen,Stadt",6.0,471.0
151401,"Boldecker Land, SG",13.0,656.0
151402,"Brome, SG",10.0,849.0
151403,"Hankensbüttel, SG",6.0,395.0
151404,"Isenbüttel, SG",10.0,775.0
151405,"Meinersen, SG",20.0,1107.0
151406,"Papenteich, SG",24.0,1340.0
151407,"Wesendorf, SG",12.0,762.0
153002,"Bad Harzburg,Stadt",11.0,910.0
153008,Liebenburg,6.0,297.0
153012,"Seesen,Stadt",12.0,785.0
153016,"Braunlage,Stadt",4.0,208.0
153017,"Goslar,Stadt",26.0,2002.0
153018,"Clausthal-Zellerfeld,Be.",11.0,448.0
153019,"Langelsheim,Stadt",8.0,492.0
154013,"Königslutter am Elm,Stadt",13.0,642.0
154014,Lehre,11.0,667.0
154019,"Schöningen,Stadt",8.0,458.0
154028,"Helmstedt,Stadt",20.0,1136.0
154401,"Grasleben, SG",6.0,273.0
154402,"Heeseberg, SG",3.0,160.0
154403,"Nord-Elm, SG",8.0,329.0
154404,"Velpke, SG",8.0,834.0
157001,Edemissen,9.0,631.0
157002,Hohenhameln,7.0,430.0
157005,Lengede,16.0,835.0
157006,"Peine,Stadt",31.0,2154.0
157007,Vechelde,16.0,1304.0
157008,Wendeburg,19.0,681.0
157009,Ilsede,12.0,823.0
158006,Cremlingen,12.0,700.0
158037,"Wolfenbüttel,Stadt",34.0,2655.0
158039,Schladen-Werla,6.0,439.0
158402,"Baddeckenstedt, SG",10.0,535.0
158403,"Oderwald, SG",7.0,314.0
158406,"Sickte, SG",11.0,640.0
158407,"Elm-Asse, SG",13.0,831.0
