# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md; files SrV2023_Personen.csv, SrV2023_Haushalte.csv), generated by
#   scripts/extract_srv_absence.py on 2026-09-23.
# Code state: eqasim-bs c7593bc5, module braunschweig/calibration/srv_absence.py.
# Table: srv2023_absence_partial_subset_size.csv
# Universe: every delivered person with a valid positive GEWICHT_P_ZENSUS (the
#   at_home_zero universe of braunschweig.calibration.srv_plan_structure -- absence IS
#   the state being measured here, so away persons are KEPT, unlike the
#   participation-universe tables of issue #368, which exclude them).
# Away from home: E_ANZ_WEGE == -7 over the WHOLE reporting day (the only negative
#   E_ANZ_WEGE code this delivery carries).
# Weights: GEWICHT_P_ZENSUS (persons) / GEWICHT_HH_ZENSUS (households); expansion to
#   Zensus 2022 counts, the stratum-internal GEWICHT_P/GEWICHT_HH must not be used
#   across strata (ADR-0055).
# Universe guards (the extraction raises, it never adapts): every MITTL_WERKTAG == 1
#   (average-weekday Tuesday-Thursday delivery) and every negative E_ANZ_WEGE == -7.
# Exclusions: n_persons_raw=18223, n_persons_dropped_weight=0, n_persons_universe=18223, n_absent=954, n_persons_missing_age=2 (n_persons_raw is the raw Personen-file row count; n_persons_dropped_weight is measured on it; n_persons_universe is the resulting count with a valid positive GEWICHT_P_ZENSUS; n_absent and n_persons_missing_age are measured on n_persons_universe)
# ROLE (issue #426): sizes the 'a SUBSET of the household travels together' pattern for a
#   future partial-household draw. Nothing in the pipeline reads this table today.
# Universe of rows: PARTIALLY absent households only (0 < n_absent < n, the by-size table's
#   n_partial_absent_unweighted per size class); size class 1 cannot be partial and has no row.
# Columns: size_class (2..5, 5 = '5 or more' members), n_absent_members (1..4, 4 = '4 or
#   more'; only k <= size_class - 1 rows exist), n_households_unweighted, share_within_partial
#   (GEWICHT_HH_ZENSUS-weighted share among the class's partially absent households; NaN when
#   the class has no partial household). Every (class, k) row is emitted even when empty.
#   size 2: n_partial=217; k=1: 217 (1.0000)
#   size 3: n_partial=122; k=1: 99 (0.8131), k=2: 23 (0.1869)
#   size 4: n_partial=75; k=1: 56 (0.7409), k=2: 17 (0.2290), k=3: 2 (0.0301)
#   size 5: n_partial=21; k=1: 17 (0.7614), k=2: 4 (0.2386), k=3: 0 (0.0000), k=4: 0 (0.0000)
# Rows: 10.
# Invariants (checked before writing, the extraction raises on a violation): exactly the
#   (size_class, n_absent_members) rows above; shares in [0, 1] and summing to 1 within every
#   populated class; per class, the row counts sum to the by-size table's
#   n_partial_absent_unweighted.
size_class,n_absent_members,n_households_unweighted,share_within_partial
2,1,217,1
3,1,99,0.8130922753
3,2,23,0.1869077247
4,1,56,0.7409360331
4,2,17,0.2289730447
4,3,2,0.03009092216
5,1,17,0.7614151181
5,2,4,0.2385848819
5,3,0,0
5,4,0,0
