# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md), generated by
#   scripts/extract_srv_departure_times.py on 2026-09-10.
# Code state: eqasim-bs 0a431ea4, module braunschweig/calibration/srv_departure_times.py
#   (the commit that INTRODUCED this module; the table shape/header were updated in a
#   later fix-round commit -- the measured shares are unchanged where the cell existed).
# Table: srv2023_activity_duration_reference.csv
# Role: the HOLD-OUT (validation) reference for the departure-time model (issue #123,
#   ADR-0114) in its ENTIRETY -- activity durations are never mapped or touched by the
#   model (spec 2026-09-09-departure-time-srv-mapping-design.md section 2.2); this table
#   only measures whether the model's realised durations still resemble SrV's after the
#   first-departure mapping changes upstream chain timing. Read by the planned analysis
#   stage braunschweig.analysis.synthesis.departure_time_vs_srv (spec section 2.1.3), not
#   by the model itself.
# Universe: at_home_zero only (see srv2023_departure_time_reference.csv for the reasoning).
# Weights: GEWICHT_W_ZENSUS (trip-level expansion to Zensus 2022 counts, ADR-0055).
# Segments: ['all', 'employed', 'child_0_5', 'school_age_6_17_not_employed', 'adult_18_64_not_employed', 'senior_65plus_not_employed'].
# Purposes: ['all', 'work', 'education', 'shop', 'leisure', 'escort', 'other', 'home'] (all is a POOLED purpose: every leg of the segment, regardless of its own
#   purpose -- same rationale as the departure-time reference's pooled purpose). A leg
#   whose destination purpose harmonise_srv could not map to a named purpose (it does NOT
#   exclude such legs, it only cannot classify them) is EXCLUDED from every named-purpose
#   cell and INCLUDED only in the 'all' pooled cell -- see the 'unknown-purpose'
#   exclusion line below. Otherwise, purpose is the CURRENT trip's destination purpose,
#   i.e. the activity that trip leads into. Long format: one row per (segment, purpose,
#   band), DENSE over band for any (segment, purpose) with >= 1 included leg -- all 6 of
#   ['0-0.5h', '0.5-1h', '1-2h', '2-4h', '4-8h', '8h+'], most 0.0; share sums to 1.0 per (segment, purpose); n_unweighted repeats the
#   group's unweighted leg count. UNLIKE the departure-time reference, a (segment,
#   purpose) with ZERO contributing legs is OMITTED entirely (this table is read by
#   humans and the analysis stage, not programmatically coarsened by the model).
# Duration = the NEXT trip's dep_min minus the CURRENT trip's arr_min, within the same
#   person. A trip with no following trip (the day's last trip) or a missing arr_min /
#   following dep_min has no measurable duration; a measured duration outside
#   [0, 20] h (srv_plan_structure.WORK_ACTIVITY_MAX_H, generalised here from work
#   activities to every purpose -- ASSUMPTION: an implausible duration is implausible
#   regardless of activity type) is EXCLUDED and counted, never clipped.
# Guards inherited from srv_plan_structure.harmonise_srv: every STICHTAG_WTAG in [2, 3, 4] and
#   GEWICHT_P_WERKTAG == -6.0 everywhere (the extraction raises rather than adapting).
# Harmonisation exclusions (srv_plan_structure.harmonise_srv, full raw microdata): n_persons_raw=18223, n_persons_negative_weight=0, n_persons_universe=18223, n_persons_away_from_home=954, n_persons_missing_age=2, n_persons_unmapped_sex=34, n_persons_no_kreis=0, n_trips_raw=58148, n_trips_negative_weight=0, n_trips_person_dropped=0, n_trips_universe=58148, n_trips_unknown_purpose=27, n_trips_unknown_prev_purpose=20, n_trips_invalid_departure_time=250, n_trips_invalid_arrival_time=298
# Activity-duration exclusions (this table, on the harmonised universe, unknown-purpose
#   counts are informational -- those legs are NOT dropped, only excluded from named-
#   purpose cells): n_legs_total=58148, n_legs_excluded_no_next_or_missing_time=15610, n_legs_excluded_out_of_range=0, n_legs_included=42538, n_legs_unknown_purpose_raw=27, n_legs_unknown_purpose_included=19
# Rows: 282.
universe,segment,purpose,band,share,n_unweighted
at_home_zero,all,all,0-0.5h,0.3428753841,42538
at_home_zero,all,all,0.5-1h,0.1278920678,42538
at_home_zero,all,all,1-2h,0.1507101884,42538
at_home_zero,all,all,2-4h,0.1379240517,42538
at_home_zero,all,all,4-8h,0.1641911431,42538
at_home_zero,all,all,8h+,0.07640716484,42538
at_home_zero,all,work,0-0.5h,0.03948384986,6787
at_home_zero,all,work,0.5-1h,0.02809868852,6787
at_home_zero,all,work,1-2h,0.04908630438,6787
at_home_zero,all,work,2-4h,0.1266828425,6787
at_home_zero,all,work,4-8h,0.3659295632,6787
at_home_zero,all,work,8h+,0.3907187516,6787
at_home_zero,all,education,0-0.5h,0.03093066918,3369
at_home_zero,all,education,0.5-1h,0.02267225432,3369
at_home_zero,all,education,1-2h,0.08981929668,3369
at_home_zero,all,education,2-4h,0.0946896603,3369
at_home_zero,all,education,4-8h,0.6970568015,3369
at_home_zero,all,education,8h+,0.06483131805,3369
at_home_zero,all,shop,0-0.5h,0.6450512622,6269
at_home_zero,all,shop,0.5-1h,0.2462050222,6269
at_home_zero,all,shop,1-2h,0.0784596063,6269
at_home_zero,all,shop,2-4h,0.02314721568,6269
at_home_zero,all,shop,4-8h,0.006948234097,6269
at_home_zero,all,shop,8h+,0.0001886595583,6269
at_home_zero,all,leisure,0-0.5h,0.3901796422,9266
at_home_zero,all,leisure,0.5-1h,0.1082252471,9266
at_home_zero,all,leisure,1-2h,0.2661964097,9266
at_home_zero,all,leisure,2-4h,0.1875548881,9266
at_home_zero,all,leisure,4-8h,0.04350048248,9266
at_home_zero,all,leisure,8h+,0.004343330376,9266
at_home_zero,all,escort,0-0.5h,0.8862873067,3158
at_home_zero,all,escort,0.5-1h,0.04396438149,3158
at_home_zero,all,escort,1-2h,0.03825753551,3158
at_home_zero,all,escort,2-4h,0.01858494744,3158
at_home_zero,all,escort,4-8h,0.01125178951,3158
at_home_zero,all,escort,8h+,0.001654039313,3158
at_home_zero,all,other,0-0.5h,0.4866497952,3979
at_home_zero,all,other,0.5-1h,0.2679523229,3979
at_home_zero,all,other,1-2h,0.1651453854,3979
at_home_zero,all,other,2-4h,0.06125900898,3979
at_home_zero,all,other,4-8h,0.01542884591,3979
at_home_zero,all,other,8h+,0.003564641706,3979
at_home_zero,all,home,0-0.5h,0.2075395732,9691
at_home_zero,all,home,0.5-1h,0.1502471661,9691
at_home_zero,all,home,1-2h,0.2119839264,9691
at_home_zero,all,home,2-4h,0.2575126618,9691
at_home_zero,all,home,4-8h,0.1498189678,9691
at_home_zero,all,home,8h+,0.02289770466,9691
at_home_zero,employed,all,0-0.5h,0.3427296024,20622
at_home_zero,employed,all,0.5-1h,0.1138585901,20622
at_home_zero,employed,all,1-2h,0.1246945755,20622
at_home_zero,employed,all,2-4h,0.1274216319,20622
at_home_zero,employed,all,4-8h,0.1548166613,20622
at_home_zero,employed,all,8h+,0.1364789389,20622
at_home_zero,employed,work,0-0.5h,0.03510525556,6381
at_home_zero,employed,work,0.5-1h,0.02601918801,6381
at_home_zero,employed,work,1-2h,0.04478649128,6381
at_home_zero,employed,work,2-4h,0.1230542238,6381
at_home_zero,employed,work,4-8h,0.3647178461,6381
at_home_zero,employed,work,8h+,0.4063169953,6381
at_home_zero,employed,education,0-0.5h,0.1495235014,196
at_home_zero,employed,education,0.5-1h,0.08879142571,196
at_home_zero,employed,education,1-2h,0.1096793266,196
at_home_zero,employed,education,2-4h,0.1772976172,196
at_home_zero,employed,education,4-8h,0.4431457138,196
