# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig
#   (RGB) scientific-use microdata, file SciUse_v4 (delivered 2026-07).
#   See eqasim-data/data/braunschweig/srv/srv2023_raw/README.md.
# Universe: households with a valid GEWICHT_HH_ZENSUS weight and a valid E_ANZ_RAD_ALLE_6 response
# Weight used: GEWICHT_HH_ZENSUS
# Missing-code handling: E_ANZ_RAD_ALLE_6 == -7 (Berechnung nicht moeglich) excluded; classes clipped to {0,1,2,3,4+}
# Coverage: 7 of the 8 ZGB Kreise; Wolfsburg (03103) is NOT covered by
#   this survey and therefore never appears in this table.
# ASSUMPTION (coverage, not weighting): the survey is a stratified PSU
#   design over ~44 selected municipalities within those Kreise (strata =
#   ST_CODE/ST_CODE_NAME; see srv2023_covered_municipalities.csv). The
#   GEWICHT_*_ZENSUS weight expands per municipality to the true Zensus
#   2022 population, so it is the correct weight for total/kreis/stratum
#   rows alike. Per-Kreis (level=kreis) rows still extrapolate from the
#   sampled municipalities to the full Kreis and are therefore an
#   ASSUMPTION-grade coverage estimate; per-stratum (level=stratum) rows
#   are the design-safe aggregation level for this survey.
# Generated by: scripts/extract_srv_kreis_tables.py
level,code,name,n_unweighted,n_weighted,bikes_0,bikes_1,bikes_2,bikes_3,bikes_4plus
total,total,Gesamt,8092,402573.38,0.1739,0.2486,0.2615,0.1289,0.1871
kreis,03101,Braunschweig,2071,145485.24,0.1452,0.2921,0.2509,0.1303,0.1815
kreis,03102,Salzgitter,789,50932.08,0.2831,0.2183,0.2508,0.103,0.1447
kreis,03151,Gifhorn,1521,51110.75,0.0971,0.2422,0.2739,0.1538,0.2331
kreis,03153,Goslar,1071,47579.79,0.2861,0.2323,0.2223,0.0878,0.1715
kreis,03154,Helmstedt,800,27018.61,0.2074,0.215,0.2722,0.1385,0.1669
kreis,03157,Peine,1001,46938.14,0.1024,0.187,0.3207,0.1706,0.2194
kreis,03158,Wolfenbuettel,839,33508.77,0.1634,0.2517,0.2689,0.1171,0.1989
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",1503,27039.25,0.1202,0.209,0.2869,0.1533,0.2305
stratum,99,Mittelstadt RGB,1119,71077.9,0.1168,0.2601,0.2858,0.1436,0.1937
stratum,100,Regiopole Salzgitter,789,50932.08,0.2831,0.2183,0.2508,0.103,0.1447
stratum,101,Städtischer Raum RGB mit Schienenanbindung,554,33305.5,0.2452,0.215,0.246,0.1028,0.191
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,435,23518.95,0.2191,0.1657,0.256,0.1677,0.1914
stratum,103,Zentrale Stadt Goslar,435,22573.07,0.2374,0.2317,0.2309,0.0996,0.2003
stratum,173,Braunschweig,2071,145485.24,0.1452,0.2921,0.2509,0.1303,0.1815
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",1186,28641.38,0.1478,0.2102,0.2966,0.1304,0.2149
