# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig
#   (RGB) scientific-use microdata, file SciUse_v4 (delivered 2026-07).
#   See eqasim-data/data/braunschweig/srv/srv2023_raw/README.md.
# Universe: persons aged >= 17 (V_ALTER) with a valid GEWICHT_P_ZENSUS weight and V_FUEHR_PKW in {1 ja, 2 nein}
# Weight used: GEWICHT_P_ZENSUS
# Missing-code handling: V_FUEHR_PKW == -8 (Nicht erhoben) excluded from the universe
# Coverage: 7 of the 8 ZGB Kreise; Wolfsburg (03103) is NOT covered by
#   this survey and therefore never appears in this table.
# ASSUMPTION (coverage, not weighting): the survey is a stratified PSU
#   design over ~44 selected municipalities within those Kreise (strata =
#   ST_CODE/ST_CODE_NAME; see srv2023_covered_municipalities.csv). The
#   GEWICHT_*_ZENSUS weight expands per municipality to the true Zensus
#   2022 population, so it is the correct weight for total/kreis/stratum
#   rows alike. Per-Kreis (level=kreis) rows still extrapolate from the
#   sampled municipalities to the full Kreis and are therefore an
#   ASSUMPTION-grade coverage estimate; per-stratum (level=stratum) rows
#   are the design-safe aggregation level for this survey.
# Generated by: scripts/extract_srv_kreis_tables.py
level,code,name,n_unweighted,n_weighted,share_with_license
total,total,Gesamt,15235,662733.42,0.924
kreis,03101,Braunschweig,3706,215338.19,0.9209
kreis,03102,Salzgitter,1501,85175.19,0.8928
kreis,03151,Gifhorn,2983,88846.13,0.9577
kreis,03153,Goslar,1962,82727.7,0.9149
kreis,03154,Helmstedt,1494,47846.85,0.9237
kreis,03157,Peine,2009,86170.44,0.9398
kreis,03158,Wolfenbuettel,1580,56628.94,0.9195
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",2870,48544.05,0.9566
stratum,99,Mittelstadt RGB,2178,119755.87,0.9299
stratum,100,Regiopole Salzgitter,1501,85175.19,0.8928
stratum,101,Städtischer Raum RGB mit Schienenanbindung,1092,59468.61,0.9367
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,819,42661.07,0.9209
stratum,103,Zentrale Stadt Goslar,788,40506.42,0.9094
stratum,173,Braunschweig,3706,215338.19,0.9209
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",2281,51284.02,0.9439
