# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig
#   (RGB) scientific-use microdata, file SciUse_v4 (delivered 2026-07).
#   See eqasim-data/data/braunschweig/srv/srv2023_raw/README.md.
# Universe: persons aged >= 18 (V_ALTER) with a valid GEWICHT_P_ZENSUS weight, V_FUEHR_PKW in {1 ja, 2 nein} and V_GESCHLECHT in {1 male, 2 female}; rows are long over (sex, cohort) with the cohort split at age 65
# Weight used: GEWICHT_P_ZENSUS
# Missing-code handling: V_FUEHR_PKW == -8 (Nicht erhoben) and V_GESCHLECHT in {3 divers, 4 keine Angabe} excluded from the universe, each with a logged rate
# Coverage: 7 of the 8 ZGB Kreise; Wolfsburg (03103) is NOT covered by
#   this survey and therefore never appears in this table.
# ASSUMPTION (coverage, not weighting): the survey is a stratified PSU
#   design over ~44 selected municipalities within those Kreise (strata =
#   ST_CODE/ST_CODE_NAME; see srv2023_covered_municipalities.csv). The
#   GEWICHT_*_ZENSUS weight expands per municipality to the true Zensus
#   2022 population, so it is the correct weight for total/kreis/stratum
#   rows alike. Per-Kreis (level=kreis) rows still extrapolate from the
#   sampled municipalities to the full Kreis and are therefore an
#   ASSUMPTION-grade coverage estimate; per-stratum (level=stratum) rows
#   are the design-safe aggregation level for this survey.
# Generated by: scripts/extract_srv_kreis_tables.py
level,code,name,sex,cohort,cohort_lo,cohort_hi,n_unweighted,n_weighted,share_with_license
total,total,Gesamt,male,18_64,18,64,5200,242739.43,0.938
total,total,Gesamt,male,65plus,65,999,2296,79393.68,0.964
total,total,Gesamt,female,18_64,18,64,5379,231844.71,0.9299
total,total,Gesamt,female,65plus,65,999,2183,99555.47,0.8972
kreis,03101,Braunschweig,male,18_64,18,64,1483,82449.62,0.9303
kreis,03101,Braunschweig,male,65plus,65,999,377,22563.3,0.9604
kreis,03101,Braunschweig,female,18_64,18,64,1448,77706.18,0.9244
kreis,03101,Braunschweig,female,65plus,65,999,355,30132.43,0.9033
kreis,03102,Salzgitter,male,18_64,18,64,469,31636.2,0.9049
kreis,03102,Salzgitter,male,65plus,65,999,259,10332.74,0.9486
kreis,03102,Salzgitter,female,18_64,18,64,492,29146.07,0.8866
kreis,03102,Salzgitter,female,65plus,65,999,267,13148.06,0.8817
kreis,03151,Gifhorn,male,18_64,18,64,987,31814.19,0.978
kreis,03151,Gifhorn,male,65plus,65,999,472,10800.8,0.986
kreis,03151,Gifhorn,female,18_64,18,64,1051,32785.73,0.9476
kreis,03151,Gifhorn,female,65plus,65,999,447,12590.21,0.9534
kreis,03153,Goslar,male,18_64,18,64,597,28244.72,0.9515
kreis,03153,Goslar,male,65plus,65,999,369,12011.59,0.914
kreis,03153,Goslar,female,18_64,18,64,615,26152.34,0.9412
kreis,03153,Goslar,female,65plus,65,999,361,15122.42,0.8501
kreis,03154,Helmstedt,male,18_64,18,64,487,17018.4,0.9133
kreis,03154,Helmstedt,male,65plus,65,999,252,6355.48,0.9921
kreis,03154,Helmstedt,female,18_64,18,64,501,15089.32,0.9448
kreis,03154,Helmstedt,female,65plus,65,999,229,8327.28,0.9266
kreis,03157,Peine,male,18_64,18,64,679,32311.39,0.9449
kreis,03157,Peine,male,65plus,65,999,304,10344.1,0.9872
kreis,03157,Peine,female,18_64,18,64,720,30801.16,0.9535
kreis,03157,Peine,female,65plus,65,999,278,11274.72,0.9016
kreis,03158,Wolfenbuettel,male,18_64,18,64,498,19264.92,0.9501
kreis,03158,Wolfenbuettel,male,65plus,65,999,263,6985.68,0.9907
kreis,03158,Wolfenbuettel,female,18_64,18,64,552,20163.91,0.9235
kreis,03158,Wolfenbuettel,female,65plus,65,999,246,8960.35,0.8664
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",male,18_64,18,64,956,17286.73,0.9718
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",male,65plus,65,999,469,6363.14,0.9936
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",female,18_64,18,64,1000,16923.9,0.973
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",female,65plus,65,999,415,7364.92,0.9174
stratum,99,Mittelstadt RGB,male,18_64,18,64,716,42095.44,0.9518
stratum,99,Mittelstadt RGB,male,65plus,65,999,338,14478.5,0.9853
stratum,99,Mittelstadt RGB,female,18_64,18,64,770,42668.68,0.9175
stratum,99,Mittelstadt RGB,female,65plus,65,999,321,18409.59,0.9146
stratum,100,Regiopole Salzgitter,male,18_64,18,64,469,31636.2,0.9049
stratum,100,Regiopole Salzgitter,male,65plus,65,999,259,10332.74,0.9486
stratum,100,Regiopole Salzgitter,female,18_64,18,64,492,29146.07,0.8866
stratum,100,Regiopole Salzgitter,female,65plus,65,999,267,13148.06,0.8817
stratum,101,Städtischer Raum RGB mit Schienenanbindung,male,18_64,18,64,350,20689.96,0.9429
stratum,101,Städtischer Raum RGB mit Schienenanbindung,male,65plus,65,999,179,7896.76,0.9512
stratum,101,Städtischer Raum RGB mit Schienenanbindung,female,18_64,18,64,367,19754.55,0.9636
stratum,101,Städtischer Raum RGB mit Schienenanbindung,female,65plus,65,999,174,9928.41,0.9122
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,male,18_64,18,64,274,16445.33,0.9256
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,male,65plus,65,999,132,5236.9,0.9373
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,female,18_64,18,64,278,14100.27,0.9504
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,female,65plus,65,999,126,6267.05,0.9041
stratum,103,Zentrale Stadt Goslar,male,18_64,18,64,241,14184.84,0.9482
stratum,103,Zentrale Stadt Goslar,male,65plus,65,999,148,5612.14,0.937
stratum,103,Zentrale Stadt Goslar,female,18_64,18,64,247,13077.85,0.9408
stratum,103,Zentrale Stadt Goslar,female,65plus,65,999,147,7035.4,0.8208
stratum,173,Braunschweig,male,18_64,18,64,1483,82449.62,0.9303
stratum,173,Braunschweig,male,65plus,65,999,377,22563.3,0.9604
stratum,173,Braunschweig,female,18_64,18,64,1448,77706.18,0.9244
stratum,173,Braunschweig,female,65plus,65,999,355,30132.43,0.9033
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",male,18_64,18,64,711,17951.32,0.9648
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",male,65plus,65,999,394,6910.21,0.9841
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",female,18_64,18,64,777,18467.22,0.9516
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",female,65plus,65,999,378,7269.61,0.882
