# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig
#   (RGB) scientific-use microdata, file SciUse_v4 (delivered 2026-07).
#   See eqasim-data/data/braunschweig/srv/srv2023_raw/README.md.
# Universe: households with a valid GEWICHT_HH weight
# Weight used: GEWICHT_HH
# Missing-code handling: V_ANZ_PKW has no missing codes in this file; classes clipped to {0,1,2,3+}
# Coverage: 7 of the 8 ZGB Kreise; Wolfsburg (03103) is NOT covered by
#   this survey and therefore never appears in this table.
# ASSUMPTION: the survey is a stratified PSU design over ~44 selected
#   municipalities within those Kreise (strata = ST_CODE/ST_CODE_NAME; see
#   srv2023_covered_municipalities.csv). Per-Kreis (level=kreis) rows
#   aggregate across strata and are therefore an ASSUMPTION-grade estimate
#   of the true Kreis population. Per-stratum (level=stratum) rows are the
#   design-safe aggregation level for this survey.
# Generated by: scripts/extract_srv_kreis_tables.py
level,code,name,n_unweighted,n_weighted,cars_0,cars_1,cars_2,cars_3plus
total,total,Gesamt,8106,9150.93,0.1183,0.5228,0.2932,0.0657
kreis,03101,Braunschweig,2079,2618.08,0.215,0.5837,0.1733,0.0279
kreis,03102,Salzgitter,791,878.63,0.143,0.5105,0.2764,0.07
kreis,03151,Gifhorn,1521,1635.36,0.0386,0.4935,0.3689,0.099
kreis,03153,Goslar,1074,1144.9,0.1158,0.5131,0.2973,0.0738
kreis,03154,Helmstedt,800,886.92,0.0585,0.507,0.3551,0.0793
kreis,03157,Peine,1002,1133.65,0.0707,0.4435,0.3946,0.0912
kreis,03158,Wolfenbuettel,839,853.38,0.0777,0.5394,0.3285,0.0544
stratum,98,"Kleinstädtischer, dörflicher Raum RGB ohne Schienenanbindung",1503,1569.93,0.0392,0.4562,0.4106,0.094
stratum,99,Mittelstadt RGB,1119,1306.11,0.0844,0.5424,0.3107,0.0625
stratum,100,Regiopole Salzgitter,791,878.63,0.143,0.5105,0.2764,0.07
stratum,101,Städtischer Raum RGB mit Schienenanbindung,554,622.52,0.0718,0.5142,0.3304,0.0836
stratum,102,Städtischer Raum RGB ohne Schienenanbindung,436,464.44,0.0842,0.5037,0.3155,0.0965
stratum,103,Zentrale Stadt Goslar,437,433.68,0.1427,0.488,0.3141,0.0552
stratum,173,Braunschweig,2079,2618.08,0.215,0.5837,0.1733,0.0279
stratum,197,"Kleinstädtischer, dörflicher Raum RGB mit Schienenanbindung",1187,1257.54,0.0609,0.4907,0.3557,0.0927
