# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md), generated by
#   scripts/extract_srv_primary_distance_targets.py on 2026-09-03.
# Table: srv2023_commute_distance_quantiles_by_kreis.csv
# Universe: persons with a home<->own-workplace trip (V_ZWECK 1)
# Observation unit: PERSON -- first home->purpose trip (V_START_LAGE == 1), else first
#   purpose->home trip (V_ZIEL_LAGE == 1); business trips (V_ZWECK 2) and 'andere
#   Bildungseinrichtung' (V_ZWECK 7) excluded. Reporting days are Tue-Thu only.
# Distance: GIS_LAENGE (routed km) where GIS_LAENGE_GUELTIG > 0; GIS-invalid trips fall
#   back to the other direction (R5); a negative weight or an over-cap distance on the
#   SELECTED trip excludes the person (R6, no fallback -- see the module docstring).
# Weight: GEWICHT_W_ZENSUS >= 0 (expansion to Zensus 2022; the stratum-internal
#   GEWICHT_W must not be used across strata; GEWICHT_W_WERKTAG is undefined here).
# Kreis: first 5 digits of the household AGS. Wolfsburg (03103) is NOT surveyed: its row
#   is the RegioStaR-7 type-72 pool (Braunschweig + Salzgitter), source = proxy_rs7_72
#   -- an ASSUMPTION recorded in the reference ADR. Per R11, the Wolfsburg proxy row
#   carries the RS7-72 pool's RAW shares/quantiles in BOTH the raw and the shrunk
#   columns (a pool is not shrunk further).
# Shrinkage: share_*_shrunk = n/(n+k) * Kreis + k/(n+k) * pool, pool = dominant RS7 type
#   (itself shrunk toward ZGB), k = 100 persons.
# Coverage caveat: stratified PSU design over ~44 selected municipalities; per-Kreis rows
#   represent the covered municipalities (ASSUMPTION-grade for the full Kreis).
# Noise floor: emd_noise_95_* is the 95th percentile of the bootstrap EMD, normalised to
#   [0, 1] exactly like braunschweig.calibration.metrics.emd_on_bands (same formula,
#   re-implemented locally to avoid a pipeline import).
# distance_km_euclid_* = GIS routed km / 1.3 (euclidean-equivalent, the unit of
# synthesis.population.spatial.commute_distance targets). Percentiles 1..99, long format.
# Shrinkage is quantile-wise toward the dominant RS7 pool (monotone).
# Exclusions: n_candidate_trips=9730, n_pool_weight_negative=0, n_pool_over_cap=8, n_excluded_gis_invalid=1643, n_excluded_weight_negative=0, n_excluded_over_cap=0, n_excluded_no_kreis=0, n_missing_age=0, n_missing_regiostar7=0, n_missing_trip_ags=1, share_start_ags_equals_household_ags=1.0, n_persons_selected=4543
level_geo,code,source,n_persons,percentile,distance_km_euclid_raw,distance_km_euclid_shrunk
kreis,03101,srv,1272,1,0.23185590565739783,0.2328463426989509
kreis,03101,srv,1272,2,0.3644766727565396,0.3680827043812368
kreis,03101,srv,1272,3,0.5246035080529783,0.5271536495825847
kreis,03101,srv,1272,4,0.6151629071295095,0.624322041984895
kreis,03101,srv,1272,5,0.8421812018122357,0.846567369009352
kreis,03101,srv,1272,6,0.9550692894565438,0.9594721926217732
kreis,03101,srv,1272,7,1.058838573076054,1.0608479963737318
kreis,03101,srv,1272,8,1.152631760401874,1.1559361394347345
kreis,03101,srv,1272,9,1.2612627876629179,1.2630976258199769
kreis,03101,srv,1272,10,1.3349620692267044,1.335982450825005
kreis,03101,srv,1272,11,1.3863353163409307,1.3917142138006642
kreis,03101,srv,1272,12,1.5270899958962183,1.531331527750814
kreis,03101,srv,1272,13,1.6091465535646143,1.6156130791702765
kreis,03101,srv,1272,14,1.7462922606953006,1.7527082701163768
kreis,03101,srv,1272,15,1.858926877315408,1.8601557562944735
kreis,03101,srv,1272,16,1.8854698066963769,1.8946558082937275
kreis,03101,srv,1272,17,2.0112954432677532,2.016730619946141
kreis,03101,srv,1272,18,2.0774410752858987,2.084497188658857
kreis,03101,srv,1272,19,2.123067673488908,2.1357156888130135
kreis,03101,srv,1272,20,2.2679573439709046,2.2771938450932585
kreis,03101,srv,1272,21,2.309949994021507,2.321478904425856
kreis,03101,srv,1272,22,2.4009209323893295,2.412886058450685
kreis,03101,srv,1272,23,2.4580592405158606,2.4738905767748927
kreis,03101,srv,1272,24,2.551833589461617,2.5662541838330597
kreis,03101,srv,1272,25,2.605289578459546,2.6296038516647653
kreis,03101,srv,1272,26,2.70167487911338,2.724666208560966
kreis,03101,srv,1272,27,2.748015403510808,2.773504060871444
kreis,03101,srv,1272,28,2.8997962993213156,2.923143509084542
kreis,03101,srv,1272,29,2.9742504401451275,3.001187651838675
kreis,03101,srv,1272,30,3.0488570431833013,3.0782348820341543
kreis,03101,srv,1272,31,3.123955705932686,3.152354215632024
kreis,03101,srv,1272,32,3.2688703480240298,3.289825683365614
kreis,03101,srv,1272,33,3.324251794522703,3.3517695495945152
kreis,03101,srv,1272,34,3.4249034432846313,3.456287874973721
kreis,03101,srv,1272,35,3.4806386971027723,3.519773707729985
kreis,03101,srv,1272,36,3.5153846153846153,3.5576886523573052
kreis,03101,srv,1272,37,3.60945294251345,3.653934256238486
kreis,03101,srv,1272,38,3.760920463956035,3.8003582419545854
kreis,03101,srv,1272,39,3.826284810497865,3.870273364307656
kreis,03101,srv,1272,40,4.002742449067985,4.044334270253137
kreis,03101,srv,1272,41,4.0882774650993605,4.132936272840026
kreis,03101,srv,1272,42,4.171563143898192,4.221638132177135
kreis,03101,srv,1272,43,4.243094075077972,4.301317874292501
kreis,03101,srv,1272,44,4.343192300743169,4.405362221885492
kreis,03101,srv,1272,45,4.458174563554006,4.523219675420901
kreis,03101,srv,1272,46,4.520000591622754,4.58936386620932
kreis,03101,srv,1272,47,4.618714597345647,4.693911653293436
kreis,03101,srv,1272,48,4.718076515841624,4.803218692052313
kreis,03101,srv,1272,49,4.888430913369151,4.97551287379712
kreis,03101,srv,1272,50,5.080548398546262,5.163768449422893
kreis,03101,srv,1272,51,5.166398179423103,5.263229838743703
kreis,03101,srv,1272,52,5.266605787488007,5.362153468530202
kreis,03101,srv,1272,53,5.468739276068286,5.5638280497908115
kreis,03101,srv,1272,54,5.690408014962333,5.7899948829495615
kreis,03101,srv,1272,55,5.806837257607804,5.914773705875003
kreis,03101,srv,1272,56,5.970993090780371,6.075290998427166
kreis,03101,srv,1272,57,6.1620257708401605,6.262279508247436
kreis,03101,srv,1272,58,6.380591439522735,6.480785313678316
kreis,03101,srv,1272,59,6.434208778838978,6.549897283948653
kreis,03101,srv,1272,60,6.522840651242639,6.660381553351673
kreis,03101,srv,1272,61,6.83917580373386,6.974242333686739
kreis,03101,srv,1272,62,7.146747424398547,7.283357987651337
kreis,03101,srv,1272,63,7.322703740604054,7.477496745476053
kreis,03101,srv,1272,64,7.461909344756683,7.627724172604347
kreis,03101,srv,1272,65,7.614032365987371,7.796990076319146
kreis,03101,srv,1272,66,7.971932443264735,8.16875735491942
kreis,03101,srv,1272,67,8.439327590395735,8.62278658745029
kreis,03101,srv,1272,68,8.75436662268856,8.938945508594683
kreis,03101,srv,1272,69,9.246918042086339,9.423294637158623
kreis,03101,srv,1272,70,9.500580663029401,9.689501752042112
kreis,03101,srv,1272,71,9.946357813043372,10.149962897117783
kreis,03101,srv,1272,72,10.509247515044088,10.711211101208754
kreis,03101,srv,1272,73,10.789517478997892,11.003955983900866
kreis,03101,srv,1272,74,11.08109569530379,11.302193658557055
kreis,03101,srv,1272,75,11.640140583561907,11.868516680421125
kreis,03101,srv,1272,76,12.204650907773004,12.469113911869387
kreis,03101,srv,1272,77,13.456684061303351,13.702310190241441
kreis,03101,srv,1272,78,13.875517689498942,14.120946852812567
kreis,03101,srv,1272,79,14.644584729781288,14.874721373453253
kreis,03101,srv,1272,80,16.253983553161806,16.41115649808839
kreis,03101,srv,1272,81,17.022307007587685,17.186356367825976
kreis,03101,srv,1272,82,17.934477414365727,18.112457151473293
kreis,03101,srv,1272,83,19.335936717236777,19.466483176401535
kreis,03101,srv,1272,84,20.710527755669695,20.773357083733238
kreis,03101,srv,1272,85,21.272881280663707,21.406335358478184
kreis,03101,srv,1272,86,22.818181032096934,22.9039403189889
kreis,03101,srv,1272,87,23.798421718690744,23.884342213258755
kreis,03101,srv,1272,88,24.375167566003103,24.458333592726728
kreis,03101,srv,1272,89,25.101638036945122,25.184427960846385
kreis,03101,srv,1272,90,25.62197342423517,25.72555376463158
kreis,03101,srv,1272,91,26.203656826605076,26.331608779958945
kreis,03101,srv,1272,92,27.309441879643686,27.453985968009622
kreis,03101,srv,1272,93,28.666573377304278,28.816041574490743
kreis,03101,srv,1272,94,30.01080896693607,30.126189003158327
kreis,03101,srv,1272,95,31.051304901227166,31.215817866422796
kreis,03101,srv,1272,96,32.52814939837883,33.09523920941481
kreis,03101,srv,1272,97,37.477115991041515,37.968048086610615
kreis,03101,srv,1272,98,44.82596166095453,45.01768228216779
kreis,03101,srv,1272,99,49.516005053901964,49.73366713561158
kreis,03102,srv,387,1,0.3691925148977436,0.3437822863494402
kreis,03102,srv,387,2,0.6248490546004462,0.5815435868482774
kreis,03102,srv,387,3,0.7700618035376744,0.7268440717720693
kreis,03102,srv,387,4,0.9895962640700513,0.938514123058829
kreis,03102,srv,387,5,1.0694205965707746,1.0351164526664416
kreis,03102,srv,387,6,1.1832915625495668,1.1488327449589968
kreis,03102,srv,387,7,1.21949519883495,1.1921672033288404
kreis,03102,srv,387,8,1.2815551901383224,1.264391463360991
kreis,03102,srv,387,9,1.3602608702654284,1.3451019168593377
kreis,03102,srv,387,10,1.3943862251233048,1.3850588082099757
kreis,03102,srv,387,11,1.710884701876905,1.6593958081626479
kreis,03102,srv,387,12,1.8394056660820064,1.7872245874083441
kreis,03102,srv,387,13,1.912660291026517,1.8685549509541932
kreis,03102,srv,387,14,2.053138760518821,2.008206758349138
kreis,03102,srv,387,15,2.2952228470181213,2.209096409623884
kreis,03102,srv,387,16,2.5986753298425618,2.4781058059759222
kreis,03102,srv,387,17,2.9641429947737254,2.7837986564824537
kreis,03102,srv,387,18,3.06243427647629,2.880055770169636
kreis,03102,srv,387,19,3.327893164812792,3.1161283350228217
kreis,03102,srv,387,20,3.4982165198014914,3.271618084394532
kreis,03102,srv,387,21,3.703537142559964,3.449859422274381
kreis,03102,srv,387,22,3.9785269914609325,3.6882919751344834
kreis,03102,srv,387,23,4.14879587669695,3.8462228371266898
kreis,03102,srv,387,24,4.273702460171023,3.9607623542299115
kreis,03102,srv,387,25,4.813138898574909,4.428281097396314
kreis,03102,srv,387,26,4.957692307692308,4.559216663224536
kreis,03102,srv,387,27,5.22876696112262,4.791180271466791
kreis,03102,srv,387,28,5.347197274502022,4.910425763777332
kreis,03102,srv,387,29,5.5049394081700065,5.061179567597232
kreis,03102,srv,387,30,5.96962436383011,5.452642151999903
kreis,03102,srv,387,31,6.076151135867465,5.54995649996195
kreis,03102,srv,387,32,6.288596309185299,5.727565762927653
kreis,03102,srv,387,33,6.603266253303613,6.0074816826268895
kreis,03102,srv,387,34,6.8910789377728445,6.2677563316714275
kreis,03102,srv,387,35,7.028046049618952,6.409878697111597
kreis,03102,srv,387,36,7.111295426314849,6.492096366014042
kreis,03102,srv,387,37,7.208447717533051,6.594749329296479
kreis,03102,srv,387,38,7.259937551991317,6.65255956967198
kreis,03102,srv,387,39,7.505523274910565,6.873959515949093
kreis,03102,srv,387,40,7.671051713143071,7.034979951866932
kreis,03102,srv,387,41,7.885167713000625,7.231333748791316
kreis,03102,srv,387,42,8.249965501629893,7.553584902339418
kreis,03102,srv,387,43,8.30186548092454,7.632473102973156
kreis,03102,srv,387,44,8.55285212670344,7.863593706192639
kreis,03102,srv,387,45,8.897376598166408,8.169084380548627
kreis,03102,srv,387,46,9.21784018219031,8.448604974132842
